county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Twiggs,DRY BRANCH,Governor,,REP,BRIAN KEMP,627,26,154,447,0
Twiggs,GOLDEN ISLES,Governor,,REP,BRIAN KEMP,399,4,130,265,0
Twiggs,HIGGSVILLE,Governor,,REP,BRIAN KEMP,371,15,144,210,2
Twiggs,JEFFERSONVILLE/WARE,Governor,,REP,BRIAN KEMP,354,12,201,140,1
Twiggs,SHADY GROVE/TARVERS,Governor,,REP,BRIAN KEMP,248,11,122,115,0
Twiggs,DRY BRANCH,Governor,,DEM,STACEY ABRAMS,162,15,65,81,1
Twiggs,GOLDEN ISLES,Governor,,DEM,STACEY ABRAMS,606,58,212,336,0
Twiggs,HIGGSVILLE,Governor,,DEM,STACEY ABRAMS,119,9,40,70,0
Twiggs,JEFFERSONVILLE/WARE,Governor,,DEM,STACEY ABRAMS,611,97,319,195,0
Twiggs,SHADY GROVE/TARVERS,Governor,,DEM,STACEY ABRAMS,278,28,141,108,1
Twiggs,DRY BRANCH,Governor,,LIB,TED METZ,8,0,2,6,0
Twiggs,GOLDEN ISLES,Governor,,LIB,TED METZ,5,0,0,5,0
Twiggs,HIGGSVILLE,Governor,,LIB,TED METZ,2,0,0,2,0
Twiggs,JEFFERSONVILLE/WARE,Governor,,LIB,TED METZ,2,0,1,1,0
Twiggs,SHADY GROVE/TARVERS,Governor,,LIB,TED METZ,0,0,0,0,0
Twiggs,DRY BRANCH,Lieutenant Governor,,REP,GEOFF DUNCAN,582,25,150,407,0
Twiggs,GOLDEN ISLES,Lieutenant Governor,,REP,GEOFF DUNCAN,381,6,128,247,0
Twiggs,HIGGSVILLE,Lieutenant Governor,,REP,GEOFF DUNCAN,346,15,143,186,2
Twiggs,JEFFERSONVILLE/WARE,Lieutenant Governor,,REP,GEOFF DUNCAN,331,10,191,129,1
Twiggs,SHADY GROVE/TARVERS,Lieutenant Governor,,REP,GEOFF DUNCAN,234,11,119,104,0
Twiggs,DRY BRANCH,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,156,16,56,83,1
Twiggs,GOLDEN ISLES,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,563,56,192,315,0
Twiggs,HIGGSVILLE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,107,8,34,65,0
Twiggs,JEFFERSONVILLE/WARE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,544,99,280,165,0
