county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Burke,Alexander,Secretary Of State,,REP,BRAD RAFFENSPERGER,59,2,4,53,0
Burke,Four Points,Secretary Of State,,REP,BRAD RAFFENSPERGER,319,16,70,233,0
Burke,Girard,Secretary Of State,,REP,BRAD RAFFENSPERGER,84,11,13,60,0
Burke,Gough,Secretary Of State,,REP,BRAD RAFFENSPERGER,42,3,10,29,0
Burke,Greenscut,Secretary Of State,,REP,BRAD RAFFENSPERGER,156,9,35,112,0
Burke,Keysville,Secretary Of State,,REP,BRAD RAFFENSPERGER,44,1,4,39,0
Burke,Midville,Secretary Of State,,REP,BRAD RAFFENSPERGER,53,1,3,49,0
Burke,Munnerlyn,Secretary Of State,,REP,BRAD RAFFENSPERGER,52,2,9,41,0
Burke,Sardis,Secretary Of State,,REP,BRAD RAFFENSPERGER,149,3,7,139,0
Burke,Scotts Crossroads,Secretary Of State,,REP,BRAD RAFFENSPERGER,28,2,5,21,0
Burke,Telfair,Secretary Of State,,REP,BRAD RAFFENSPERGER,111,10,17,84,0
Burke,St. Clair,Secretary Of State,,REP,BRAD RAFFENSPERGER,54,2,22,30,0
Burke,Vidette,Secretary Of State,,REP,BRAD RAFFENSPERGER,62,3,4,55,0
Burke,North Waynesboro,Secretary Of State,,REP,BRAD RAFFENSPERGER,151,2,77,72,0
Burke,South Waynesboro,Secretary Of State,,REP,BRAD RAFFENSPERGER,494,32,196,266,0
Burke,Blakeney,Secretary Of State,,REP,BRAD RAFFENSPERGER,64,0,15,49,0
Burke,Alexander,Secretary Of State,,DEM,JOHN BARROW,48,4,9,35,0
Burke,Four Points,Secretary Of State,,DEM,JOHN BARROW,192,8,25,159,0
Burke,Girard,Secretary Of State,,DEM,JOHN BARROW,107,8,4,95,0
Burke,Gough,Secretary Of State,,DEM,JOHN BARROW,98,15,23,60,0
Burke,Greenscut,Secretary Of State,,DEM,JOHN BARROW,113,15,17,81,0
