county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person_1,advance_in_person_2,provisional
Cobb,Acworth 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,622,58,334,19,210,1
Cobb,Acworth 1B,Secretary Of State,,REP,BRAD RAFFENSPERGER,617,69,387,10,150,1
Cobb,Acworth 1C,Secretary Of State,,REP,BRAD RAFFENSPERGER,295,26,197,6,65,1
Cobb,Addison 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,392,41,306,22,23,0
Cobb,Austell 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,180,17,145,12,6,0
Cobb,Bells Ferry 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,423,38,357,16,12,0
Cobb,Bells Ferry 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,729,66,584,34,42,3
Cobb,Big Shanty 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,300,27,219,17,35,2
Cobb,Big Shanty 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,473,31,380,16,46,0
Cobb,Baker 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,369,19,290,7,53,0
Cobb,Birney 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,270,23,183,63,1,0
Cobb,Birney 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,342,38,241,58,5,0
Cobb,Bryant 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,35,6,27,0,2,0
Cobb,Bryant 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,29,2,23,2,2,0
Cobb,Blackwell 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,363,25,314,13,10,1
Cobb,Chattahoochee 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,169,9,123,8,28,1
Cobb,Cheatham Hill 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,559,24,367,164,4,0
Cobb,Cheatham Hill 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,699,55,444,199,1,0
Cobb,Chalker 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,448,56,322,33,37,0
Cobb,Clarkdale 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,168,30,108,29,1,0
Cobb,Clarkdale 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,393,20,316,53,3,1
Cobb,Cooper 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,205,18,135,46,5,1
Cobb,Chestnut Ridge 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,693,34,560,5,94,0
Cobb,Dickerson 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,515,34,363,0,118,0
Cobb,Dobbins 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,149,8,108,30,3,0
Cobb,Dowell 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,439,28,268,142,1,0
Cobb,Dodgen 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,438,28,319,6,84,1
Cobb,Durham 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,810,59,561,94,94,2
Cobb,Davis 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,359,18,313,9,19,0
Cobb,Eastside 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,617,40,405,4,168,0
Cobb,Eastside 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,854,42,604,12,195,1
Cobb,Elizabeth 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,188,7,138,33,9,1
Cobb,Elizabeth 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,405,57,298,36,14,0
Cobb,Elizabeth 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,532,43,409,28,52,0
Cobb,Elizabeth 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,301,19,242,14,24,2
Cobb,Elizabeth 05,Secretary Of State,,REP,BRAD RAFFENSPERGER,451,36,345,15,55,0
