county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Telfair,Helena,Secretary Of State,,REP,BRAD RAFFENSPERGER,162,5,37,120,0
Telfair,Jacksonville,Secretary Of State,,REP,BRAD RAFFENSPERGER,133,9,29,95,0
Telfair,Lumber City,Secretary Of State,,REP,BRAD RAFFENSPERGER,130,3,21,106,0
Telfair,McRae,Secretary Of State,,REP,BRAD RAFFENSPERGER,350,27,142,181,0
Telfair,Milan,Secretary Of State,,REP,BRAD RAFFENSPERGER,235,14,60,161,0
Telfair,Scotland,Secretary Of State,,REP,BRAD RAFFENSPERGER,79,0,17,62,0
Telfair,Helena,Secretary Of State,,DEM,JOHN BARROW,71,6,15,50,0
Telfair,Jacksonville,Secretary Of State,,DEM,JOHN BARROW,51,6,3,42,0
Telfair,Lumber City,Secretary Of State,,DEM,JOHN BARROW,91,13,7,71,0
Telfair,McRae,Secretary Of State,,DEM,JOHN BARROW,217,27,59,131,0
Telfair,Milan,Secretary Of State,,DEM,JOHN BARROW,27,3,4,20,0
Telfair,Scotland,Secretary Of State,,DEM,JOHN BARROW,20,0,5,15,0
Telfair,Helena,"Public Service Commission, District 3",3,(REP,CHUCK EATON,154,6,36,112,0
Telfair,Jacksonville,"Public Service Commission, District 3",3,(REP,CHUCK EATON,130,9,29,92,0
Telfair,Lumber City,"Public Service Commission, District 3",3,(REP,CHUCK EATON,132,4,22,106,0
Telfair,McRae,"Public Service Commission, District 3",3,(REP,CHUCK EATON,354,30,143,181,0
Telfair,Milan,"Public Service Commission, District 3",3,(REP,CHUCK EATON,233,14,60,159,0
Telfair,Scotland,"Public Service Commission, District 3",3,(REP,CHUCK EATON,76,0,17,59,0
Telfair,Helena,"Public Service Commission, District 3",3,DEM,LINDY MILLER,70,5,13,52,0
Telfair,Jacksonville,"Public Service Commission, District 3",3,DEM,LINDY MILLER,53,6,3,44,0
Telfair,Lumber City,"Public Service Commission, District 3",3,DEM,LINDY MILLER,85,12,6,67,0
Telfair,McRae,"Public Service Commission, District 3",3,DEM,LINDY MILLER,203,24,57,122,0
Telfair,Milan,"Public Service Commission, District 3",3,DEM,LINDY MILLER,26,3,4,19,0
Telfair,Scotland,"Public Service Commission, District 3",3,DEM,LINDY MILLER,22,0,5,17,0
