county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Dooly,LILLY,Governor,,REP,BRIAN KEMP,169,1,80,88,0
Dooly,BYROMVILLE,Governor,,REP,BRIAN KEMP,207,2,81,124,0
Dooly,UNADILLA,Governor,,REP,BRIAN KEMP,506,21,225,259,1
Dooly,VIENNA,Governor,,REP,BRIAN KEMP,864,24,676,164,0
Dooly,PINEHURST,Governor,,REP,BRIAN KEMP,255,12,118,125,0
Dooly,LILLY,Governor,,DEM,STACEY ABRAMS,166,7,60,99,0
Dooly,BYROMVILLE,Governor,,DEM,STACEY ABRAMS,212,19,51,141,1
Dooly,UNADILLA,Governor,,DEM,STACEY ABRAMS,502,36,148,318,0
Dooly,VIENNA,Governor,,DEM,STACEY ABRAMS,800,63,413,324,0
Dooly,PINEHURST,Governor,,DEM,STACEY ABRAMS,102,11,32,59,0
Dooly,LILLY,Governor,,LIB,TED METZ,1,0,1,0,0
Dooly,BYROMVILLE,Governor,,LIB,TED METZ,1,0,1,0,0
Dooly,UNADILLA,Governor,,LIB,TED METZ,4,0,0,4,0
Dooly,VIENNA,Governor,,LIB,TED METZ,5,0,3,2,0
Dooly,PINEHURST,Governor,,LIB,TED METZ,1,0,0,1,0
Dooly,LILLY,Lieutenant Governor,,REP,GEOFF DUNCAN,164,1,77,86,0
Dooly,BYROMVILLE,Lieutenant Governor,,REP,GEOFF DUNCAN,207,3,83,121,0
Dooly,UNADILLA,Lieutenant Governor,,REP,GEOFF DUNCAN,481,21,209,250,1
Dooly,VIENNA,Lieutenant Governor,,REP,GEOFF DUNCAN,809,23,630,156,0
Dooly,PINEHURST,Lieutenant Governor,,REP,GEOFF DUNCAN,242,15,115,112,0
Dooly,LILLY,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,148,7,54,87,0
Dooly,BYROMVILLE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,180,17,43,120,0
Dooly,UNADILLA,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,451,34,130,287,0
Dooly,VIENNA,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,705,63,361,281,0
Dooly,PINEHURST,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,95,8,29,58,0
Dooly,LILLY,Secretary Of State,,REP,BRAD RAFFENSPERGER,154,1,74,79,0
Dooly,BYROMVILLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,195,3,77,115,0
Dooly,UNADILLA,Secretary Of State,,REP,BRAD RAFFENSPERGER,472,19,212,240,1
Dooly,VIENNA,Secretary Of State,,REP,BRAD RAFFENSPERGER,805,22,631,152,0
Dooly,PINEHURST,Secretary Of State,,REP,BRAD RAFFENSPERGER,237,13,115,109,0
Dooly,LILLY,Secretary Of State,,DEM,JOHN BARROW,166,7,60,99,0
Dooly,BYROMVILLE,Secretary Of State,,DEM,JOHN BARROW,205,17,50,138,0
Dooly,UNADILLA,Secretary Of State,,DEM,JOHN BARROW,500,35,141,324,0
Dooly,VIENNA,Secretary Of State,,DEM,JOHN BARROW,797,65,415,317,0
Dooly,PINEHURST,Secretary Of State,,DEM,JOHN BARROW,112,9,33,70,0
Dooly,LILLY,Secretary Of State,,LIB,SMYTHE DUVAL,3,0,1,2,0
Dooly,BYROMVILLE,Secretary Of State,,LIB,SMYTHE DUVAL,5,0,1,4,0
Dooly,UNADILLA,Secretary Of State,,LIB,SMYTHE DUVAL,7,0,2,5,0
Dooly,VIENNA,Secretary Of State,,LIB,SMYTHE DUVAL,9,0,5,4,0
Dooly,PINEHURST,Secretary Of State,,LIB,SMYTHE DUVAL,1,0,0,1,0
Dooly,LILLY,Attorney General,,(REP,CHRIS CARR,162,1,78,83,0
Dooly,BYROMVILLE,Attorney General,,(REP,CHRIS CARR,200,2,81,117,0
Dooly,UNADILLA,Attorney General,,(REP,CHRIS CARR,498,21,223,253,1
Dooly,VIENNA,Attorney General,,(REP,CHRIS CARR,846,25,660,161,0
Dooly,PINEHURST,Attorney General,,(REP,CHRIS CARR,242,15,113,114,0
Dooly,LILLY,Attorney General,,DEM,CHARLIE BAILEY,160,6,57,97,0
Dooly,BYROMVILLE,Attorney General,,DEM,CHARLIE BAILEY,198,18,45,135,0
Dooly,UNADILLA,Attorney General,,DEM,CHARLIE BAILEY,486,35,134,317,0
Dooly,VIENNA,Attorney General,,DEM,CHARLIE BAILEY,764,61,391,312,0
Dooly,PINEHURST,Attorney General,,DEM,CHARLIE BAILEY,106,7,33,66,0
Dooly,LILLY,Commissioner Of Agriculture,,(REP,GARY BLACK,173,1,81,91,0
Dooly,BYROMVILLE,Commissioner Of Agriculture,,(REP,GARY BLACK,206,2,83,121,0
Dooly,UNADILLA,Commissioner Of Agriculture,,(REP,GARY BLACK,508,19,221,267,1
Dooly,VIENNA,Commissioner Of Agriculture,,(REP,GARY BLACK,876,27,673,176,0
Dooly,PINEHURST,Commissioner Of Agriculture,,(REP,GARY BLACK,249,16,117,116,0
Dooly,LILLY,Commissioner Of Agriculture,,DEM,FRED SWANN,152,7,53,92,0
Dooly,BYROMVILLE,Commissioner Of Agriculture,,DEM,FRED SWANN,187,18,42,127,0
Dooly,UNADILLA,Commissioner Of Agriculture,,DEM,FRED SWANN,462,36,133,293,0
Dooly,VIENNA,Commissioner Of Agriculture,,DEM,FRED SWANN,725,60,374,291,0
Dooly,PINEHURST,Commissioner Of Agriculture,,DEM,FRED SWANN,97,6,30,61,0
Dooly,LILLY,Commissioner Of Insurance,,REP,JIM BECK,160,1,75,84,0
Dooly,BYROMVILLE,Commissioner Of Insurance,,REP,JIM BECK,200,2,80,118,0
Dooly,UNADILLA,Commissioner Of Insurance,,REP,JIM BECK,499,21,218,259,1
Dooly,VIENNA,Commissioner Of Insurance,,REP,JIM BECK,850,21,663,166,0
Dooly,PINEHURST,Commissioner Of Insurance,,REP,JIM BECK,246,14,116,116,0
Dooly,LILLY,Commissioner Of Insurance,,DEM,JANICE LAWS,156,7,54,95,0
Dooly,BYROMVILLE,Commissioner Of Insurance,,DEM,JANICE LAWS,195,18,44,133,0
Dooly,UNADILLA,Commissioner Of Insurance,,DEM,JANICE LAWS,466,33,134,299,0
Dooly,VIENNA,Commissioner Of Insurance,,DEM,JANICE LAWS,745,65,387,293,0
Dooly,PINEHURST,Commissioner Of Insurance,,DEM,JANICE LAWS,98,7,30,61,0
Dooly,LILLY,Commissioner Of Insurance,,LIB,DONNIE FOSTER,6,0,2,4,0
Dooly,BYROMVILLE,Commissioner Of Insurance,,LIB,DONNIE FOSTER,3,0,2,1,0
Dooly,UNADILLA,Commissioner Of Insurance,,LIB,DONNIE FOSTER,9,0,2,7,0
Dooly,VIENNA,Commissioner Of Insurance,,LIB,DONNIE FOSTER,15,0,9,6,0
Dooly,PINEHURST,Commissioner Of Insurance,,LIB,DONNIE FOSTER,3,1,1,1,0
Dooly,LILLY,State School Superintendent,,(REP,RICHARD WOODS,174,1,82,91,0
Dooly,BYROMVILLE,State School Superintendent,,(REP,RICHARD WOODS,204,2,82,120,0
Dooly,UNADILLA,State School Superintendent,,(REP,RICHARD WOODS,497,21,220,255,1
Dooly,VIENNA,State School Superintendent,,(REP,RICHARD WOODS,859,24,664,171,0
Dooly,PINEHURST,State School Superintendent,,(REP,RICHARD WOODS,249,15,118,116,0
Dooly,LILLY,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",149,7,53,89,0
Dooly,BYROMVILLE,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",198,18,46,134,0
Dooly,UNADILLA,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",471,32,132,307,0
Dooly,VIENNA,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",751,62,392,297,0
Dooly,PINEHURST,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",95,7,29,59,0
Dooly,LILLY,Commissioner Of Labor,,(REP,MARK BUTLER,165,1,78,86,0
Dooly,BYROMVILLE,Commissioner Of Labor,,(REP,MARK BUTLER,201,2,81,118,0
Dooly,UNADILLA,Commissioner Of Labor,,(REP,MARK BUTLER,494,21,219,253,1
Dooly,VIENNA,Commissioner Of Labor,,(REP,MARK BUTLER,864,23,665,176,0
Dooly,PINEHURST,Commissioner Of Labor,,(REP,MARK BUTLER,246,14,114,118,0
