county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Toombs,43 Cedar Crossing,Commissioner Of Agriculture,,DEM,FRED SWANN,57,2,24,31,0
Toombs,513 V.P.D.,Commissioner Of Agriculture,,DEM,FRED SWANN,868,148,367,353,0
Toombs,514 S.T.I.A.L.C,Commissioner Of Agriculture,,DEM,FRED SWANN,667,131,264,271,1
Toombs,15361 Lyons,Commissioner Of Insurance,,REP,JIM BECK,1330,58,862,409,1
Toombs,39 New Branch,Commissioner Of Insurance,,REP,JIM BECK,748,33,367,348,0
Toombs,43 Cedar Crossing,Commissioner Of Insurance,,REP,JIM BECK,746,21,334,390,1
Toombs,513 V.P.D.,Commissioner Of Insurance,,REP,JIM BECK,2287,140,1431,715,1
Toombs,514 S.T.I.A.L.C,Commissioner Of Insurance,,REP,JIM BECK,1283,64,809,408,2
Toombs,15361 Lyons,Commissioner Of Insurance,,DEM,JANICE LAWS,428,45,190,191,2
Toombs,39 New Branch,Commissioner Of Insurance,,DEM,JANICE LAWS,75,18,28,28,1
Toombs,43 Cedar Crossing,Commissioner Of Insurance,,DEM,JANICE LAWS,54,3,18,33,0
Toombs,513 V.P.D.,Commissioner Of Insurance,,DEM,JANICE LAWS,859,148,367,344,0
Toombs,514 S.T.I.A.L.C,Commissioner Of Insurance,,DEM,JANICE LAWS,657,132,253,271,1
Toombs,15361 Lyons,Commissioner Of Insurance,,LIB,DONNIE FOSTER,43,1,20,22,0
Toombs,39 New Branch,Commissioner Of Insurance,,LIB,DONNIE FOSTER,15,0,5,10,0
Toombs,43 Cedar Crossing,Commissioner Of Insurance,,LIB,DONNIE FOSTER,7,0,2,5,0
Toombs,513 V.P.D.,Commissioner Of Insurance,,LIB,DONNIE FOSTER,49,3,18,28,0
Toombs,514 S.T.I.A.L.C,Commissioner Of Insurance,,LIB,DONNIE FOSTER,34,2,19,13,0
Toombs,15361 Lyons,State School Superintendent,,(REP,RICHARD WOODS,1364,59,886,418,1
Toombs,39 New Branch,State School Superintendent,,(REP,RICHARD WOODS,761,34,377,350,0
Toombs,43 Cedar Crossing,State School Superintendent,,(REP,RICHARD WOODS,752,20,333,398,1
Toombs,513 V.P.D.,State School Superintendent,,(REP,RICHARD WOODS,2337,138,1459,739,1
Toombs,514 S.T.I.A.L.C,State School Superintendent,,(REP,RICHARD WOODS,1302,67,818,415,2
Toombs,15361 Lyons,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",437,46,190,199,2
Toombs,39 New Branch,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",82,16,29,36,1
Toombs,43 Cedar Crossing,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",54,3,22,29,0
