county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Burke,Alexander,Governor,,REP,BRIAN KEMP,131,7,38,86,0
Burke,Four Points,Governor,,REP,BRIAN KEMP,802,28,282,492,0
Burke,Girard,Governor,,REP,BRIAN KEMP,194,16,56,122,0
Burke,Gough,Governor,,REP,BRIAN KEMP,109,8,43,58,0
Burke,Greenscut,Governor,,REP,BRIAN KEMP,361,21,123,217,0
Burke,Keysville,Governor,,REP,BRIAN KEMP,84,1,15,68,0
Burke,Midville,Governor,,REP,BRIAN KEMP,114,6,22,86,0
Burke,Munnerlyn,Governor,,REP,BRIAN KEMP,107,5,29,73,0
Burke,Sardis,Governor,,REP,BRIAN KEMP,330,6,69,255,0
Burke,Scotts Crossroads,Governor,,REP,BRIAN KEMP,58,4,14,40,0
Burke,Telfair,Governor,,REP,BRIAN KEMP,284,22,84,178,0
Burke,St. Clair,Governor,,REP,BRIAN KEMP,138,7,60,71,0
Burke,Vidette,Governor,,REP,BRIAN KEMP,99,5,20,74,0
Burke,North Waynesboro,Governor,,REP,BRIAN KEMP,396,22,254,120,0
Burke,South Waynesboro,Governor,,REP,BRIAN KEMP,1072,84,670,318,0
Burke,Blakeney,Governor,,REP,BRIAN KEMP,131,0,79,52,0
Burke,Alexander,Governor,,DEM,STACEY ABRAMS,108,20,32,56,0
Burke,Four Points,Governor,,DEM,STACEY ABRAMS,383,46,123,212,2
Burke,Girard,Governor,,DEM,STACEY ABRAMS,225,55,30,140,0
Burke,Gough,Governor,,DEM,STACEY ABRAMS,152,28,47,77,0
Burke,Greenscut,Governor,,DEM,STACEY ABRAMS,219,29,76,114,0
Burke,Keysville,Governor,,DEM,STACEY ABRAMS,123,9,5,109,0
Burke,Midville,Governor,,DEM,STACEY ABRAMS,146,19,19,108,0
Burke,Munnerlyn,Governor,,DEM,STACEY ABRAMS,65,16,21,28,0
Burke,Sardis,Governor,,DEM,STACEY ABRAMS,200,20,38,142,0
Burke,Scotts Crossroads,Governor,,DEM,STACEY ABRAMS,114,14,22,78,0
Burke,Telfair,Governor,,DEM,STACEY ABRAMS,249,58,83,108,0
Burke,St. Clair,Governor,,DEM,STACEY ABRAMS,124,14,41,69,0
Burke,Vidette,Governor,,DEM,STACEY ABRAMS,93,10,17,66,0
Burke,North Waynesboro,Governor,,DEM,STACEY ABRAMS,1115,239,387,489,0
Burke,South Waynesboro,Governor,,DEM,STACEY ABRAMS,782,126,313,343,0
Burke,Blakeney,Governor,,DEM,STACEY ABRAMS,171,21,77,73,0
Burke,Alexander,Governor,,LIB,TED METZ,1,0,0,1,0
Burke,Four Points,Governor,,LIB,TED METZ,10,0,1,9,0
Burke,Girard,Governor,,LIB,TED METZ,1,0,0,1,0
Burke,Gough,Governor,,LIB,TED METZ,0,0,0,0,0
Burke,Greenscut,Governor,,LIB,TED METZ,0,0,0,0,0
Burke,Keysville,Governor,,LIB,TED METZ,1,0,0,1,0
Burke,Midville,Governor,,LIB,TED METZ,2,0,0,2,0
Burke,Munnerlyn,Governor,,LIB,TED METZ,1,0,0,1,0
Burke,Sardis,Governor,,LIB,TED METZ,0,0,0,0,0
Burke,Scotts Crossroads,Governor,,LIB,TED METZ,2,0,1,1,0
Burke,Telfair,Governor,,LIB,TED METZ,3,0,0,3,0
Burke,St. Clair,Governor,,LIB,TED METZ,1,0,0,1,0
Burke,Vidette,Governor,,LIB,TED METZ,0,0,0,0,0
Burke,North Waynesboro,Governor,,LIB,TED METZ,5,0,1,4,0
Burke,South Waynesboro,Governor,,LIB,TED METZ,14,2,6,6,0
Burke,Blakeney,Governor,,LIB,TED METZ,1,0,1,0,0
Burke,Alexander,Lieutenant Governor,,REP,GEOFF DUNCAN,125,7,37,81,0
Burke,Four Points,Lieutenant Governor,,REP,GEOFF DUNCAN,766,28,275,463,0
Burke,Girard,Lieutenant Governor,,REP,GEOFF DUNCAN,182,16,52,114,0
Burke,Gough,Lieutenant Governor,,REP,GEOFF DUNCAN,105,8,41,56,0
Burke,Greenscut,Lieutenant Governor,,REP,GEOFF DUNCAN,350,24,119,207,0
Burke,Keysville,Lieutenant Governor,,REP,GEOFF DUNCAN,82,1,15,66,0
Burke,Midville,Lieutenant Governor,,REP,GEOFF DUNCAN,111,6,21,84,0
Burke,Munnerlyn,Lieutenant Governor,,REP,GEOFF DUNCAN,103,4,28,71,0
Burke,Sardis,Lieutenant Governor,,REP,GEOFF DUNCAN,305,6,62,237,0
Burke,Scotts Crossroads,Lieutenant Governor,,REP,GEOFF DUNCAN,58,4,14,40,0
Burke,Telfair,Lieutenant Governor,,REP,GEOFF DUNCAN,278,24,84,170,0
Burke,St. Clair,Lieutenant Governor,,REP,GEOFF DUNCAN,138,7,60,71,0
Burke,Vidette,Lieutenant Governor,,REP,GEOFF DUNCAN,99,5,20,74,0
Burke,North Waynesboro,Lieutenant Governor,,REP,GEOFF DUNCAN,393,24,248,121,0
Burke,South Waynesboro,Lieutenant Governor,,REP,GEOFF DUNCAN,1045,85,653,307,0
Burke,Blakeney,Lieutenant Governor,,REP,GEOFF DUNCAN,127,1,77,49,0
Burke,Alexander,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,97,19,26,52,0
Burke,Four Points,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,379,46,117,214,2
Burke,Girard,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,207,55,26,126,0
Burke,Gough,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,134,27,44,63,0
