county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Rockdale,Barksdale,Governor,,REP,BRIAN KEMP,1161,47,727,387,0
Rockdale,Bethel,Governor,,REP,BRIAN KEMP,1411,50,725,635,1
Rockdale,Conyers,Governor,,REP,BRIAN KEMP,384,4,227,153,0
Rockdale,Fieldstone,Governor,,REP,BRIAN KEMP,555,27,383,142,3
Rockdale,Flat Shoals,Governor,,REP,BRIAN KEMP,515,24,365,126,0
Rockdale,Honey Creek,Governor,,REP,BRIAN KEMP,794,20,526,248,0
Rockdale,Hightower,Governor,,REP,BRIAN KEMP,719,21,452,246,0
Rockdale,The Lakes,Governor,,REP,BRIAN KEMP,287,6,171,110,0
Rockdale,Lorraine,Governor,,REP,BRIAN KEMP,1117,37,547,533,0
Rockdale,Magnet,Governor,,REP,BRIAN KEMP,923,20,503,399,1
Rockdale,Milstead,Governor,,REP,BRIAN KEMP,434,19,279,136,0
Rockdale,Olde Towne,Governor,,REP,BRIAN KEMP,398,30,268,100,0
Rockdale,Rockdale,Governor,,REP,BRIAN KEMP,768,34,516,218,0
Rockdale,Smyrna,Governor,,REP,BRIAN KEMP,706,29,489,186,2
Rockdale,St. Pius,Governor,,REP,BRIAN KEMP,678,36,491,148,3
Rockdale,Stanton,Governor,,REP,BRIAN KEMP,853,44,578,231,0
Rockdale,Barksdale,Governor,,DEM,STACEY ABRAMS,1740,83,1125,532,0
Rockdale,Bethel,Governor,,DEM,STACEY ABRAMS,811,47,451,310,3
Rockdale,Conyers,Governor,,DEM,STACEY ABRAMS,1349,110,715,523,1
Rockdale,Fieldstone,Governor,,DEM,STACEY ABRAMS,3071,186,1896,983,6
Rockdale,Flat Shoals,Governor,,DEM,STACEY ABRAMS,1798,93,1170,531,4
Rockdale,Honey Creek,Governor,,DEM,STACEY ABRAMS,716,32,429,252,3
Rockdale,Hightower,Governor,,DEM,STACEY ABRAMS,1249,71,793,382,3
Rockdale,The Lakes,Governor,,DEM,STACEY ABRAMS,691,55,377,258,1
Rockdale,Lorraine,Governor,,DEM,STACEY ABRAMS,1437,70,926,440,1
Rockdale,Magnet,Governor,,DEM,STACEY ABRAMS,881,54,527,299,1
Rockdale,Milstead,Governor,,DEM,STACEY ABRAMS,1620,96,969,552,3
Rockdale,Olde Towne,Governor,,DEM,STACEY ABRAMS,2388,127,1413,836,12
Rockdale,Rockdale,Governor,,DEM,STACEY ABRAMS,1844,115,1190,538,1
Rockdale,Smyrna,Governor,,DEM,STACEY ABRAMS,1896,110,1294,492,0
Rockdale,St. Pius,Governor,,DEM,STACEY ABRAMS,2092,102,1411,574,5
Rockdale,Stanton,Governor,,DEM,STACEY ABRAMS,1142,48,768,325,1
Rockdale,Barksdale,Governor,,LIB,TED METZ,20,2,6,12,0
Rockdale,Bethel,Governor,,LIB,TED METZ,16,0,7,9,0
Rockdale,Conyers,Governor,,LIB,TED METZ,8,0,4,4,0
Rockdale,Fieldstone,Governor,,LIB,TED METZ,22,1,11,10,0
Rockdale,Flat Shoals,Governor,,LIB,TED METZ,13,1,7,5,0
Rockdale,Honey Creek,Governor,,LIB,TED METZ,10,0,5,5,0
Rockdale,Hightower,Governor,,LIB,TED METZ,12,0,6,6,0
Rockdale,The Lakes,Governor,,LIB,TED METZ,8,0,0,8,0
Rockdale,Lorraine,Governor,,LIB,TED METZ,15,0,5,10,0
Rockdale,Magnet,Governor,,LIB,TED METZ,9,0,1,8,0
Rockdale,Milstead,Governor,,LIB,TED METZ,16,2,6,8,0
Rockdale,Olde Towne,Governor,,LIB,TED METZ,9,0,2,7,0
Rockdale,Rockdale,Governor,,LIB,TED METZ,11,0,6,5,0
Rockdale,Smyrna,Governor,,LIB,TED METZ,21,0,7,14,0
Rockdale,St. Pius,Governor,,LIB,TED METZ,19,0,7,12,0
Rockdale,Stanton,Governor,,LIB,TED METZ,18,0,8,10,0
Rockdale,Barksdale,Lieutenant Governor,,REP,GEOFF DUNCAN,1160,49,720,391,0
Rockdale,Bethel,Lieutenant Governor,,REP,GEOFF DUNCAN,1372,50,707,614,1
Rockdale,Conyers,Lieutenant Governor,,REP,GEOFF DUNCAN,390,5,235,150,0
Rockdale,Fieldstone,Lieutenant Governor,,REP,GEOFF DUNCAN,554,30,374,147,3
Rockdale,Flat Shoals,Lieutenant Governor,,REP,GEOFF DUNCAN,514,25,368,121,0
Rockdale,Honey Creek,Lieutenant Governor,,REP,GEOFF DUNCAN,795,20,532,243,0
Rockdale,Hightower,Lieutenant Governor,,REP,GEOFF DUNCAN,705,21,446,238,0
Rockdale,The Lakes,Lieutenant Governor,,REP,GEOFF DUNCAN,294,5,172,117,0
Rockdale,Lorraine,Lieutenant Governor,,REP,GEOFF DUNCAN,1105,37,534,534,0
Rockdale,Magnet,Lieutenant Governor,,REP,GEOFF DUNCAN,910,22,496,391,1
Rockdale,Milstead,Lieutenant Governor,,REP,GEOFF DUNCAN,434,24,272,138,0
Rockdale,Olde Towne,Lieutenant Governor,,REP,GEOFF DUNCAN,410,31,271,108,0
Rockdale,Rockdale,Lieutenant Governor,,REP,GEOFF DUNCAN,757,33,509,215,0
Rockdale,Smyrna,Lieutenant Governor,,REP,GEOFF DUNCAN,706,29,487,189,1
Rockdale,St. Pius,Lieutenant Governor,,REP,GEOFF DUNCAN,679,38,495,143,3
Rockdale,Stanton,Lieutenant Governor,,REP,GEOFF DUNCAN,839,41,568,230,0
Rockdale,Barksdale,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,1678,84,1085,509,0
Rockdale,Bethel,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,780,46,440,291,3
Rockdale,Conyers,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,1269,109,666,493,1
