county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Rockdale,Barksdale,Secretary Of State,,REP,BRAD RAFFENSPERGER,582,23,226,333,0
Rockdale,Bethel,Secretary Of State,,REP,BRAD RAFFENSPERGER,705,23,231,450,1
Rockdale,Conyers,Secretary Of State,,REP,BRAD RAFFENSPERGER,175,4,77,94,0
Rockdale,Fieldstone,Secretary Of State,,REP,BRAD RAFFENSPERGER,263,14,130,118,1
Rockdale,Flat Shoals,Secretary Of State,,REP,BRAD RAFFENSPERGER,295,10,158,127,0
Rockdale,Honey Creek,Secretary Of State,,REP,BRAD RAFFENSPERGER,416,16,169,231,0
Rockdale,Hightower,Secretary Of State,,REP,BRAD RAFFENSPERGER,349,21,126,202,0
Rockdale,The Lakes,Secretary Of State,,REP,BRAD RAFFENSPERGER,147,1,57,89,0
Rockdale,Lorraine,Secretary Of State,,REP,BRAD RAFFENSPERGER,595,26,175,394,0
Rockdale,Magnet,Secretary Of State,,REP,BRAD RAFFENSPERGER,419,4,157,258,0
Rockdale,Milstead,Secretary Of State,,REP,BRAD RAFFENSPERGER,206,16,93,97,0
Rockdale,Olde Towne,Secretary Of State,,REP,BRAD RAFFENSPERGER,168,18,95,55,0
Rockdale,Rockdale,Secretary Of State,,REP,BRAD RAFFENSPERGER,353,23,163,167,0
Rockdale,Smyrna,Secretary Of State,,REP,BRAD RAFFENSPERGER,371,10,199,161,1
Rockdale,St. Pius,Secretary Of State,,REP,BRAD RAFFENSPERGER,335,25,173,137,0
Rockdale,Stanton,Secretary Of State,,REP,BRAD RAFFENSPERGER,451,26,207,216,2
Rockdale,Barksdale,Secretary Of State,,DEM,JOHN BARROW,712,14,231,465,2
Rockdale,Bethel,Secretary Of State,,DEM,JOHN BARROW,335,13,124,198,0
Rockdale,Conyers,Secretary Of State,,DEM,JOHN BARROW,387,31,116,240,0
Rockdale,Fieldstone,Secretary Of State,,DEM,JOHN BARROW,1120,44,370,702,4
