county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Lincoln,Midway,Secretary Of State,,REP,BRAD RAFFENSPERGER,110,3,36,71,0
Lincoln,Lincoln Club House,Secretary Of State,,REP,BRAD RAFFENSPERGER,98,4,34,60,0
Lincoln,Lincoln Center,Secretary Of State,,REP,BRAD RAFFENSPERGER,386,21,143,222,0
Lincoln,Faith Temple of Linc,Secretary Of State,,REP,BRAD RAFFENSPERGER,74,4,21,49,0
Lincoln,Tabernacle,Secretary Of State,,REP,BRAD RAFFENSPERGER,169,6,60,103,0
Lincoln,Bethany Church,Secretary Of State,,REP,BRAD RAFFENSPERGER,158,8,48,100,2
Lincoln,Martins Crossroad,Secretary Of State,,REP,BRAD RAFFENSPERGER,349,16,103,229,1
Lincoln,Midway,Secretary Of State,,DEM,JOHN BARROW,47,13,8,26,0
Lincoln,Lincoln Club House,Secretary Of State,,DEM,JOHN BARROW,132,29,29,74,0
Lincoln,Lincoln Center,Secretary Of State,,DEM,JOHN BARROW,110,28,24,58,0
Lincoln,Faith Temple of Linc,Secretary Of State,,DEM,JOHN BARROW,49,6,11,32,0
Lincoln,Tabernacle,Secretary Of State,,DEM,JOHN BARROW,153,25,37,91,0
Lincoln,Bethany Church,Secretary Of State,,DEM,JOHN BARROW,34,4,8,22,0
Lincoln,Martins Crossroad,Secretary Of State,,DEM,JOHN BARROW,97,13,22,62,0
Lincoln,Midway,"Public Service Commission, District 3",3,(REP,CHUCK EATON,110,3,38,69,0
Lincoln,Lincoln Club House,"Public Service Commission, District 3",3,(REP,CHUCK EATON,96,4,34,58,0
Lincoln,Lincoln Center,"Public Service Commission, District 3",3,(REP,CHUCK EATON,396,21,145,230,0
Lincoln,Faith Temple of Linc,"Public Service Commission, District 3",3,(REP,CHUCK EATON,75,4,21,50,0
Lincoln,Tabernacle,"Public Service Commission, District 3",3,(REP,CHUCK EATON,174,7,61,106,0
Lincoln,Bethany Church,"Public Service Commission, District 3",3,(REP,CHUCK EATON,162,8,47,105,2
Lincoln,Martins Crossroad,"Public Service Commission, District 3",3,(REP,CHUCK EATON,356,16,102,237,1
Lincoln,Midway,"Public Service Commission, District 3",3,DEM,LINDY MILLER,43,13,6,24,0
Lincoln,Lincoln Club House,"Public Service Commission, District 3",3,DEM,LINDY MILLER,132,29,29,74,0
Lincoln,Lincoln Center,"Public Service Commission, District 3",3,DEM,LINDY MILLER,96,27,22,47,0
Lincoln,Faith Temple of Linc,"Public Service Commission, District 3",3,DEM,LINDY MILLER,44,5,11,28,0
Lincoln,Tabernacle,"Public Service Commission, District 3",3,DEM,LINDY MILLER,138,22,34,82,0
Lincoln,Bethany Church,"Public Service Commission, District 3",3,DEM,LINDY MILLER,29,4,9,16,0
Lincoln,Martins Crossroad,"Public Service Commission, District 3",3,DEM,LINDY MILLER,86,12,22,52,0
