county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Harris,CATAULA,Governor,,REP,BRIAN KEMP,1429,35,671,720,3
Harris,ELLERSLIE,Governor,,REP,BRIAN KEMP,1953,64,903,985,1
Harris,GOODMAN,Governor,,REP,BRIAN KEMP,623,26,346,250,1
Harris,HAMILTON,Governor,,REP,BRIAN KEMP,1086,30,691,365,0
Harris,LOWER 19TH,Governor,,REP,BRIAN KEMP,1298,44,488,764,2
Harris,MULBERRY GROVE,Governor,,REP,BRIAN KEMP,1564,62,778,721,3
Harris,PINE MOUNTAIN VALLEY,Governor,,REP,BRIAN KEMP,571,16,230,325,0
Harris,SKINNER,Governor,,REP,BRIAN KEMP,371,19,50,302,0
Harris,UPPER 19TH,Governor,,REP,BRIAN KEMP,866,37,373,456,0
Harris,VALLEY PLAINS,Governor,,REP,BRIAN KEMP,312,9,106,197,0
Harris,WAVERLY HALL,Governor,,REP,BRIAN KEMP,1085,46,450,588,1
Harris,WHITESVILLE,Governor,,REP,BRIAN KEMP,676,21,310,345,0
Harris,CATAULA,Governor,,DEM,STACEY ABRAMS,409,38,193,178,0
Harris,ELLERSLIE,Governor,,DEM,STACEY ABRAMS,679,61,345,273,0
Harris,GOODMAN,Governor,,DEM,STACEY ABRAMS,375,20,164,191,0
Harris,HAMILTON,Governor,,DEM,STACEY ABRAMS,556,30,330,196,0
Harris,LOWER 19TH,Governor,,DEM,STACEY ABRAMS,341,28,144,168,1
Harris,MULBERRY GROVE,Governor,,DEM,STACEY ABRAMS,294,18,148,128,0
Harris,PINE MOUNTAIN VALLEY,Governor,,DEM,STACEY ABRAMS,115,11,56,48,0
Harris,SKINNER,Governor,,DEM,STACEY ABRAMS,199,18,31,149,1
Harris,UPPER 19TH,Governor,,DEM,STACEY ABRAMS,153,4,52,97,0
Harris,VALLEY PLAINS,Governor,,DEM,STACEY ABRAMS,139,12,33,94,0
Harris,WAVERLY HALL,Governor,,DEM,STACEY ABRAMS,553,64,247,241,1
Harris,WHITESVILLE,Governor,,DEM,STACEY ABRAMS,208,7,76,125,0
Harris,CATAULA,Governor,,LIB,TED METZ,19,1,6,12,0
Harris,ELLERSLIE,Governor,,LIB,TED METZ,21,0,8,13,0
Harris,GOODMAN,Governor,,LIB,TED METZ,6,0,1,5,0
Harris,HAMILTON,Governor,,LIB,TED METZ,11,0,3,8,0
Harris,LOWER 19TH,Governor,,LIB,TED METZ,19,2,6,11,0
Harris,MULBERRY GROVE,Governor,,LIB,TED METZ,15,3,3,9,0
Harris,PINE MOUNTAIN VALLEY,Governor,,LIB,TED METZ,3,0,0,3,0
Harris,SKINNER,Governor,,LIB,TED METZ,5,1,0,4,0
Harris,UPPER 19TH,Governor,,LIB,TED METZ,11,1,1,9,0
Harris,VALLEY PLAINS,Governor,,LIB,TED METZ,1,0,0,1,0
Harris,WAVERLY HALL,Governor,,LIB,TED METZ,13,1,5,7,0
Harris,WHITESVILLE,Governor,,LIB,TED METZ,7,0,3,4,0
Harris,CATAULA,Lieutenant Governor,,REP,GEOFF DUNCAN,1397,35,645,714,3
Harris,ELLERSLIE,Lieutenant Governor,,REP,GEOFF DUNCAN,1898,62,876,959,1
Harris,GOODMAN,Lieutenant Governor,,REP,GEOFF DUNCAN,611,26,343,241,1
Harris,HAMILTON,Lieutenant Governor,,REP,GEOFF DUNCAN,1065,32,667,366,0
Harris,LOWER 19TH,Lieutenant Governor,,REP,GEOFF DUNCAN,1255,45,475,733,2
Harris,MULBERRY GROVE,Lieutenant Governor,,REP,GEOFF DUNCAN,1520,59,753,705,3
Harris,PINE MOUNTAIN VALLEY,Lieutenant Governor,,REP,GEOFF DUNCAN,549,16,218,315,0
Harris,SKINNER,Lieutenant Governor,,REP,GEOFF DUNCAN,359,18,49,292,0
Harris,UPPER 19TH,Lieutenant Governor,,REP,GEOFF DUNCAN,856,38,364,454,0
Harris,VALLEY PLAINS,Lieutenant Governor,,REP,GEOFF DUNCAN,294,8,102,184,0
Harris,WAVERLY HALL,Lieutenant Governor,,REP,GEOFF DUNCAN,1066,47,443,575,1
Harris,WHITESVILLE,Lieutenant Governor,,REP,GEOFF DUNCAN,662,21,305,336,0
Harris,CATAULA,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,374,35,173,166,0
Harris,ELLERSLIE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,668,61,340,267,0
Harris,GOODMAN,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,336,20,150,166,0
Harris,HAMILTON,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,510,27,303,180,0
Harris,LOWER 19TH,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,338,30,139,168,1
Harris,MULBERRY GROVE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,295,23,149,123,0
Harris,PINE MOUNTAIN VALLEY,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,112,11,55,46,0
Harris,SKINNER,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,192,20,29,142,1
Harris,UPPER 19TH,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,143,4,52,87,0
Harris,VALLEY PLAINS,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,132,12,31,89,0
Harris,WAVERLY HALL,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,516,63,231,221,1
Harris,WHITESVILLE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,199,7,74,118,0
Harris,CATAULA,Secretary Of State,,REP,BRAD RAFFENSPERGER,1391,35,661,692,3
Harris,ELLERSLIE,Secretary Of State,,REP,BRAD RAFFENSPERGER,1895,64,878,952,1
Harris,GOODMAN,Secretary Of State,,REP,BRAD RAFFENSPERGER,596,25,331,239,1
Harris,HAMILTON,Secretary Of State,,REP,BRAD RAFFENSPERGER,1047,29,663,355,0
Harris,LOWER 19TH,Secretary Of State,,REP,BRAD RAFFENSPERGER,1269,45,483,739,2
Harris,MULBERRY GROVE,Secretary Of State,,REP,BRAD RAFFENSPERGER,1506,57,753,693,3
Harris,PINE MOUNTAIN VALLEY,Secretary Of State,,REP,BRAD RAFFENSPERGER,548,16,223,309,0
Harris,SKINNER,Secretary Of State,,REP,BRAD RAFFENSPERGER,345,16,47,282,0
Harris,UPPER 19TH,Secretary Of State,,REP,BRAD RAFFENSPERGER,844,37,364,443,0
Harris,VALLEY PLAINS,Secretary Of State,,REP,BRAD RAFFENSPERGER,295,8,101,186,0
Harris,WAVERLY HALL,Secretary Of State,,REP,BRAD RAFFENSPERGER,1052,44,439,568,1
Harris,WHITESVILLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,661,21,304,336,0
Harris,CATAULA,Secretary Of State,,DEM,JOHN BARROW,404,34,187,183,0
Harris,ELLERSLIE,Secretary Of State,,DEM,JOHN BARROW,700,59,356,285,0
Harris,GOODMAN,Secretary Of State,,DEM,JOHN BARROW,364,19,159,186,0
Harris,HAMILTON,Secretary Of State,,DEM,JOHN BARROW,554,31,336,187,0
Harris,LOWER 19TH,Secretary Of State,,DEM,JOHN BARROW,350,29,145,175,1
Harris,MULBERRY GROVE,Secretary Of State,,DEM,JOHN BARROW,319,21,154,144,0
Harris,PINE MOUNTAIN VALLEY,Secretary Of State,,DEM,JOHN BARROW,121,11,60,50,0
Harris,SKINNER,Secretary Of State,,DEM,JOHN BARROW,209,21,34,153,1
Harris,UPPER 19TH,Secretary Of State,,DEM,JOHN BARROW,162,4,55,103,0
Harris,VALLEY PLAINS,Secretary Of State,,DEM,JOHN BARROW,141,12,32,97,0
Harris,WAVERLY HALL,Secretary Of State,,DEM,JOHN BARROW,542,64,241,236,1
Harris,WHITESVILLE,Secretary Of State,,DEM,JOHN BARROW,206,7,78,121,0
Harris,CATAULA,Secretary Of State,,LIB,SMYTHE DUVAL,36,1,11,24,0
Harris,ELLERSLIE,Secretary Of State,,LIB,SMYTHE DUVAL,35,2,15,18,0
Harris,GOODMAN,Secretary Of State,,LIB,SMYTHE DUVAL,16,2,7,7,0
Harris,HAMILTON,Secretary Of State,,LIB,SMYTHE DUVAL,25,0,7,18,0
Harris,LOWER 19TH,Secretary Of State,,LIB,SMYTHE DUVAL,29,1,7,21,0
Harris,MULBERRY GROVE,Secretary Of State,,LIB,SMYTHE DUVAL,29,4,12,13,0
Harris,PINE MOUNTAIN VALLEY,Secretary Of State,,LIB,SMYTHE DUVAL,9,0,0,9,0
Harris,SKINNER,Secretary Of State,,LIB,SMYTHE DUVAL,11,1,0,10,0
