county,precinct,office,district,party,candidate,votes,provisional,absentee_by_mail,election_day,advance_in_person_3,advance_in_person_2,advance_in_person_1
DeKalb,ALLGOOD ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,67,0,5,46,0,0,16
DeKalb,ASHFORD DUNWOODY RD,Secretary Of State,,REP,BRAD RAFFENSPERGER,348,0,12,298,0,0,38
DeKalb,ASHFORD PARK ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,218,0,10,193,0,0,15
DeKalb,ASHFORD PARKSIDE,Secretary Of State,,REP,BRAD RAFFENSPERGER,337,0,23,254,0,0,60
DeKalb,AUSTIN,Secretary Of State,,REP,BRAD RAFFENSPERGER,464,0,11,286,0,0,167
DeKalb,AUSTIN DRIVE,Secretary Of State,,REP,BRAD RAFFENSPERGER,18,0,0,11,0,0,7
DeKalb,AVONDALE,Secretary Of State,,REP,BRAD RAFFENSPERGER,269,0,9,206,0,0,54
DeKalb,AVONDALE HIGH - 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,53,0,4,29,0,0,20
DeKalb,AVONDALE HIGH - 05,Secretary Of State,,REP,BRAD RAFFENSPERGER,25,0,2,18,0,0,5
DeKalb,BETHUNE MIDDLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,15,0,2,8,0,0,5
DeKalb,BOULDERCREST RD,Secretary Of State,,REP,BRAD RAFFENSPERGER,26,0,2,22,0,0,2
DeKalb,BOULEVARD,Secretary Of State,,REP,BRAD RAFFENSPERGER,60,0,0,56,0,0,4
DeKalb,BRIAR VISTA ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,111,0,9,91,0,0,11
DeKalb,BRIARCLIFF,Secretary Of State,,REP,BRAD RAFFENSPERGER,228,0,30,186,0,0,12
DeKalb,BRIARLAKE ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,252,0,11,218,0,0,23
DeKalb,BRIARWOOD,Secretary Of State,,REP,BRAD RAFFENSPERGER,127,0,2,120,0,0,5
DeKalb,BROCKETT,Secretary Of State,,REP,BRAD RAFFENSPERGER,269,0,20,229,0,0,20
DeKalb,BROCKETT ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,218,0,14,176,0,0,28
DeKalb,BROOKHAVEN,Secretary Of State,,REP,BRAD RAFFENSPERGER,228,1,3,210,0,0,14
DeKalb,BROWNS MILL ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,22,0,4,16,0,0,2
DeKalb,BURGESS ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,33,0,0,33,0,0,0
DeKalb,CANBY LANE ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,12,0,0,8,0,0,4
DeKalb,CANDLER,Secretary Of State,,REP,BRAD RAFFENSPERGER,18,0,1,13,0,0,4
DeKalb,CANDLER-MURPHEY CANDLER ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,75,2,6,59,0,0,8
DeKalb,CEDAR GROVE ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,24,0,7,12,0,0,5
DeKalb,CEDAR GROVE MIDDLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,11,0,2,6,0,0,3
DeKalb,CEDAR GROVE SOUTH,Secretary Of State,,REP,BRAD RAFFENSPERGER,19,0,3,13,0,0,3
DeKalb,CHAMBLEE,Secretary Of State,,REP,BRAD RAFFENSPERGER,111,0,1,99,0,0,11
DeKalb,CHAMBLEE 2,Secretary Of State,,REP,BRAD RAFFENSPERGER,232,0,10,195,0,0,27
DeKalb,CHAPEL HILL ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,14,0,0,12,0,0,2
DeKalb,CHESNUT ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,155,0,4,115,0,0,36
DeKalb,CLAIREMONT EAST,Secretary Of State,,REP,BRAD RAFFENSPERGER,161,0,7,128,0,0,26
DeKalb,CLAIREMONT WEST,Secretary Of State,,REP,BRAD RAFFENSPERGER,156,0,23,121,0,0,12
DeKalb,CLAIRMONT ROAD,Secretary Of State,,REP,BRAD RAFFENSPERGER,171,0,34,128,0,0,9
DeKalb,CLARKSTON,Secretary Of State,,REP,BRAD RAFFENSPERGER,52,1,5,39,0,0,7
DeKalb,CLIFTON,Secretary Of State,,REP,BRAD RAFFENSPERGER,10,0,1,9,0,0,0
DeKalb,COLUMBIA DRIVE,Secretary Of State,,REP,BRAD RAFFENSPERGER,12,0,1,8,0,0,3
DeKalb,COLUMBIA ELEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,5,0,0,2,0,0,3
