county,precinct,office,district,party,candidate,votes,absentee_by_mail,provisional,election_day,advance_in_person_2,advance_in_person_1
Cobb,Acworth 1A,Governor,,REP,BRIAN KEMP,1433,80,6,696,560,91
Cobb,Acworth 1B,Governor,,REP,BRIAN KEMP,1453,113,3,789,485,63
Cobb,Acworth 1C,Governor,,REP,BRIAN KEMP,848,64,4,512,233,35
Cobb,Addison 01,Governor,,REP,BRIAN KEMP,853,68,3,532,143,107
Cobb,Austell 1A,Governor,,REP,BRIAN KEMP,387,31,1,227,50,78
Cobb,Bells Ferry 02,Governor,,REP,BRIAN KEMP,942,61,2,630,162,87
Cobb,Bells Ferry 03,Governor,,REP,BRIAN KEMP,1873,117,5,1017,632,102
Cobb,Big Shanty 01,Governor,,REP,BRIAN KEMP,752,55,0,484,125,88
Cobb,Big Shanty 02,Governor,,REP,BRIAN KEMP,1039,56,2,688,222,71
Cobb,Baker 01,Governor,,REP,BRIAN KEMP,1013,46,3,714,207,43
Cobb,Birney 01,Governor,,REP,BRIAN KEMP,509,40,2,278,19,170
Cobb,Birney 02,Governor,,REP,BRIAN KEMP,813,68,2,405,106,232
Cobb,Bryant 01,Governor,,REP,BRIAN KEMP,66,7,0,31,3,25
Cobb,Bryant 02,Governor,,REP,BRIAN KEMP,100,7,0,63,4,26
Cobb,Blackwell 01,Governor,,REP,BRIAN KEMP,776,50,4,470,208,44
Cobb,Chattahoochee 01,Governor,,REP,BRIAN KEMP,683,46,5,433,128,71
Cobb,Cheatham Hill 02,Governor,,REP,BRIAN KEMP,1172,50,2,675,126,319
Cobb,Cheatham Hill 03,Governor,,REP,BRIAN KEMP,1458,94,3,740,56,565
Cobb,Chalker 01,Governor,,REP,BRIAN KEMP,1048,96,3,584,244,121
Cobb,Clarkdale 01,Governor,,REP,BRIAN KEMP,385,44,1,199,15,126
Cobb,Clarkdale 02,Governor,,REP,BRIAN KEMP,804,52,1,454,24,273
Cobb,Cooper 01,Governor,,REP,BRIAN KEMP,504,41,2,215,56,190
Cobb,Chestnut Ridge 01,Governor,,REP,BRIAN KEMP,1270,84,3,945,136,102
Cobb,Dickerson 01,Governor,,REP,BRIAN KEMP,1080,87,0,773,175,45
Cobb,Dobbins 01,Governor,,REP,BRIAN KEMP,531,20,2,333,94,82
Cobb,Dowell 01,Governor,,REP,BRIAN KEMP,986,51,1,532,63,339
Cobb,Dodgen 01,Governor,,REP,BRIAN KEMP,859,51,2,605,145,56
Cobb,Durham 01,Governor,,REP,BRIAN KEMP,1853,115,5,1144,439,150
Cobb,Davis 01,Governor,,REP,BRIAN KEMP,757,45,1,557,62,92
Cobb,Eastside 01,Governor,,REP,BRIAN KEMP,1235,82,5,851,257,40
Cobb,Eastside 02,Governor,,REP,BRIAN KEMP,1552,99,4,1045,314,90
Cobb,Elizabeth 01,Governor,,REP,BRIAN KEMP,520,24,2,322,48,124
Cobb,Elizabeth 02,Governor,,REP,BRIAN KEMP,884,84,3,552,123,122
Cobb,Elizabeth 03,Governor,,REP,BRIAN KEMP,1053,94,5,643,87,224
Cobb,Elizabeth 04,Governor,,REP,BRIAN KEMP,619,34,1,446,47,91
Cobb,Elizabeth 05,Governor,,REP,BRIAN KEMP,1035,73,4,717,68,173
Cobb,East Piedmont 01,Governor,,REP,BRIAN KEMP,622,29,3,442,86,62
Cobb,Fair Oaks 02,Governor,,REP,BRIAN KEMP,727,48,2,354,5,318
Cobb,Fair Oaks 04,Governor,,REP,BRIAN KEMP,602,58,3,364,15,162
Cobb,Fullers Park 01,Governor,,REP,BRIAN KEMP,1224,99,4,841,199,81
Cobb,Ford 01,Governor,,REP,BRIAN KEMP,1451,66,0,932,329,124
