county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Quitman,Georgetown,Secretary Of State,,REP,BRAD RAFFENSPERGER,282,12,121,149,0
Quitman,Morris,Secretary Of State,,REP,BRAD RAFFENSPERGER,25,3,6,16,0
Quitman,Georgetown,Secretary Of State,,DEM,JOHN BARROW,234,12,80,142,0
Quitman,Morris,Secretary Of State,,DEM,JOHN BARROW,24,0,8,16,0
Quitman,Georgetown,"Public Service Commission, District 3",3,(REP,CHUCK EATON,283,9,119,155,0
Quitman,Morris,"Public Service Commission, District 3",3,(REP,CHUCK EATON,24,3,6,15,0
Quitman,Georgetown,"Public Service Commission, District 3",3,DEM,LINDY MILLER,200,13,68,119,0
Quitman,Morris,"Public Service Commission, District 3",3,DEM,LINDY MILLER,21,0,7,14,0
Quitman,Georgetown,PROBATE JUDGE SPECIAL,,,M. SELF,317,10,130,177,0
Quitman,Morris,PROBATE JUDGE SPECIAL,,,M. SELF,27,3,7,17,0
Quitman,Georgetown,PROBATE JUDGE SPECIAL,,,B. D. WILLIS,218,14,79,125,0
Quitman,Morris,PROBATE JUDGE SPECIAL,,,B. D. WILLIS,21,0,6,15,0
