county,precinct,office,district,party,candidate,votes,absentee_by_mail,provisional,election_day,advance_in_person_2,advance_in_person
Gwinnett,HARBINS A,Governor,,REP,BRIAN KEMP,1835,72,3,805,321,634
Gwinnett,ROCKBRIDGE A,Governor,,REP,BRIAN KEMP,434,30,33,146,195,30
Gwinnett,DACULA,Governor,,REP,BRIAN KEMP,1156,27,3,479,64,583
Gwinnett,SUWANEE A,Governor,,REP,BRIAN KEMP,402,25,11,187,165,14
Gwinnett,BAYCREEK A,Governor,,REP,BRIAN KEMP,963,54,17,540,335,17
Gwinnett,GOODWINS A,Governor,,REP,BRIAN KEMP,841,53,5,496,260,27
Gwinnett,DULUTH A,Governor,,REP,BRIAN KEMP,1278,76,5,671,247,279
Gwinnett,DUNCANS A,Governor,,REP,BRIAN KEMP,1945,71,6,878,99,891
Gwinnett,PUCKETTS A,Governor,,REP,BRIAN KEMP,2134,101,2,724,33,1274
Gwinnett,CATES A,Governor,,REP,BRIAN KEMP,869,96,2,410,344,17
Gwinnett,BERKSHIRE A,Governor,,REP,BRIAN KEMP,363,26,2,228,32,75
Gwinnett,BERKSHIRE B,Governor,,REP,BRIAN KEMP,636,51,0,194,20,371
Gwinnett,DUNCANS C,Governor,,REP,BRIAN KEMP,1378,56,5,748,43,526
Gwinnett,GARNERS A,Governor,,REP,BRIAN KEMP,1269,71,4,579,45,570
Gwinnett,LAWRENCEVILLE A,Governor,,REP,BRIAN KEMP,751,74,0,306,364,7
Gwinnett,LAWRENCEVILLE B,Governor,,REP,BRIAN KEMP,837,49,4,380,394,10
Gwinnett,MARTINS A,Governor,,REP,BRIAN KEMP,293,18,2,180,50,43
Gwinnett,MARTINS B,Governor,,REP,BRIAN KEMP,460,31,4,270,141,14
Gwinnett,MARTINS C,Governor,,REP,BRIAN KEMP,552,32,1,342,95,82
Gwinnett,PINCKNEYVILLE A,Governor,,REP,BRIAN KEMP,204,14,6,132,6,46
Gwinnett,PINCKNEYVILLE B,Governor,,REP,BRIAN KEMP,307,34,7,149,3,114
Gwinnett,PINCKNEYVILLE C,Governor,,REP,BRIAN KEMP,626,52,1,431,22,120
Gwinnett,PINCKNEYVILLE D,Governor,,REP,BRIAN KEMP,182,16,1,103,6,56
Gwinnett,SUGAR HILL A,Governor,,REP,BRIAN KEMP,1183,49,11,649,112,362
Gwinnett,SUGAR HILL B,Governor,,REP,BRIAN KEMP,1471,76,15,836,317,227
Gwinnett,HOG MOUNTAIN A,Governor,,REP,BRIAN KEMP,948,50,7,551,199,141
Gwinnett,HOG MOUNTAIN B,Governor,,REP,BRIAN KEMP,1553,84,6,826,159,478
Gwinnett,ROCKYCREEK A,Governor,,REP,BRIAN KEMP,1838,63,3,851,54,867
Gwinnett,CATES B,Governor,,REP,BRIAN KEMP,628,32,2,356,142,96
Gwinnett,CATES C,Governor,,REP,BRIAN KEMP,575,35,1,294,238,7
Gwinnett,HOG MOUNTAIN D,Governor,,REP,BRIAN KEMP,949,38,6,522,171,212
Gwinnett,BERKSHIRE D,Governor,,REP,BRIAN KEMP,865,56,3,427,38,341
Gwinnett,BERKSHIRE E,Governor,,REP,BRIAN KEMP,693,37,0,373,22,261
Gwinnett,BERKSHIRE F,Governor,,REP,BRIAN KEMP,373,35,1,249,28,60
Gwinnett,CATES D,Governor,,REP,BRIAN KEMP,803,45,7,441,227,83
Gwinnett,035 Cates D - 04,Governor,,REP,BRIAN KEMP,159,5,2,103,28,21
Gwinnett,CATES E,Governor,,REP,BRIAN KEMP,938,52,1,487,180,218
Gwinnett,PINCKNEYVILLE E,Governor,,REP,BRIAN KEMP,182,8,1,130,6,37
Gwinnett,PINCKNEYVILLE F,Governor,,REP,BRIAN KEMP,281,27,3,160,7,84
Gwinnett,DUNCANS D,Governor,,REP,BRIAN KEMP,2576,115,9,1220,96,1136
Gwinnett,PINCKNEYVILLE H,Governor,,REP,BRIAN KEMP,1216,70,6,646,33,461
Gwinnett,BAYCREEK B,Governor,,REP,BRIAN KEMP,1016,45,1,576,383,11
Gwinnett,LAWRENCEVILLE C,Governor,,REP,BRIAN KEMP,959,44,4,528,184,199
Gwinnett,MARTINS D,Governor,,REP,BRIAN KEMP,157,18,2,92,15,30
Gwinnett,ROCKBRIDGE B,Governor,,REP,BRIAN KEMP,499,25,0,246,204,24
Gwinnett,GARNERS B,Governor,,REP,BRIAN KEMP,662,62,1,239,109,251
Gwinnett,CATES F,Governor,,REP,BRIAN KEMP,699,34,1,437,203,24
Gwinnett,CATES G,Governor,,REP,BRIAN KEMP,1095,63,4,577,379,72
Gwinnett,DULUTH B,Governor,,REP,BRIAN KEMP,953,70,5,489,103,286
Gwinnett,GARNERS C,Governor,,REP,BRIAN KEMP,513,19,2,278,10,204
Gwinnett,PINCKNEYVILLE I,Governor,,REP,BRIAN KEMP,285,24,2,168,15,76
Gwinnett,PINCKNEYVILLE J,Governor,,REP,BRIAN KEMP,151,21,1,76,2,51
Gwinnett,BERKSHIRE G,Governor,,REP,BRIAN KEMP,766,46,3,338,11,368
Gwinnett,CATES H,Governor,,REP,BRIAN KEMP,595,47,1,285,247,15
Gwinnett,SUGAR HILL C,Governor,,REP,BRIAN KEMP,1750,91,15,1054,315,275
Gwinnett,SUGAR HILL D,Governor,,REP,BRIAN KEMP,1376,65,17,705,103,486
Gwinnett,DULUTH C,Governor,,REP,BRIAN KEMP,580,49,1,319,22,189
Gwinnett,DULUTH D,Governor,,REP,BRIAN KEMP,849,67,7,390,68,317
Gwinnett,PINCKNEYVILLE K,Governor,,REP,BRIAN KEMP,299,29,2,182,23,63
Gwinnett,PINCKNEYVILLE N,Governor,,REP,BRIAN KEMP,246,7,2,161,8,68
Gwinnett,LAWRENCEVILLE D,Governor,,REP,BRIAN KEMP,438,21,5,223,172,17
Gwinnett,LAWRENCEVILLE E,Governor,,REP,BRIAN KEMP,738,53,2,334,336,13
Gwinnett,PINCKNEYVILLE L,Governor,,REP,BRIAN KEMP,989,80,2,682,28,197
Gwinnett,PINCKNEYVILLE M,Governor,,REP,BRIAN KEMP,1135,87,3,757,12,276
Gwinnett,GARNERS D,Governor,,REP,BRIAN KEMP,478,26,1,220,60,171
Gwinnett,BERKSHIRE H,Governor,,REP,BRIAN KEMP,271,24,1,151,5,90
Gwinnett,PINCKNEYVILLE O,Governor,,REP,BRIAN KEMP,302,18,7,149,2,126
Gwinnett,PUCKETTS E,Governor,,REP,BRIAN KEMP,1305,74,12,547,53,619
Gwinnett,CATES I,Governor,,REP,BRIAN KEMP,988,59,2,586,257,84
Gwinnett,CATES J,Governor,,REP,BRIAN KEMP,792,45,5,473,60,209
Gwinnett,GOODWINS B,Governor,,REP,BRIAN KEMP,1252,80,5,682,365,120
Gwinnett,LAWRENCEVILLE F,Governor,,REP,BRIAN KEMP,489,23,4,241,200,21
Gwinnett,MARTINS E,Governor,,REP,BRIAN KEMP,202,29,6,104,20,43
Gwinnett,PINCKNEYVILLE P,Governor,,REP,BRIAN KEMP,593,53,3,440,11,86
Gwinnett,PINCKNEYVILLE Q,Governor,,REP,BRIAN KEMP,98,0,0,71,3,24
Gwinnett,ROCKBRIDGE C,Governor,,REP,BRIAN KEMP,525,39,1,228,212,45
Gwinnett,ROCKBRIDGE D,Governor,,REP,BRIAN KEMP,529,34,5,210,275,5
Gwinnett,GOODWINS C,Governor,,REP,BRIAN KEMP,896,72,4,480,282,58
Gwinnett,BAYCREEK K,Governor,,REP,BRIAN KEMP,1043,69,4,430,520,20
Gwinnett,CATES K,Governor,,REP,BRIAN KEMP,856,38,2,529,230,57
Gwinnett,BAYCREEK C,Governor,,REP,BRIAN KEMP,1413,68,4,749,545,47
Gwinnett,CATES L,Governor,,REP,BRIAN KEMP,956,49,2,493,401,11
Gwinnett,DULUTH E,Governor,,REP,BRIAN KEMP,675,44,5,331,31,264
Gwinnett,GOODWINS D,Governor,,REP,BRIAN KEMP,1030,59,6,598,330,37
Gwinnett,LAWRENCEVILLE G,Governor,,REP,BRIAN KEMP,369,22,4,208,132,3
Gwinnett,LAWRENCEVILLE H,Governor,,REP,BRIAN KEMP,1211,76,6,619,381,129
Gwinnett,MARTINS F,Governor,,REP,BRIAN KEMP,281,18,2,183,21,57
Gwinnett,PINCKNEYVILLE S,Governor,,REP,BRIAN KEMP,536,59,2,309,21,145
Gwinnett,ROCKBRIDGE E,Governor,,REP,BRIAN KEMP,502,17,6,292,127,60
Gwinnett,SUGAR HILL E,Governor,,REP,BRIAN KEMP,1041,51,13,558,304,115
Gwinnett,LAWRENCEVILLE I,Governor,,REP,BRIAN KEMP,633,41,1,332,198,61
