county,office,congressional_district,party,candidate,votes
Worth,U.S. President,8,Democratic,Hillary Clinton,686
Worth,U.S. President,8,Democratic,Martin O'Malley,6
Worth,U.S. President,8,Democratic,Bernie Sanders,166
Worth,U.S. President,8,Democratic,Michael Steinberg,5
Wilkinson,U.S. President,8,Democratic,Hillary Clinton,832
Wilkinson,U.S. President,8,Democratic,Martin O'Malley,6
Wilkinson,U.S. President,8,Democratic,Bernie Sanders,155
Wilkinson,U.S. President,8,Democratic,Michael Steinberg,6
Wilkes,U.S. President,10,Democratic,Hillary Clinton,702
Wilkes,U.S. President,10,Democratic,Martin O'Malley,4
Wilkes,U.S. President,10,Democratic,Bernie Sanders,141
Wilkes,U.S. President,10,Democratic,Michael Steinberg,8
Wilcox,U.S. President,8,Democratic,Hillary Clinton,303
Wilcox,U.S. President,8,Democratic,Martin O'Malley,2
Wilcox,U.S. President,8,Democratic,Bernie Sanders,41
Wilcox,U.S. President,8,Democratic,Michael Steinberg,3
Whitfield,U.S. President,14,Democratic,Hillary Clinton,1539
Whitfield,U.S. President,14,Democratic,Martin O'Malley,19
Whitfield,U.S. President,14,Democratic,Bernie Sanders,1311
Whitfield,U.S. President,14,Democratic,Michael Steinberg,19
White,U.S. President,9,Democratic,Hillary Clinton,499
White,U.S. President,9,Democratic,Martin O'Malley,7
White,U.S. President,9,Democratic,Bernie Sanders,440
White,U.S. President,9,Democratic,Michael Steinberg,5
Wheeler,U.S. President,12,Democratic,Hillary Clinton,177
Wheeler,U.S. President,12,Democratic,Martin O'Malley,0
Wheeler,U.S. President,12,Democratic,Bernie Sanders,26
Wheeler,U.S. President,12,Democratic,Michael Steinberg,3
Webster,U.S. President,2,Democratic,Hillary Clinton,170
Webster,U.S. President,2,Democratic,Martin O'Malley,0
Webster,U.S. President,2,Democratic,Bernie Sanders,18
Webster,U.S. President,2,Democratic,Michael Steinberg,2
Wayne,U.S. President,1,Democratic,Hillary Clinton,702
Wayne,U.S. President,1,Democratic,Martin O'Malley,7
Wayne,U.S. President,1,Democratic,Bernie Sanders,236
Wayne,U.S. President,1,Democratic,Michael Steinberg,13
Washington,U.S. President,10,Democratic,Hillary Clinton,1749
Washington,U.S. President,10,Democratic,Martin O'Malley,6
Washington,U.S. President,10,Democratic,Bernie Sanders,258
Washington,U.S. President,10,Democratic,Michael Steinberg,12
Warren,U.S. President,10,Democratic,Hillary Clinton,468
Warren,U.S. President,10,Democratic,Martin O'Malley,3
Warren,U.S. President,10,Democratic,Bernie Sanders,49
Warren,U.S. President,10,Democratic,Michael Steinberg,3
Ware,U.S. President,1,Democratic,Hillary Clinton,920
Ware,U.S. President,1,Democratic,Martin O'Malley,9
Ware,U.S. President,1,Democratic,Bernie Sanders,284
Ware,U.S. President,1,Democratic,Michael Steinberg,13
Walton,U.S. President,10,Democratic,Hillary Clinton,2315
Walton,U.S. President,10,Democratic,Martin O'Malley,9
Walton,U.S. President,10,Democratic,Bernie Sanders,971
Walton,U.S. President,10,Democratic,Michael Steinberg,14
Walker,U.S. President,14,Democratic,Hillary Clinton,1009
Walker,U.S. President,14,Democratic,Martin O'Malley,11
Walker,U.S. President,14,Democratic,Bernie Sanders,869
Walker,U.S. President,14,Democratic,Michael Steinberg,17
Upson,U.S. President,3,Democratic,Hillary Clinton,1236
Upson,U.S. President,3,Democratic,Martin O'Malley,6
Upson,U.S. President,3,Democratic,Bernie Sanders,280
Upson,U.S. President,3,Democratic,Michael Steinberg,7
Union,U.S. President,9,Democratic,Hillary Clinton,574
Union,U.S. President,9,Democratic,Martin O'Malley,17
Union,U.S. President,9,Democratic,Bernie Sanders,418
Union,U.S. President,9,Democratic,Michael Steinberg,10
Twiggs,U.S. President,8,Democratic,Hillary Clinton,819
Twiggs,U.S. President,8,Democratic,Martin O'Malley,6
Twiggs,U.S. President,8,Democratic,Bernie Sanders,118
Twiggs,U.S. President,8,Democratic,Michael Steinberg,5
Turner,U.S. President,8,Democratic,Hillary Clinton,330
Turner,U.S. President,8,Democratic,Martin O'Malley,4
Turner,U.S. President,8,Democratic,Bernie Sanders,81
Turner,U.S. President,8,Democratic,Michael Steinberg,3
Troup,U.S. President,3,Democratic,Hillary Clinton,3382
Troup,U.S. President,3,Democratic,Martin O'Malley,23
Troup,U.S. President,3,Democratic,Bernie Sanders,859
Troup,U.S. President,3,Democratic,Michael Steinberg,25
Treutlen,U.S. President,12,Democratic,Hillary Clinton,302
Treutlen,U.S. President,12,Democratic,Martin O'Malley,3
Treutlen,U.S. President,12,Democratic,Bernie Sanders,58
Treutlen,U.S. President,12,Democratic,Michael Steinberg,4
Towns,U.S. President,9,Democratic,Hillary Clinton,317
Towns,U.S. President,9,Democratic,Martin O'Malley,7
Towns,U.S. President,9,Democratic,Bernie Sanders,270
Towns,U.S. President,9,Democratic,Michael Steinberg,5
Toombs,U.S. President,12,Democratic,Hillary Clinton,564
Toombs,U.S. President,12,Democratic,Martin O'Malley,5
Toombs,U.S. President,12,Democratic,Bernie Sanders,166
Toombs,U.S. President,12,Democratic,Michael Steinberg,5
Tift,U.S. President,8,Democratic,Hillary Clinton,1158
Tift,U.S. President,8,Democratic,Martin O'Malley,11
Tift,U.S. President,8,Democratic,Bernie Sanders,345
Tift,U.S. President,8,Democratic,Michael Steinberg,11
Thomas,U.S. President,8,Democratic,Hillary Clinton,2054
Thomas,U.S. President,8,Democratic,Martin O'Malley,11
Thomas,U.S. President,8,Democratic,Bernie Sanders,551
Thomas,U.S. President,8,Democratic,Michael Steinberg,9
Terrell,U.S. President,2,Democratic,Hillary Clinton,804
Terrell,U.S. President,2,Democratic,Martin O'Malley,2
Terrell,U.S. President,2,Democratic,Bernie Sanders,106
Terrell,U.S. President,2,Democratic,Michael Steinberg,2
Telfair,U.S. President,8,Democratic,Hillary Clinton,426
Telfair,U.S. President,8,Democratic,Martin O'Malley,3
Telfair,U.S. President,8,Democratic,Bernie Sanders,91
Telfair,U.S. President,8,Democratic,Michael Steinberg,5
Taylor,U.S. President,2,Democratic,Hillary Clinton,477
Taylor,U.S. President,2,Democratic,Martin O'Malley,4
Taylor,U.S. President,2,Democratic,Bernie Sanders,63
Taylor,U.S. President,2,Democratic,Michael Steinberg,1
Tattnall,U.S. President,12,Democratic,Hillary Clinton,518
Tattnall,U.S. President,12,Democratic,Martin O'Malley,6
Tattnall,U.S. President,12,Democratic,Bernie Sanders,154
Tattnall,U.S. President,12,Democratic,Michael Steinberg,4
Taliaferro,U.S. President,10,Democratic,Hillary Clinton,236
Taliaferro,U.S. President,10,Democratic,Martin O'Malley,1
Taliaferro,U.S. President,10,Democratic,Bernie Sanders,35
Taliaferro,U.S. President,10,Democratic,Michael Steinberg,1
Talbot,U.S. President,2,Democratic,Hillary Clinton,852
Talbot,U.S. President,2,Democratic,Martin O'Malley,2
Talbot,U.S. President,2,Democratic,Bernie Sanders,120
Talbot,U.S. President,2,Democratic,Michael Steinberg,9
Sumter,U.S. President,2,Democratic,Hillary Clinton,1960
Sumter,U.S. President,2,Democratic,Martin O'Malley,9
Sumter,U.S. President,2,Democratic,Bernie Sanders,404
Sumter,U.S. President,2,Democratic,Michael Steinberg,6
Stewart,U.S. President,2,Democratic,Hillary Clinton,460
Stewart,U.S. President,2,Democratic,Martin O'Malley,1
Stewart,U.S. President,2,Democratic,Bernie Sanders,46
Stewart,U.S. President,2,Democratic,Michael Steinberg,4
Stephens,U.S. President,9,Democratic,Hillary Clinton,460
Stephens,U.S. President,9,Democratic,Martin O'Malley,10
Stephens,U.S. President,9,Democratic,Bernie Sanders,284
Stephens,U.S. President,9,Democratic,Michael Steinberg,4
Spalding,U.S. President,3,Democratic,Hillary Clinton,3132
Spalding,U.S. President,3,Democratic,Martin O'Malley,18
