county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Baker,not available,U.S. House,2,Republican,A. Wayne Johnson,2,3,0,0
Baker,not available,U.S. House,2,Republican,Chuck Hand,2,0,0,0
Bibb,not available,State House,145,Democrat,Juawn Jackson,393,262,28,0
Bibb,not available,State House,145,Democrat,Tangie Herring,616,420,48,0
Bibb,not available,U.S. House,2,Republican,A. Wayne Johnson,330,113,31,0
Bibb,not available,U.S. House,2,Republican,Chuck Hand,110,29,5,0
Burke,not available,Superior Court Judge,Augusta Judicial Circut,,Charles Lyons,438,192,104,0
Burke,not available,Superior Court Judge,Augusta Judicial Circut,,Matt Matson,354,133,32,1
Calhoun,not available,U.S. House,2,Republican,A. Wayne Johnson,15,8,4,1
Calhoun,not available,U.S. House,2,Republican,Chuck Hand,16,2,0,0
Camden,not available,State House,180,Republican,Glenn Cook,971,754,63,1
Camden,not available,State House,180,Republican,Steven Sainz (I),1186,925,69,0
Carroll,not available,U.S. House,3,Republican,Brian Jack,2578,778,0,0
Carroll,not available,U.S. House,3,Republican,Mike Dugan,3171,1360,0,0
Catoosa,not available,U.S. House,14,Democrat,Clarence Blalock,149,142,19,0
Catoosa,not available,U.S. House,14,Democrat,Shawn Harris,165,222,36,0
Chattahoochee,not available,U.S. House,2,Republican,A. Wayne Johnson,10,8,0,0
Chattahoochee,not available,U.S. House,2,Republican,Chuck Hand,4,0,1,0
Chattooga,not available,U.S. House,14,Democrat,Clarence Blalock,41,28,4,0
Chattooga,not available,U.S. House,14,Democrat,Shawn Harris,78,62,15,0
Clay,not available,U.S. House,2,Republican,A. Wayne Johnson,11,14,3,0
Clay,not available,U.S. House,2,Republican,Chuck Hand,3,3,0,0
Clayton,not available,State Senate,34,Democrat,Kenya Wicks,1492,1788,169,0
Clayton,not available,State Senate,34,Democrat,Valencia Stovall,1156,1128,67,1
Cobb,not available,U.S. House,14,Democrat,Clarence Blalock,809,293,75,3
Cobb,not available,U.S. House,14,Democrat,Shawn Harris,1529,481,150,7
Columbia,not available,State House,131,Republican,Paul Abbott,340,166,63,0
Columbia,not available,State House,131,Republican,Rob Clifton,966,514,81,0
Coweta,not available,U.S. House,3,Republican,Brian Jack,3558,1559,203,0
