county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,not available,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,1969,4588,297,0
Appling,not available,President,,Democrat,Kamala D. Harris,381,1024,155,0
Appling,not available,President,,Green,Jill Stein,0,4,1,0
Appling,not available,President,,Libertarian,Chase Oliver,3,4,1,0
Appling,not available,President,,Republican,Donald J. Trump,1928,4564,269,0
Appling,not available,State House,157,Republican,William 'Bill' Werkheiser,1265,2980,183,0
Appling,not available,State House,178,Republican,Steven Meeks,718,1641,102,0
Appling,not available,State Senate,19,Republican,Blake Tillery,2020,4740,300,0
Appling,not available,U.S. House,1,Democrat,Patti Hewitt,327,858,130,0
Appling,not available,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",1892,4528,277,0
Atkinson,not available,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,930,1588,64,0
Atkinson,not available,President,,Democrat,Kamala D. Harris,289,371,39,1
Atkinson,not available,President,,Green,Jill Stein,0,0,1,0
Atkinson,not available,President,,Libertarian,Chase Oliver,3,3,0,0
Atkinson,not available,President,,Republican,Donald J. Trump,795,1504,51,0
Atkinson,not available,State House,176,Republican,James D. Burchett,925,1585,61,0
Atkinson,not available,State Senate,8,Republican,Russ Goodman,923,1573,60,0
Atkinson,not available,U.S. House,8,Democrat,Darrius Butler,261,310,34,1
Atkinson,not available,U.S. House,8,Republican,Austin Scott,764,1461,52,0
Bacon,not available,President,,Democrat,Kamala D. Harris,194,413,38,0
Bacon,not available,President,,Green,Jill Stein,1,0,1,0
Bacon,not available,President,,Libertarian,Chase Oliver,1,5,0,0
Bacon,not available,President,,Republican,Donald J. Trump,569,3509,107,1
Bacon,not available,State House,178,Republican,Steven Meeks,628,3365,111,1
Bacon,not available,State Senate,19,Republican,Blake Tillery,627,3395,113,1
Bacon,not available,U.S. House,1,Democrat,Patti Hewitt,152,317,36,0
Bacon,not available,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",572,3477,107,1
Baker,not available,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,360,640,86,3
Baker,not available,President,,Democrat,Kamala D. Harris,173,330,79,8
Baker,not available,President,,Green,Jill Stein,1,1,0,0
Baker,not available,President,,Libertarian,Chase Oliver,1,0,0,0
Baker,not available,President,,Republican,Donald J. Trump,306,521,56,0
Baker,not available,State House,154,Republican,Gerald E. Greene,357,640,88,2
Baker,not available,State Senate,12,Democrat,Freddie Powell Sims,337,592,88,6
Baker,not available,U.S. House,2,Democrat,Sanford Bishop,229,406,88,7
Baker,not available,U.S. House,2,Republican,A. Wayne Johnson,243,434,45,0
Baldwin,not available,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,3520,10169,664,2
Baldwin,not available,President,,Democrat,Kamala D. Harris,2406,6019,731,3
Baldwin,not available,President,,Green,Jill Stein,8,21,4,0
Baldwin,not available,President,,Libertarian,Chase Oliver,19,38,2,0
Baldwin,not available,President,,Republican,Donald J. Trump,2097,7107,369,1
Baldwin,not available,State House,128,Democrat,Mack Jackson,281,829,85,0
Baldwin,not available,State House,128,Republican,Tracy Wheeler,322,1240,56,0
Baldwin,not available,State House,149,Democrat,Floyd Griffin,1935,4646,598,3
Baldwin,not available,State House,149,Republican,Ken Vance,1888,6188,344,1
Baldwin,not available,State Senate,25,Republican,"Ricky ""Rick"" Williams",3535,10325,666,1
Baldwin,not available,U.S. House,8,Democrat,Darrius Butler,2123,5256,680,3
Baldwin,not available,U.S. House,8,Republican,Austin Scott,2139,7278,392,1
Banks,not available,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,1960,7391,264,3
Banks,not available,President,,Democrat,Kamala D. Harris,252,778,106,0
Banks,not available,President,,Green,Jill Stein,6,4,0,0
Banks,not available,President,,Libertarian,Chase Oliver,7,7,1,0
Banks,not available,President,,Republican,Donald J. Trump,1862,7259,234,3
Banks,not available,State House,32,Republican,Chris Erwin,1960,7429,271,3
Banks,not available,State Senate,50,Democrat,June Krise,227,716,92,0
Banks,not available,State Senate,50,Republican,Bo Hatchett,1840,7163,238,3
Banks,not available,U.S. House,9,Democrat,Tambrei Cash,228,715,87,0
Banks,not available,U.S. House,9,Republican,Andrew Clyde,1859,7197,233,3
Barrow,not available,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,10865,25027,1256,6
Barrow,not available,President,,Democrat,Kamala D. Harris,3808,8185,954,2
Barrow,not available,President,,Green,Jill Stein,38,29,5,0
Barrow,not available,President,,Libertarian,Chase Oliver,89,91,3,0
Barrow,not available,President,,Republican,Donald J. Trump,8623,21168,932,7
Barrow,not available,State House,104,Republican,Chuck Efstration,3436,6115,296,1
Barrow,not available,State House,119,Republican,Holt Persinger,6660,17286,852,0
Barrow,not available,State House,120,Democrat,Andrew Ferguson,226,482,40,0
Barrow,not available,State House,120,Republican,Houston Gaines,583,1214,49,0
Barrow,not available,State Senate,45,Republican,Clint Dixon,4982,11068,583,2
Barrow,not available,State Senate,46,Democrat,Gareth Fenley,918,1817,190,0
Barrow,not available,State Senate,46,Republican,Bill Cowsert,1617,3408,144,0
Barrow,not available,State Senate,47,Democrat,Conolus Scott,1072,2460,273,0
Barrow,not available,State Senate,47,Republican,Frank Ginn,3045,8330,325,0
Barrow,not available,U.S. House,10,Democrat,"Alexandra ""Lexy"" Doherty",3573,7599,860,0
Barrow,not available,U.S. House,10,Republican,Mike Collins,8769,21384,955,7
Bartow,not available,District Attorney,Cherokee Judicial Circuit,Republican,"Erle J. Newton, III",13671,33812,1593,25
Bartow,not available,President,,Democrat,Kamala D. Harris,3599,9218,1116,9
Bartow,not available,President,,Green,Jill Stein,36,49,7,0
Bartow,not available,President,,Libertarian,Chase Oliver,118,112,11,1
Bartow,not available,President,,Republican,Donald J. Trump,11725,30209,1312,25
Bartow,not available,State House,14,Republican,Mitchell L. Scoggins,7647,16228,680,13
Bartow,not available,State House,15,Republican,Matthew Gambill,6125,17966,931,10
Bartow,not available,State Senate,37,Democrat,Vanessa Ella Parker,400,777,95,0
Bartow,not available,State Senate,37,Republican,Ed Setzler,1143,2686,118,1
Bartow,not available,State Senate,52,Republican,Chuck Hufstetler,12330,30803,1425,23
Bartow,not available,U.S. House,11,Democrat,"Katy ""Kate"" L. Stamper",3226,7623,883,8
Bartow,not available,U.S. House,11,Republican,Barry Loudermilk,11900,30676,1370,25
Ben Hill,not available,President,,Democrat,Kamala D. Harris,447,1580,172,0
Ben Hill,not available,President,,Green,Jill Stein,1,6,0,0
Ben Hill,not available,President,,Libertarian,Chase Oliver,2,11,1,0
Ben Hill,not available,President,,Republican,Donald J. Trump,608,3562,111,0
Ben Hill,not available,State House,148,Republican,"Noel W. Williams, Jr.",268,1391,46,0
Ben Hill,not available,State House,156,Republican,Leesa Hagan,569,2808,145,0
Ben Hill,not available,State Senate,13,Republican,Carden H. Summers,839,4230,191,0
Ben Hill,not available,U.S. House,8,Democrat,Darrius Butler,401,1338,156,0
Ben Hill,not available,U.S. House,8,Republican,Austin Scott,615,3699,114,0
Berrien,not available,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,2254,4794,227,1
Berrien,not available,President,,Democrat,Kamala D. Harris,427,684,98,0
Berrien,not available,President,,Green,Jill Stein,0,3,0,0
Berrien,not available,President,,Libertarian,Chase Oliver,3,12,0,0
Berrien,not available,President,,Republican,Donald J. Trump,2081,4564,194,2
Berrien,not available,State House,170,Republican,Jaclyn Dixon Ford,2273,4821,229,1
Berrien,not available,State Senate,13,Republican,Carden H. Summers,2238,4734,214,1
Berrien,not available,U.S. House,8,Democrat,Darrius Butler,356,534,79,0
Berrien,not available,U.S. House,8,Republican,Austin Scott,2078,4586,196,2
Bibb,not available,District Attorney,Macon Judicial Circuit,Democrat,Anita Reynolds Howard,16287,34449,3115,84
Bibb,not available,President,,Democrat,Kamala D. Harris,12151,26994,2941,86
Bibb,not available,President,,Green,Jill Stein,64,61,10,1
Bibb,not available,President,,Libertarian,Chase Oliver,109,101,5,0
Bibb,not available,President,,Republican,Donald J. Trump,7800,17905,931,22
Bibb,not available,State House,142,Democrat,Miriam Paris,4615,10237,1063,21
Bibb,not available,State House,142,Republican,Calvin Dennis Palmer,2728,7279,379,5
Bibb,not available,State House,143,Democrat,Anissa Jones,2092,4553,557,4
Bibb,not available,State House,143,Republican,Barbara Boyer,1742,2816,167,2
Bibb,not available,State House,144,Democrat,Anita Hyland,599,1475,124,0
Bibb,not available,State House,144,Republican,Dale Washburn,825,2348,117,1
Bibb,not available,State House,145,Democrat,Tangie Herring,3145,7184,758,14
Bibb,not available,State House,145,Republican,Noah Redding Harbuck,2337,5056,241,2
Bibb,not available,State House,149,Democrat,Floyd Griffin,1345,2558,338,1
Bibb,not available,State House,149,Republican,Ken Vance,211,303,29,0
Bibb,not available,State Senate,18,Republican,John F. Kennedy,6705,15042,784,12
Bibb,not available,State Senate,25,Republican,"Ricky ""Rick"" Williams",1484,3626,219,2
Bibb,not available,State Senate,26,Democrat,"David E. Lucas, Sr.",9038,17543,1935,53
Bibb,not available,U.S. House,2,Democrat,Sanford Bishop,8919,18904,2196,54
Bibb,not available,U.S. House,2,Republican,A. Wayne Johnson,4327,7647,425,16
Bibb,not available,U.S. House,8,Democrat,Darrius Butler,2979,7227,624,9
Bibb,not available,U.S. House,8,Republican,Austin Scott,3628,10593,530,10
Bleckley,not available,District Attorney,Oconee Judicial Circuit,Republican,Timothy G. Vaughn,1244,3787,169,0
Bleckley,not available,President,,Democrat,Kamala D. Harris,425,797,117,0
Bleckley,not available,President,,Green,Jill Stein,1,5,1,0
Bleckley,not available,President,,Libertarian,Chase Oliver,5,8,0,0
Bleckley,not available,President,,Republican,Donald J. Trump,995,3545,145,0
Bleckley,not available,State House,133,Republican,Danny Mathis,1297,3955,189,0
Bleckley,not available,State Senate,20,Republican,Larry Walker,1262,3853,173,0
Bleckley,not available,U.S. House,8,Democrat,Darrius Butler,363,628,107,0
Bleckley,not available,U.S. House,8,Republican,Austin Scott,1029,3588,140,0
Brantley,not available,President,,Democrat,Kamala D. Harris,221,447,68,0
Brantley,not available,President,,Green,Jill Stein,2,2,0,0
Brantley,not available,President,,Libertarian,Chase Oliver,10,6,0,0
Brantley,not available,President,,Republican,Donald J. Trump,2276,5299,166,3
Brantley,not available,State House,174,Republican,John Corbett,2285,5129,172,3
Brantley,not available,State Senate,3,Republican,Mike Hodges,2300,5169,176,3
Brantley,not available,U.S. House,1,Democrat,Patti Hewitt,208,380,53,0
Brantley,not available,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",2225,5205,170,3
Brooks,not available,District Attorney,Southern Judicial Circuit,Republican,Brad Shealy,1944,3626,230,0
Brooks,not available,President,,Democrat,Kamala D. Harris,803,1559,267,0
Brooks,not available,President,,Green,Jill Stein,7,6,0,0
Brooks,not available,President,,Libertarian,Chase Oliver,5,3,0,0
Brooks,not available,President,,Republican,Donald J. Trump,1509,2922,126,3
Brooks,not available,State House,175,Democrat,Anissa Knight Wiseman,718,1355,246,0
Brooks,not available,State House,175,Republican,John LaHood,1529,2935,125,0
Brooks,not available,State Senate,11,Republican,Sam Watson,1918,3522,197,0
Brooks,not available,U.S. House,8,Democrat,Darrius Butler,720,1372,252,0
Brooks,not available,U.S. House,8,Republican,Austin Scott,1524,2949,123,3
Bryan,not available,President,,Democrat,Kamala D. Harris,1516,5634,622,7
Bryan,not available,President,,Green,Jill Stein,20,34,1,0
