county,precinct,office,district,party,candidate,total_votes
Appling,3A1,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,574
Appling,4D,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,946
Appling,4B,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,662
Appling,3C,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,943
Appling,5B,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,634
Appling,5A,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,677
Appling,1C,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,695
Appling,2,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,852
Appling,1B,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,871
Appling,5A,President,,Democrat,Kamala D. Harris,102
Appling,1B,President,,Democrat,Kamala D. Harris,108
Appling,1C,President,,Democrat,Kamala D. Harris,67
Appling,2,President,,Democrat,Kamala D. Harris,782
Appling,3A1,President,,Democrat,Kamala D. Harris,31
Appling,4D,President,,Democrat,Kamala D. Harris,117
Appling,3C,President,,Democrat,Kamala D. Harris,246
Appling,4B,President,,Democrat,Kamala D. Harris,25
Appling,5B,President,,Democrat,Kamala D. Harris,82
Appling,1C,President,,Green,Jill Stein,0
Appling,3A1,President,,Green,Jill Stein,0
Appling,5B,President,,Green,Jill Stein,2
Appling,5A,President,,Green,Jill Stein,0
Appling,4D,President,,Green,Jill Stein,0
Appling,1B,President,,Green,Jill Stein,0
Appling,4B,President,,Green,Jill Stein,0
Appling,3C,President,,Green,Jill Stein,0
Appling,2,President,,Green,Jill Stein,3
Appling,3C,President,,Libertarian,Chase Oliver,3
Appling,4D,President,,Libertarian,Chase Oliver,2
Appling,3A1,President,,Libertarian,Chase Oliver,0
Appling,2,President,,Libertarian,Chase Oliver,1
Appling,1C,President,,Libertarian,Chase Oliver,0
Appling,1B,President,,Libertarian,Chase Oliver,2
Appling,4B,President,,Libertarian,Chase Oliver,0
Appling,5B,President,,Libertarian,Chase Oliver,0
Appling,5A,President,,Libertarian,Chase Oliver,0
Appling,5B,President,,Republican,Donald J. Trump,643
Appling,5A,President,,Republican,Donald J. Trump,711
Appling,2,President,,Republican,Donald J. Trump,541
Appling,3C,President,,Republican,Donald J. Trump,934
Appling,4B,President,,Republican,Donald J. Trump,720
Appling,4D,President,,Republican,Donald J. Trump,950
Appling,3A1,President,,Republican,Donald J. Trump,617
Appling,1C,President,,Republican,Donald J. Trump,724
Appling,1B,President,,Republican,Donald J. Trump,921
Appling,5B,State House,157,Republican,William 'Bill' Werkheiser,16
Appling,1C,State House,157,Republican,William 'Bill' Werkheiser,589
Appling,3C,State House,157,Republican,William 'Bill' Werkheiser,883
Appling,3A1,State House,157,Republican,William 'Bill' Werkheiser,575
Appling,2,State House,157,Republican,William 'Bill' Werkheiser,808
Appling,1B,State House,157,Republican,William 'Bill' Werkheiser,875
Appling,5A,State House,157,Republican,William 'Bill' Werkheiser,682
Appling,4B,State House,178,Republican,Steven Meeks,689
Appling,4D,State House,178,Republican,Steven Meeks,966
Appling,3C,State House,178,Republican,Steven Meeks,70
Appling,1C,State House,178,Republican,Steven Meeks,115
Appling,5B,State House,178,Republican,Steven Meeks,621
Appling,1C,State Senate,19,Republican,Blake Tillery,718
Appling,3C,State Senate,19,Republican,Blake Tillery,977
Appling,4D,State Senate,19,Republican,Blake Tillery,981
Appling,5B,State Senate,19,Republican,Blake Tillery,649
Appling,3A1,State Senate,19,Republican,Blake Tillery,585
Appling,4B,State Senate,19,Republican,Blake Tillery,693
Appling,1B,State Senate,19,Republican,Blake Tillery,907
Appling,5A,State Senate,19,Republican,Blake Tillery,705
Appling,2,State Senate,19,Republican,Blake Tillery,845
Appling,3C,U.S. House,1,Democrat,Patti Hewitt,211
Appling,4D,U.S. House,1,Democrat,Patti Hewitt,101
Appling,1B,U.S. House,1,Democrat,Patti Hewitt,97
Appling,5A,U.S. House,1,Democrat,Patti Hewitt,88
Appling,1C,U.S. House,1,Democrat,Patti Hewitt,59
Appling,2,U.S. House,1,Democrat,Patti Hewitt,656
Appling,3A1,U.S. House,1,Democrat,Patti Hewitt,19
Appling,4B,U.S. House,1,Democrat,Patti Hewitt,20
Appling,5B,U.S. House,1,Democrat,Patti Hewitt,64
Appling,4B,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",704
Appling,1B,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",895
Appling,3A1,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",602
Appling,2,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",587
Appling,4D,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",942
Appling,1C,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",712
Appling,5A,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",697
Appling,5B,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",638
Appling,3C,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",920
Atkinson,Axson,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,447
Atkinson,Willacoochee,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,703
Atkinson,Pearson City,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,282
Atkinson,Pearson County,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,1150
