country,office,district,party,candidate,votes
BRANTLEY,State Senate,1,Republican,ERIC JOHNSON,103
BRYAN,State Senate,1,Republican,ERIC JOHNSON,585
CAMDEN,State Senate,1,Republican,ERIC JOHNSON,85
CHATHAM,State Senate,1,Republican,ERIC JOHNSON,7899
GLYNN,State Senate,1,Republican,ERIC JOHNSON,3353
LIBERTY,State Senate,1,Republican,ERIC JOHNSON,0
MCINTOSH,State Senate,1,Republican,ERIC JOHNSON,1
PIERCE,State Senate,1,Republican,ERIC JOHNSON,432
CHATHAM,State Senate,2,Democrat,REGINA THOMAS,9486
APPLING,State Senate,3,Democrat,OTIS PUTNAM,156
APPLING,State Senate,3,Democrat,RENE' KEMP,365
BRYAN,State Senate,3,Democrat,OTIS PUTNAM,10
BRYAN,State Senate,3,Democrat,RENE' KEMP,29
GLYNN,State Senate,3,Democrat,OTIS PUTNAM,374
GLYNN,State Senate,3,Democrat,RENE' KEMP,1451
LIBERTY,State Senate,3,Democrat,OTIS PUTNAM,832
LIBERTY,State Senate,3,Democrat,RENE' KEMP,2636
LONG,State Senate,3,Democrat,OTIS PUTNAM,135
LONG,State Senate,3,Democrat,RENE' KEMP,288
MCINTOSH,State Senate,3,Democrat,OTIS PUTNAM,441
MCINTOSH,State Senate,3,Democrat,RENE' KEMP,1699
WAYNE,State Senate,3,Democrat,OTIS PUTNAM,727
WAYNE,State Senate,3,Democrat,RENE' KEMP,1833
APPLING,State Senate,3,Republican,SHAW MCVEIGH,129
BRYAN,State Senate,3,Republican,SHAW MCVEIGH,60
GLYNN,State Senate,3,Republican,SHAW MCVEIGH,1653
LIBERTY,State Senate,3,Republican,SHAW MCVEIGH,426
LONG,State Senate,3,Republican,SHAW MCVEIGH,128
MCINTOSH,State Senate,3,Republican,SHAW MCVEIGH,234
WAYNE,State Senate,3,Republican,SHAW MCVEIGH,410
BRYAN,State Senate,4,Democrat,JACK HILL,256
BULLOCH,State Senate,4,Democrat,JACK HILL,1052
EFFINGHAM,State Senate,4,Democrat,JACK HILL,1348
EVANS,State Senate,4,Democrat,JACK HILL,763
JENKINS,State Senate,4,Democrat,JACK HILL,537
SCREVEN,State Senate,4,Democrat,JACK HILL,595
TATTNALL,State Senate,4,Democrat,JACK HILL,1895
TOOMBS,State Senate,4,Democrat,JACK HILL,36
BRYAN,State Senate,4,Republican,LARRY ELLGASS,322
BULLOCH,State Senate,4,Republican,LARRY ELLGASS,1691
EFFINGHAM,State Senate,4,Republican,LARRY ELLGASS,2546
EVANS,State Senate,4,Republican,LARRY ELLGASS,264
JENKINS,State Senate,4,Republican,LARRY ELLGASS,233
SCREVEN,State Senate,4,Republican,LARRY ELLGASS,710
TATTNALL,State Senate,4,Republican,LARRY ELLGASS,289
TOOMBS,State Senate,4,Republican,LARRY ELLGASS,24
DEKALB,State Senate,5,Democrat,MARY SQUIRES,341
GWINNETT,State Senate,5,Democrat,MARY SQUIRES,2755
DEKALB,State Senate,5,Republican,GREG HOWARD,8
DEKALB,State Senate,5,Republican,JIMMY HERCHEK,17
DEKALB,State Senate,5,Republican,PHYLLYS RANSOM,11
GWINNETT,State Senate,5,Republican,GREG HOWARD,1132
GWINNETT,State Senate,5,Republican,JIMMY HERCHEK,1123
GWINNETT,State Senate,5,Republican,PHYLLYS RANSOM,958
COBB,State Senate,6,Democrat,AKHTAR SADIQ,1471
COBB,State Senate,6,Democrat,TERRY JOHNSON,3323
COBB,State Senate,6,Republican,GINGER COLLINS,4264
COBB,State Senate,6,Republican,JIMMY FLANAGIN,1949
BERRIEN,State Senate,7,Democrat,PEG BLITCH,1303
CAMDEN,State Senate,7,Democrat,PEG BLITCH,629
CHARLTON,State Senate,7,Democrat,PEG BLITCH,370
CLINCH,State Senate,7,Democrat,PEG BLITCH,455
COOK,State Senate,7,Democrat,PEG BLITCH,139
ECHOLS,State Senate,7,Democrat,PEG BLITCH,283
LANIER,State Senate,7,Democrat,PEG BLITCH,611
TIFT,State Senate,7,Democrat,PEG BLITCH,668
WARE,State Senate,7,Democrat,PEG BLITCH,1557
