county,office,district,party,candidate,votes
CATOOSA ,US Representative,9,Republican,Tom Graves,1163
DADE ,US Representative,9,Republican,Tom Graves,292
DAWSON ,US Representative,9,Republican,Tom Graves,640
FANNIN ,US Representative,9,Republican,Tom Graves,683
FORSYTH ,US Representative,9,Republican,Tom Graves,5228
GILMER ,US Representative,9,Republican,Tom Graves,953
GORDON ,US Representative,9,Republican,Tom Graves,644
HALL ,US Representative,9,Republican,Tom Graves,4764
LUMPKIN ,US Representative,9,Republican,Tom Graves,750
MURRAY ,US Representative,9,Republican,Tom Graves,704
PICKENS ,US Representative,9,Republican,Tom Graves,1335
UNION ,US Representative,9,Republican,Tom Graves,804
WALKER ,US Representative,9,Republican,Tom Graves,1076
WHITE ,US Representative,9,Republican,Tom Graves,879
WHITFIELD ,US Representative,9,Republican,Tom Graves,2779
CATOOSA ,US Representative,9,Republican,Lee Hawkins,617
DADE ,US Representative,9,Republican,Lee Hawkins,160
DAWSON ,US Representative,9,Republican,Lee Hawkins,713
FANNIN ,US Representative,9,Republican,Lee Hawkins,339
FORSYTH ,US Representative,9,Republican,Lee Hawkins,3074
GILMER ,US Representative,9,Republican,Lee Hawkins,391
GORDON ,US Representative,9,Republican,Lee Hawkins,153
HALL ,US Representative,9,Republican,Lee Hawkins,7472
LUMPKIN ,US Representative,9,Republican,Lee Hawkins,763
MURRAY ,US Representative,9,Republican,Lee Hawkins,270
PICKENS ,US Representative,9,Republican,Lee Hawkins,478
UNION ,US Representative,9,Republican,Lee Hawkins,508
WALKER ,US Representative,9,Republican,Lee Hawkins,616
WHITE ,US Representative,9,Republican,Lee Hawkins,711
WHITFIELD ,US Representative,9,Republican,Lee Hawkins,1244
