county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Echols,,United States Senator,,REP,PAUL COLLINS BROUN,10,0,6,4,0
Echols,Statenville,United States Senator,,REP,PAUL COLLINS BROUN,10,0,6,4,0
Echols,,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",3,0,1,2,0
Echols,Statenville,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",3,0,1,2,0
Echols,,United States Senator,,REP,"J. P. ""PHIL"" GINGREY",1,0,1,0,0
Echols,Statenville,United States Senator,,REP,"J. P. ""PHIL"" GINGREY",1,0,1,0,0
Echols,,United States Senator,,REP,DERRICK E. GRAYSON,4,0,1,3,0
Echols,Statenville,United States Senator,,REP,DERRICK E. GRAYSON,4,0,1,3,0
Echols,,United States Senator,,REP,KAREN C. HANDEL,26,0,19,6,1
Echols,Statenville,United States Senator,,REP,KAREN C. HANDEL,26,0,19,6,1
Echols,,United States Senator,,REP,"J. H. ""JACK"" KINGSTON",210,3,125,81,1
Echols,Statenville,United States Senator,,REP,"J. H. ""JACK"" KINGSTON",210,3,125,81,1
Echols,,United States Senator,,REP,DAVID A. PERDUE,21,0,12,9,0
Echols,Statenville,United States Senator,,REP,DAVID A. PERDUE,21,0,12,9,0
Echols,,United States Senator,,DEM,"O. ""STEEN"" MILES",10,0,8,2,0
Echols,Statenville,United States Senator,,DEM,"O. ""STEEN"" MILES",10,0,8,2,0
Echols,,United States Senator,,DEM,M. MICHELLE NUNN,12,1,9,1,1
Echols,Statenville,United States Senator,,DEM,M. MICHELLE NUNN,12,1,9,1,1
Echols,,United States Senator,,DEM,"BRANKO ""RAD"" RADULOVACKI",0,0,0,0,0
Echols,Statenville,United States Senator,,DEM,"BRANKO ""RAD"" RADULOVACKI",0,0,0,0,0
Echols,,United States Senator,,DEM,TODD ANTHONY ROBINSON,7,0,4,3,0
Echols,Statenville,United States Senator,,DEM,TODD ANTHONY ROBINSON,7,0,4,3,0
Echols,,Governor,,REP,JOHN D. BARGE,45,1,32,12,0
Echols,Statenville,Governor,,REP,JOHN D. BARGE,45,1,32,12,0
Echols,,Governor,,REP,J. NATHAN DEAL (I),186,2,114,68,2
Echols,Statenville,Governor,,REP,J. NATHAN DEAL (I),186,2,114,68,2
