county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,1B,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",48,6,10,0
Appling,4B,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",25,6,2,0
Appling,3A1,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",18,2,3,0
Appling,5B,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",14,2,2,0
Appling,5A,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",20,3,1,0
Appling,4D,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",33,8,4,0
Appling,3A,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",20,0,0,0
Appling,3B,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",12,0,0,0
Appling,1C,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",20,4,2,0
Appling,4C,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",28,2,0,0
Appling,3C,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",38,3,3,0
Appling,5C,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",20,2,1,0
Appling,4A,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",23,2,0,0
Appling,2,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",21,1,3,0
Appling,4C,State School Superintendent,,Republican,RICHARD L. WOODS,29,1,0,0
Appling,5A,State School Superintendent,,Republican,RICHARD L. WOODS,30,7,6,0
Appling,5B,State School Superintendent,,Republican,RICHARD L. WOODS,16,6,0,0
Appling,5C,State School Superintendent,,Republican,RICHARD L. WOODS,25,5,6,0
Appling,4B,State School Superintendent,,Republican,RICHARD L. WOODS,42,4,2,0
Appling,4A,State School Superintendent,,Republican,RICHARD L. WOODS,21,3,2,0
Appling,3C,State School Superintendent,,Republican,RICHARD L. WOODS,74,11,11,0
Appling,3A1,State School Superintendent,,Republican,RICHARD L. WOODS,18,7,3,0
Appling,4D,State School Superintendent,,Republican,RICHARD L. WOODS,55,19,8,0
Appling,3A,State School Superintendent,,Republican,RICHARD L. WOODS,22,1,2,0
Appling,2,State School Superintendent,,Republican,RICHARD L. WOODS,27,4,5,0
Appling,1C,State School Superintendent,,Republican,RICHARD L. WOODS,36,10,3,0
Appling,1B,State School Superintendent,,Republican,RICHARD L. WOODS,52,11,14,0
Appling,3B,State School Superintendent,,Republican,RICHARD L. WOODS,14,0,0,0
Atkinson,Pearson County,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",6,3,0,0
Atkinson,Axson,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",5,2,0,0
Atkinson,Willacoochee,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",4,1,0,0
Atkinson,Pearson City,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",0,0,0,2
Atkinson,Pearson County,State School Superintendent,,Republican,RICHARD L. WOODS,5,5,0,0
Atkinson,Pearson City,State School Superintendent,,Republican,RICHARD L. WOODS,0,1,0,0
Atkinson,Willacoochee,State School Superintendent,,Republican,RICHARD L. WOODS,1,2,1,0
Atkinson,Axson,State School Superintendent,,Republican,RICHARD L. WOODS,4,2,0,0
Bacon,Ware,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",16,17,2,0
Bacon,Warnock,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",32,38,2,0
