county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Fulton,,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",11276,694,321,9198,31,1032
Fulton,01A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",16,0,3,10,1,2
Fulton,01B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",28,1,0,27,0,0
Fulton,01C1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,01C2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,01D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,1,0,2,0,1
Fulton,01E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",16,0,1,15,0,0
Fulton,01F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,01G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,0,0,4,0,0
Fulton,01H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,01I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,01J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,1,0,3,0,0
Fulton,01P,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,01R,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,01S,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,01T,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",9,1,0,8,0,0
Fulton,02A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",21,6,1,14,0,0
Fulton,02B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",18,1,1,16,0,0
Fulton,02C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,0,0,4,0,0
Fulton,02D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",12,2,0,10,0,0
Fulton,02E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",25,1,0,24,0,0
Fulton,02F1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",16,0,1,15,0,0
Fulton,02F2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,02G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",10,0,0,10,0,0
Fulton,02J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",18,2,0,15,0,1
Fulton,02K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",8,2,0,6,0,0
Fulton,02L1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",34,3,0,31,0,0
Fulton,02L2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",8,1,0,6,0,1
Fulton,02S,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,02W,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,03A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,03F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",9,2,2,5,0,0
Fulton,03G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,03H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,03L,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,03M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,1,0,5,0,0
Fulton,03N,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03P1A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,0,0,4,0,0
Fulton,03P1B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03P2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03S,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,03T,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,04A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,04B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,04C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,04F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,0,0,4,0,0
Fulton,04G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,1,0,1,0,0
Fulton,04J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",5,0,0,4,0,1
Fulton,04L,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,04M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04S,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04T,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04V,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,1,0,2,0,0
Fulton,04W,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04X1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,04X2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,05A1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,0,0,6,0,0
Fulton,05A2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",13,0,0,13,0,0
Fulton,05B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,05C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,05D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,05F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,05J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",8,0,0,8,0,0
Fulton,05K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,2,0,2,0,0
Fulton,06B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",15,0,0,15,0,0
Fulton,06D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",32,2,2,28,0,0
Fulton,06E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",33,2,1,30,0,0
Fulton,06F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",25,0,0,25,0,0
Fulton,06G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",5,0,1,4,0,0
Fulton,06H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",33,0,1,30,0,2
Fulton,06I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",10,1,0,9,0,0
Fulton,06J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",19,1,1,16,0,1
Fulton,06L1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",18,1,1,13,0,3
Fulton,06L2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",25,5,0,19,0,1
Fulton,06N,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",65,5,5,49,0,6
Fulton,06Q,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,06R,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",36,1,4,31,0,0
Fulton,06S,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",60,4,3,50,0,3
Fulton,07A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",150,10,7,122,0,11
Fulton,07B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",156,12,8,127,1,8
Fulton,07C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",121,10,25,80,0,6
Fulton,07D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",51,2,4,42,0,3
Fulton,07E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",36,1,2,28,0,5
Fulton,07F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",93,5,5,79,0,4
Fulton,07H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",91,1,4,75,1,10
Fulton,07J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",68,2,1,64,0,1
Fulton,07M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",33,2,0,30,0,1
Fulton,07N,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",5,0,0,4,0,1
Fulton,08A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",109,3,4,87,0,15
Fulton,08B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",155,7,10,127,1,10
Fulton,08C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",86,6,7,65,0,8
Fulton,08D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",77,0,6,55,1,15
Fulton,08E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",174,5,11,134,0,24
Fulton,08F1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",153,6,5,106,1,35
Fulton,08G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",77,1,4,65,0,7
Fulton,08H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",157,4,6,123,1,23
Fulton,08J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",126,2,8,88,1,27
Fulton,08K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",26,0,0,23,0,3
Fulton,08L,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",56,7,2,40,0,7
Fulton,08M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",104,5,5,73,0,21
Fulton,08N1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",61,0,2,53,0,6
Fulton,08N2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",55,1,2,42,0,10
Fulton,08P,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",12,0,0,9,0,3
Fulton,09A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",44,0,0,42,0,2
Fulton,09B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,09C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,09D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,09E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,09F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",130,6,1,113,1,9
Fulton,09G1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,09G2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",29,2,0,26,0,1
Fulton,09H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,1,0,5,0,0
Fulton,09I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,09K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,09L,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,09M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",22,0,0,22,0,0
Fulton,10A,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,1,0,0,0,0
Fulton,10B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10D,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,10E,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10F,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,10G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,10H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,10I,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,10L,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",5,0,0,4,0,1
Fulton,10M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,10P,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,10R,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,11B,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,0,0,3,0,0
Fulton,11C,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,11E1,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,11E2,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
Fulton,11E3,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,1,0,0,0,0
Fulton,11G,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,3,0,1,0,0
Fulton,11H,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,11J,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,0,0,1
Fulton,11K,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
Fulton,11M,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,0,0,2,0,0
Fulton,11N,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
