county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,3A1,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,93,17,9,0
Appling,1B,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,184,46,30,2
Appling,5C,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,65,6,3,0
Appling,3B,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,38,7,3,0
Appling,5A,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,112,27,15,0
Appling,4D,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,159,55,15,0
Appling,4C,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,76,10,3,0
Appling,4B,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,74,13,3,0
Appling,4A,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,60,7,2,0
Appling,3C,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,149,44,23,0
Appling,3A,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,45,7,2,0
Appling,2,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,190,32,19,0
Appling,1C,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,129,30,7,0
Appling,5B,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,76,22,8,0
Appling,4A,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",61,8,3,0
Appling,2,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",194,31,17,0
Appling,5C,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",67,6,3,0
Appling,5B,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",78,22,8,0
Appling,5A,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",112,26,17,0
Appling,4D,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",168,56,16,0
Appling,4C,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",77,12,3,0
Appling,4B,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",74,13,3,0
Appling,1B,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",186,47,31,2
Appling,1C,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",130,31,6,0
Appling,3A,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",45,7,2,0
Appling,3A1,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",95,17,7,0
Appling,3B,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",37,7,3,0
Appling,3C,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",153,46,21,0
Appling,3A,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,45,7,2,0
Appling,3A1,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,97,17,8,0
Appling,1C,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,128,32,7,0
Appling,2,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,195,31,18,0
Appling,5C,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,69,6,3,0
Appling,3C,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,152,45,20,0
Appling,4A,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,57,8,3,0
Appling,4B,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,72,13,3,0
Appling,4C,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,74,11,3,0
Appling,4D,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,162,57,15,0
Appling,5B,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,78,22,9,0
