county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Catoosa,not available,State House,2,Republican,DOUG WOODRUFF,142,46,3,0
Catoosa,not available,State House,2,Republican,NEAL FLORENCE,45,10,0,0
Catoosa,not available,State House,2,Republican,STEVE TARVIN,148,26,6,0
Cherokee,not available,State House,22,Republican,JEFF DUNCAN,429,73,8,0
Cherokee,not available,State House,22,Republican,MEAGAN BIELLO,404,138,3,0
Cherokee,not available,State House,22,Republican,NATE COCHRAN,270,29,0,0
Cherokee,not available,State House,22,Republican,SAM MOORE,615,119,9,1
Forsyth,not available,State House,22,Republican,JEFF DUNCAN,41,8,2,0
Forsyth,not available,State House,22,Republican,MEAGAN BIELLO,17,8,0,0
Forsyth,not available,State House,22,Republican,NATE COCHRAN,44,10,0,0
Forsyth,not available,State House,22,Republican,SAM MOORE,110,38,0,0
Fulton,not available,State House,22,Republican,JEFF DUNCAN,11,2,0,0
Fulton,not available,State House,22,Republican,MEAGAN BIELLO,6,0,0,0
Fulton,not available,State House,22,Republican,NATE COCHRAN,6,0,0,0
Fulton,not available,State House,22,Republican,SAM MOORE,24,8,0,0
Walker,not available,State House,2,Republican,DOUG WOODRUFF,469,81,9,0
Walker,not available,State House,2,Republican,NEAL FLORENCE,552,249,50,0
Walker,not available,State House,2,Republican,STEVE TARVIN,524,70,64,1
Whitfield,not available,State House,2,Republican,DOUG WOODRUFF,19,4,1,0
Whitfield,not available,State House,2,Republican,NEAL FLORENCE,47,10,1,0
Whitfield,not available,State House,2,Republican,STEVE TARVIN,201,26,7,0
