county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",198739,147837,6730,43996,176
Appling,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",412,340,31,41,0
Atkinson,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",23,15,0,6,2
Bacon,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",494,230,19,245,0
Baker,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",67,50,3,14,0
Baldwin,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",874,578,35,261,0
Banks,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",485,408,4,73,0
Barrow,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1839,1304,44,491,0
Bartow,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",3013,2369,41,602,1
Ben Hill,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",111,53,5,53,0
Berrien,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",300,206,5,87,2
Bibb,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",2412,1928,135,349,0
Bleckley,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",209,129,12,68,0
Brantley,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",277,205,11,61,0
Brooks,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",300,220,9,70,1
Bryan,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1085,667,26,391,1
Bulloch,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1433,1074,35,324,0
Burke,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",303,245,10,48,0
Butts,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1073,485,47,541,0
Calhoun,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",73,65,4,4,0
Camden,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1024,853,83,88,0
Candler,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",245,159,11,75,0
Carroll,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",2787,2053,73,660,1
Catoosa,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",691,480,8,203,0
Charlton,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",202,129,4,68,1
Chatham,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",9266,7095,253,1915,3
Chattahoochee,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",22,13,1,8,0
Chattooga,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",273,207,8,57,1
Cherokee,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",7258,6069,187,1000,2
Clarke,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1624,1148,84,390,2
Clay,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",53,42,0,11,0
Clayton,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",1472,1185,51,236,0
Clinch,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",91,63,1,27,0
Cobb,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",17548,13622,592,3319,15
Coffee,State School Superintendent,,REP,"MICHAEL L. ""MIKE"" BUCK",468,303,12,153,0
