county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,not available,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,1450,323,142,2
Appling,not available,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",1477,329,140,2
Appling,not available,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,1462,329,141,2
Appling,not available,Appeals Court Judge,,Nonpartisan,SARA L. DOYLE,1466,326,144,2
Appling,not available,Appeals Court Judge,,Nonpartisan,WILLIAM M. RAY,1430,326,138,2
Appling,not available,Attorney General,,Democrat,"GREGORY K. ""GREG"" HECHT",250,61,41,2
Appling,not available,Attorney General,,Republican,SAMUEL S. OLENS,1215,262,114,0
Appling,not available,Commissioner Of Agriculture,,Democrat,CHRISTOPHER JAMES IRVIN,269,59,41,2
Appling,not available,Commissioner Of Agriculture,,Republican,GARY W. BLACK,1325,289,113,0
Appling,not available,Commissioner Of Insurance,,Democrat,"ELIZABETH N. ""LIZ"" JOHNSON",205,47,33,0
Appling,not available,Commissioner Of Insurance,,Democrat,KEITH G. HEARD,91,23,9,1
Appling,not available,Commissioner Of Insurance,,Republican,RALPH T. HUDGENS,1205,258,106,0
Appling,not available,Commissioner Of Labor,,Democrat,ROBBIN K. SHIPP,250,59,40,2
Appling,not available,Commissioner Of Labor,,Republican,J. MARK BUTLER,1250,274,108,0
Appling,not available,Governor,,Democrat,JASON J. CARTER,280,63,41,2
Appling,not available,Governor,,Republican,DAVID E. PENNINGTON III.,518,108,40,0
Appling,not available,Governor,,Republican,J. NATHAN DEAL,1093,232,121,0
Appling,not available,Governor,,Republican,JOHN D. BARGE,157,36,10,0
Appling,not available,Lieutenant Governor,,Democrat,CONNIE J. STOKES,255,59,40,2
Appling,not available,Lieutenant Governor,,Republican,"L. S. ""CASEY"" CAGLE",1317,298,114,0
Appling,not available,Public Service Commissioner,1,Republican,"HERMAN D. ""DOUG"" EVERETT",1219,266,106,0
Appling,not available,Public Service Commissioner,4,Democrat,DANIEL A. BLACKMAN,254,57,39,2
Appling,not available,Public Service Commissioner,4,Republican,"CHARLES C. ""CRAIG"" LUTZ",204,38,10,0
Appling,not available,Public Service Commissioner,4,Republican,DOUGLAS T. KIDD,288,56,26,0
Appling,not available,Public Service Commissioner,4,Republican,"LAUREN W. ""BUBBA"" MCDONALD",997,234,116,0
Appling,not available,Secretary Of State,,Democrat,DOREEN CARTER,194,47,29,0
Appling,not available,Secretary Of State,,Democrat,GERALD B. BECKUM,104,21,16,1
Appling,not available,Secretary Of State,,Republican,BRIAN P. KEMP,1309,291,117,0
Appling,not available,State House,156,Republican,"D. L. ""LEE"" BURTON",522,117,60,0
Appling,not available,State House,156,Republican,GREG MORRIS,729,157,79,0
Appling,not available,State House,178,Republican,JOHN NIMMER,386,85,23,0
Appling,not available,State School Superintendent,,Democrat,ALISHA THOMAS MORGAN,54,20,14,0
Appling,not available,State School Superintendent,,Democrat,JURITA FOREHAND MAYS,15,3,2,0
Appling,not available,State School Superintendent,,Democrat,"MARION SPENCER ""DENISE"" FREEMAN",55,17,10,1
Appling,not available,State School Superintendent,,Democrat,"R. ""RITA"" ROBINZINE",16,6,1,0
Appling,not available,State School Superintendent,,Democrat,TARNISHA L. DENT,61,13,5,0
Appling,not available,State School Superintendent,,Democrat,VALARIE D. WILSON,93,10,13,0
Appling,not available,State School Superintendent,,Republican,ALLEN BOWLES FORT,78,22,11,0
Appling,not available,State School Superintendent,,Republican,ASHLEY D. BELL,125,29,10,0
Appling,not available,State School Superintendent,,Republican,KIRA G. WILLIS,17,5,3,0
Appling,not available,State School Superintendent,,Republican,MARY KAY BACALLAO,165,30,12,0
Appling,not available,State School Superintendent,,Republican,"MICHAEL L. ""MIKE"" BUCK",222,44,14,0
Appling,not available,State School Superintendent,,Republican,NANCY T. JESTER,173,39,32,0
Appling,not available,State School Superintendent,,Republican,RICHARD L. WOODS,461,95,30,0
Appling,not available,State School Superintendent,,Republican,SHARYL H. DAWES,74,10,8,0
Appling,not available,State School Superintendent,,Republican,T. FITZ JOHNSON,120,19,15,0
Appling,not available,State Senate,19,Republican,TOMMIE A WILLIAMS,1394,311,135,0
Appling,not available,Superior Court Judge,Brunswick Circuit,Nonpartisan,MARY HELEN MOSES,742,147,79,1
Appling,not available,Superior Court Judge,Brunswick Circuit,Nonpartisan,ROGER B. LANE,1167,280,127,0
Appling,not available,Supreme Court Justice,,Nonpartisan,KEITH R. BLACKWELL,1460,328,140,2
Appling,not available,Supreme Court Justice,,Nonpartisan,P. HARRIS HINES,1451,325,142,2
Appling,not available,Supreme Court Justice,,Nonpartisan,ROBERT BENHAM,1478,330,137,2
Appling,not available,U.S. House,12,Democrat,JOHN J. BARROW,275,67,46,2
Appling,not available,U.S. House,12,Republican,DELVIS WILLIAM DUTTON,401,76,31,0
Appling,not available,U.S. House,12,Republican,DIANE SWANSON VANN,46,11,7,0
Appling,not available,U.S. House,12,Republican,EUGENE C. YU,126,21,4,0
Appling,not available,U.S. House,12,Republican,JOHN E. STONE,132,33,28,0
Appling,not available,U.S. House,12,Republican,"R. W. ""RICK"" ALLEN",987,226,88,0
Appling,not available,U.S. Senate,,Democrat,"BRANKO ""RAD"" RADULOVACKI",18,4,3,0
Appling,not available,U.S. Senate,,Democrat,M. MICHELLE NUNN,208,52,25,0
Appling,not available,U.S. Senate,,Democrat,"O. ""STEEN"" MILES",52,6,13,0
Appling,not available,U.S. Senate,,Democrat,TODD ANTHONY ROBINSON,43,12,4,1
Appling,not available,U.S. Senate,,Republican,"ARTHUR A. ""ART"" GARDNER",19,2,2,0
Appling,not available,U.S. Senate,,Republican,DAVID A. PERDUE,157,21,15,0
Appling,not available,U.S. Senate,,Republican,DERRICK E. GRAYSON,13,2,0,0
Appling,not available,U.S. Senate,,Republican,"J. H. ""JACK"" KINGSTON",1303,283,123,0
Appling,not available,U.S. Senate,,Republican,"J. P. ""PHIL"" GINGREY",18,7,2,0
Appling,not available,U.S. Senate,,Republican,KAREN C. HANDEL,121,22,18,0
Appling,not available,U.S. Senate,,Republican,PAUL COLLINS BROUN,168,51,17,0
Atkinson,not available,Appeals Court Judge,,Nonpartisan,CARLA W. MCMILLIAN,529,235,32,9
Atkinson,not available,Appeals Court Judge,,Nonpartisan,"ELIZABETH L. ""LISA"" BRANCH",531,239,32,8
Atkinson,not available,Appeals Court Judge,,Nonpartisan,GARY B. ANDREWS,535,234,32,9
Atkinson,not available,Appeals Court Judge,,Nonpartisan,SARA L. DOYLE,532,234,32,9
Atkinson,not available,Appeals Court Judge,,Nonpartisan,WILLIAM M. RAY,533,228,33,9
Atkinson,not available,Attorney General,,Democrat,"GREGORY K. ""GREG"" HECHT",442,209,32,7
Atkinson,not available,Attorney General,,Republican,SAMUEL S. OLENS,59,13,1,0
Atkinson,not available,Commissioner Of Agriculture,,Democrat,CHRISTOPHER JAMES IRVIN,458,228,33,8
Atkinson,not available,Commissioner Of Agriculture,,Republican,GARY W. BLACK,70,15,0,0
Atkinson,not available,Commissioner Of Insurance,,Democrat,"ELIZABETH N. ""LIZ"" JOHNSON",297,136,24,6
Atkinson,not available,Commissioner Of Insurance,,Democrat,KEITH G. HEARD,235,123,15,5
Atkinson,not available,Commissioner Of Insurance,,Republican,RALPH T. HUDGENS,58,12,1,0
Atkinson,not available,Commissioner Of Labor,,Democrat,ROBBIN K. SHIPP,418,198,32,9
Atkinson,not available,Commissioner Of Labor,,Republican,J. MARK BUTLER,62,14,1,0
Atkinson,not available,Governor,,Democrat,JASON J. CARTER,497,239,35,8
Atkinson,not available,Governor,,Republican,DAVID E. PENNINGTON III.,12,2,0,0
Atkinson,not available,Governor,,Republican,J. NATHAN DEAL,67,18,1,2
Atkinson,not available,Governor,,Republican,JOHN D. BARGE,15,4,1,0
Atkinson,not available,Lieutenant Governor,,Democrat,CONNIE J. STOKES,437,206,34,7
Atkinson,not available,Lieutenant Governor,,Republican,"L. S. ""CASEY"" CAGLE",69,18,1,0
