county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,advance_in_person,provisional_
DeKalb,,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6645,481,311,5851,0,2
DeKalb,ALLGOOD ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",21,7,0,14,0,0
DeKalb,ASHFORD DUNWOODY RD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",117,3,6,108,0,0
DeKalb,ASHFORD PARK ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",73,4,7,62,0,0
DeKalb,ASHFORD PARKSIDE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",102,3,3,96,0,0
DeKalb,AUSTIN,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",183,6,10,167,0,0
DeKalb,AUSTIN DRIVE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,3,0,3,0,0
DeKalb,AVONDALE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",115,18,5,92,0,0
DeKalb,AVONDALE HIGH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",42,5,1,36,0,0
DeKalb,BETHUNE MIDDLE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",9,3,0,6,0,0
DeKalb,BOULDERCREST RD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,0,0,3,0,0
DeKalb,BOULEVARD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",21,1,0,20,0,0
DeKalb,BRIAR VISTA ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",38,2,1,35,0,0
DeKalb,BRIARCLIFF,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",52,2,7,43,0,0
DeKalb,BRIARLAKE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",96,6,8,82,0,0
DeKalb,BRIARWOOD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",44,0,2,42,0,0
DeKalb,BROCKETT,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",78,5,2,71,0,0
DeKalb,BROCKETT ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",96,9,2,85,0,0
DeKalb,BROOKHAVEN,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",93,0,5,88,0,0
DeKalb,BROWNS MILL ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,0,1,5,0,0
DeKalb,BURGESS ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",7,0,1,6,0,0
DeKalb,CANBY LANE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",7,2,0,5,0,0
DeKalb,CANDLER,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",7,1,0,6,0,0
DeKalb,CANDLER-MURPHEY CANDLER ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",23,1,2,20,0,0
DeKalb,CEDAR GROVE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,0,0,3,0,0
DeKalb,CEDAR GROVE MIDDLE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
DeKalb,CEDAR GROVE SOUTH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",6,0,0,6,0,0
DeKalb,CHAMBLEE ,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",107,2,2,103,0,0
DeKalb,CHAPEL HILL ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,1,1,0,0,0
DeKalb,CHESNUT ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",50,1,0,49,0,0
DeKalb,CLAIREMONT EAST,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",49,4,0,45,0,0
DeKalb,CLAIREMONT WEST,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",46,10,6,30,0,0
DeKalb,CLAIRMONT ROAD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",48,2,4,42,0,0
DeKalb,CLARKSTON,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",15,1,2,12,0,0
DeKalb,CLIFTON ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,1,0,3,0,0
DeKalb,COAN MIDDLE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,0,0,3,0,0
DeKalb,COLUMBIA DRIVE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2,1,0,1,0,0
DeKalb,COLUMBIA ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
DeKalb,COLUMBIA MIDDLE,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",1,0,0,1,0,0
DeKalb,CORALWOOD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",93,12,3,78,0,0
DeKalb,COVINGTON,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",13,1,1,11,0,0
DeKalb,COVINGTON HWY LIBRARY,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",0,0,0,0,0,0
DeKalb,CROSS KEYS HIGH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",31,2,2,27,0,0
DeKalb,CROSSROADS,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",3,0,0,3,0,0
DeKalb,DORAVILLE NORTH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",40,2,2,36,0,0
DeKalb,DORAVILLE SOUTH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",11,0,0,11,0,0
DeKalb,DRESDEN ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",48,2,2,44,0,0
DeKalb,DRUID HILLS HIGH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",34,5,2,27,0,0
DeKalb,DUNAIRE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",17,4,0,13,0,0
DeKalb,DUNWOODY,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",62,7,7,48,0,0
DeKalb,DUNWOODY ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",120,6,4,110,0,0
DeKalb,DUNWOODY LIBRARY,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",137,5,10,122,0,0
DeKalb,EAST LAKE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",12,1,2,9,0,0
DeKalb,EMBRY HILLS,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",86,5,3,78,0,0
DeKalb,EMORY ROAD,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",12,0,2,10,0,0
DeKalb,EMORY SOUTH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",52,7,0,45,0,0
DeKalb,EPWORTH,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",73,1,0,72,0,0
DeKalb,EVANSDALE ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",87,4,4,79,0,0
DeKalb,FAIRINGTON ELEM,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",4,1,0,3,0,0
