county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Catoosa,not available,State House,2,Republican,NEAL FLORENCE,148,16,2,0
Catoosa,not available,State House,2,Republican,STEVE TARVIN,311,39,5,0
Cherokee,not available,State House,22,Republican,MEAGAN BIELLO,872,103,50,1
Cherokee,not available,State House,22,Republican,SAM MOORE,1150,118,17,0
Forsyth,not available,State House,22,Republican,MEAGAN BIELLO,67,6,0,0
Forsyth,not available,State House,22,Republican,SAM MOORE,162,43,4,0
Fulton,not available,State House,22,Republican,MEAGAN BIELLO,11,3,0,0
Fulton,not available,State House,22,Republican,SAM MOORE,23,2,0,1
Walker,not available,State House,2,Republican,NEAL FLORENCE,968,334,95,0
Walker,not available,State House,2,Republican,STEVE TARVIN,985,118,159,0
Whitfield,not available,State House,2,Republican,NEAL FLORENCE,73,10,3,0
Whitfield,not available,State House,2,Republican,STEVE TARVIN,278,14,16,0
