county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes,
Berrien,West Berrien,United States Senator,,REP,PAUL COLLINS BROUN,5,0,2,0,7,
Berrien,Ray City,United States Senator,,REP,PAUL COLLINS BROUN,4,0,2,0,6,
Berrien,East Berrien,United States Senator,,REP,PAUL COLLINS BROUN,2,0,3,0,5,
Berrien,Nashville,United States Senator,,REP,PAUL COLLINS BROUN,15,0,3,0,18,
Berrien,Lois,United States Senator,,REP,PAUL COLLINS BROUN,4,0,2,0,6,
Berrien,Enigma,United States Senator,,REP,PAUL COLLINS BROUN,5,0,1,0,6,
Berrien,Alapaha,United States Senator,,REP,PAUL COLLINS BROUN,10,0,3,0,13,
Berrien,,United States Senator,,REP,PAUL COLLINS BROUN,45,0,16,0,61,
Berrien,West Berrien,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",0,0,0,0,0,
Berrien,Ray City,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",0,0,0,0,0,
Berrien,East Berrien,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",0,0,0,0,0,
Berrien,Nashville,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",1,0,1,0,2,
Berrien,Lois,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",1,0,0,0,1,
Berrien,Enigma,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",0,0,0,0,0,
Berrien,Alapaha,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",1,0,0,0,1,
Berrien,,United States Senator,,REP,"ARTHUR A. ""ART"" GARDNER",3,0,1,0,4,
Berrien,West Berrien,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",2,0,0,0,2,
Berrien,Ray City,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",0,0,0,0,0,
Berrien,East Berrien,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",2,3,0,0,5,
Berrien,Nashville,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",4,0,3,0,7,
Berrien,Lois,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",2,0,0,0,2,
Berrien,Enigma,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",3,0,0,0,3,
Berrien,Alapaha,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",1,1,0,0,2,
Berrien,,United States Senator,,REP,"J.P. ""PHIL"" GINGREY",14,4,3,0,21,
Berrien,West Berrien,United States Senator,,REP,DERRICK E. GRAYSON,4,0,0,0,4,
Berrien,Ray City,United States Senator,,REP,DERRICK E. GRAYSON,0,0,0,0,0,
Berrien,East Berrien,United States Senator,,REP,DERRICK E. GRAYSON,0,0,2,0,2,
Berrien,Nashville,United States Senator,,REP,DERRICK E. GRAYSON,0,0,3,0,3,
Berrien,Lois,United States Senator,,REP,DERRICK E. GRAYSON,0,0,1,0,1,
Berrien,Enigma,United States Senator,,REP,DERRICK E. GRAYSON,1,0,0,0,1,
Berrien,Alapaha,United States Senator,,REP,DERRICK E. GRAYSON,0,0,0,0,0,
Berrien,,United States Senator,,REP,DERRICK E. GRAYSON,5,0,6,0,11,
