office,district,candidate,party,county,votes
State Senate,28,Duke Blackburn,Republican,CARROLL,574
State Senate,28,Mike Crane,Republican,CARROLL,383
State Senate,28,Matt Brass,Republican,CARROLL,361
State Senate,28,Cynthia C. Bennett,Non-Partisan,CARROLL,138
State Senate,28,Dale Pepper,Republican,CARROLL,58
State Senate,28,M Seabolt,Democratic,CARROLL,298
State Senate,28,Jammie Williams,Democratic,CARROLL,86
State Senate,28,Edward Stone,Republican,CARROLL,105
State Senate,28,Kyle Frank,Republican,CARROLL,29
State Senate,28,Duke Blackburn,Republican,COWETA,"2,719"
State Senate,28,Mike Crane,Republican,COWETA,"2,096"
State Senate,28,Matt Brass,Republican,COWETA,"1,832"
State Senate,28,Cynthia C. Bennett,Non-Partisan,COWETA,"1,062"
State Senate,28,Dale Pepper,Republican,COWETA,954
State Senate,28,M Seabolt,Democratic,COWETA,513
State Senate,28,Jammie Williams,Democratic,COWETA,422
State Senate,28,Edward Stone,Republican,COWETA,458
State Senate,28,Kyle Frank,Republican,COWETA,275
State Senate,28,Duke Blackburn,Republican,HEARD,465
State Senate,28,Mike Crane,Republican,HEARD,103
State Senate,28,Matt Brass,Republican,HEARD,81
State Senate,28,Cynthia C. Bennett,Non-Partisan,HEARD,76
State Senate,28,Dale Pepper,Republican,HEARD,22
State Senate,28,M Seabolt,Democratic,HEARD,76
State Senate,28,Jammie Williams,Democratic,HEARD,29
State Senate,28,Edward Stone,Republican,HEARD,18
State Senate,28,Kyle Frank,Republican,HEARD,3
State Senate,28,Duke Blackburn,Republican,TROUP,405
State Senate,28,Mike Crane,Republican,TROUP,402
State Senate,28,Matt Brass,Republican,TROUP,280
State Senate,28,Cynthia C. Bennett,Non-Partisan,TROUP,144
State Senate,28,Dale Pepper,Republican,TROUP,53
State Senate,28,M Seabolt,Democratic,TROUP,175
State Senate,28,Jammie Williams,Democratic,TROUP,161
State Senate,28,Edward Stone,Republican,TROUP,77
State Senate,28,Kyle Frank,Republican,TROUP,36
