office,district,candidate,party,county,votes
State Senate,28,Mike Crane,Republican,CARROLL,1007
State Senate,28,Mike Crane,Republican,COWETA,3970
State Senate,28,Mike Crane,Republican,HEARD,162
State Senate,28,Mike Crane,Republican,TROUP,242
State Senate,28,Duke Blackburn,Republican,CARROLL,680
State Senate,28,Duke Blackburn,Republican,COWETA,2348
State Senate,28,Duke Blackburn,Republican,HEARD,289
State Senate,28,Duke Blackburn,Republican,TROUP,204
State Senate,50,Rick Austin,Republican,BANKS,306
State Senate,50,Rick Austin,Republican,FRANKLIN,275
State Senate,50,Rick Austin,Republican,HABERSHAM,2814
State Senate,50,Rick Austin,Republican,HART,357
State Senate,50,Rick Austin,Republican,RABUN,318
State Senate,50,Rick Austin,Republican,STEPHENS,456
State Senate,50,Rick Austin,Republican,TOWNS,445
State Senate,50,Rick Austin,Republican,WHITE,103
State Senate,50,John K. Wilkinson,Republican,BANKS,735
State Senate,50,John K. Wilkinson,Republican,FRANKLIN,1182
State Senate,50,John K. Wilkinson,Republican,HABERSHAM,1492
State Senate,50,John K. Wilkinson,Republican,HART,683
State Senate,50,John K. Wilkinson,Republican,RABUN,552
State Senate,50,John K. Wilkinson,Republican,STEPHENS,2130
State Senate,50,John K. Wilkinson,Republican,TOWNS,320
State Senate,50,John K. Wilkinson,Republican,WHITE,77
State Representative,25,Emory West Dunahoo Jr.,Republican,HALL,1582
State Representative,25,Bobby Banks,Republican,HALL,933
State Representative,68,"Dustin ""Dusty"" Hightower",Republican,CARROLL,862
State Representative,68,Alan Martinez,Republican,CARROLL,443
State Representative,68,Thom Fitzpatrick,Republican,CARROLL,304
State Representative,68,Tim Whetstone,Republican,CARROLL,209
State Representative,68,James M. Camp,Libertarian,CARROLL,152
State Representative,68,Marc E. Lattanzio,Republican,CARROLL,71
State Representative,68,"Dustin ""Dusty"" Hightower",Republican,DOUGLAS,30
State Representative,68,Alan Martinez,Republican,DOUGLAS,11
State Representative,68,Thom Fitzpatrick,Republican,DOUGLAS,14
State Representative,68,Tim Whetstone,Republican,DOUGLAS,23
State Representative,68,James M. Camp,Libertarian,DOUGLAS,10
State Representative,68,Marc E. Lattanzio,Republican,DOUGLAS,6
