office,candidate,party,county,votes,district
U.S. Senate,Chambliss,R,Appling,850,N/A
U.S. Senate,Totals,R,Appling,850,N/A
U.S. Senate,Chambliss,R,Atkinson,37,N/A
U.S. Senate,Totals,R,Atkinson,37,N/A
U.S. Senate,Chambliss,R,Bacon,957,N/A
U.S. Senate,Totals,R,Bacon,957,N/A
U.S. Senate,Chambliss,R,Baker,15,N/A
U.S. Senate,Totals,R,Baker,15,N/A
U.S. Senate,Chambliss,R,Baldwin,899,N/A
U.S. Senate,Totals,R,Baldwin,899,N/A
U.S. Senate,Chambliss,R,Banks,2227,N/A
U.S. Senate,Totals,R,Banks,2227,N/A
U.S. Senate,Chambliss,R,Barrow,5631,N/A
U.S. Senate,Totals,R,Barrow,5631,N/A
U.S. Senate,Chambliss,R,Bartow,7423,N/A
U.S. Senate,Totals,R,Bartow,7423,N/A
U.S. Senate,Chambliss,R,Ben hill,250,N/A
U.S. Senate,Totals,R,Ben hill,250,N/A
U.S. Senate,Chambliss,R,Berrien,883,N/A
U.S. Senate,Totals,R,Berrien,883,N/A
U.S. Senate,Chambliss,R,Bibb,4253,N/A
U.S. Senate,Totals,R,Bibb,4253,N/A
U.S. Senate,Chambliss,R,Bleckley,139,N/A
U.S. Senate,Totals,R,Bleckley,139,N/A
U.S. Senate,Chambliss,R,Brantley,788,N/A
U.S. Senate,Totals,R,Brantley,788,N/A
U.S. Senate,Chambliss,R,Brooks,112,N/A
U.S. Senate,Totals,R,Brooks,112,N/A
U.S. Senate,Chambliss,R,Bryan,1652,N/A
U.S. Senate,Totals,R,Bryan,1652,N/A
U.S. Senate,Chambliss,R,Bulloch,1265,N/A
U.S. Senate,Totals,R,Bulloch,1265,N/A
U.S. Senate,Chambliss,R,Burke,553,N/A
U.S. Senate,Totals,R,Burke,553,N/A
U.S. Senate,Chambliss,R,Butts,1870,N/A
U.S. Senate,Totals,R,Butts,1870,N/A
U.S. Senate,Chambliss,R,Calhoun,12,N/A
U.S. Senate,Totals,R,Calhoun,12,N/A
U.S. Senate,Chambliss,R,Camden,5218,N/A
U.S. Senate,Totals,R,Camden,5218,N/A
U.S. Senate,Chambliss,R,Candler,421,N/A
U.S. Senate,Totals,R,Candler,421,N/A
U.S. Senate,Chambliss,R,Carroll,6930,N/A
U.S. Senate,Totals,R,Carroll,6930,N/A
U.S. Senate,Chambliss,R,Catoosa,2690,N/A
U.S. Senate,Totals,R,Catoosa,2690,N/A
U.S. Senate,Chambliss,R,Charlton,287,N/A
U.S. Senate,Totals,R,Charlton,287,N/A
U.S. Senate,Chambliss,R,Chatham,5257,N/A
U.S. Senate,Totals,R,Chatham,5257,N/A
U.S. Senate,Chambliss,R,Chattahoochee,60,N/A
U.S. Senate,Totals,R,Chattahoochee,60,N/A
U.S. Senate,Chambliss,R,Chattooga,215,N/A
U.S. Senate,Totals,R,Chattooga,215,N/A
U.S. Senate,Chambliss,R,Cherokee,12797,N/A
U.S. Senate,Totals,R,Cherokee,12797,N/A
U.S. Senate,Chambliss,R,Clarke,3046,N/A
