office,candidate,party,county,votes,district
U.S. Senate,Jones,D,Appling,181,N/A
U.S. Senate,Martin,D,Appling,130,N/A
U.S. Senate,Totals,D,Appling,311,N/A
U.S. Senate,Jones,D,Atkinson,608,N/A
U.S. Senate,Martin,D,Atkinson,954,N/A
U.S. Senate,Totals,D,Atkinson,1562,N/A
U.S. Senate,Jones,D,Bacon,33,N/A
U.S. Senate,Martin,D,Bacon,35,N/A
U.S. Senate,Totals,D,Bacon,68,N/A
U.S. Senate,Jones,D,Baker,147,N/A
U.S. Senate,Martin,D,Baker,112,N/A
U.S. Senate,Totals,D,Baker,259,N/A
U.S. Senate,Jones,D,Baldwin,773,N/A
U.S. Senate,Martin,D,Baldwin,562,N/A
U.S. Senate,Totals,D,Baldwin,1335,N/A
U.S. Senate,Jones,D,Banks,15,N/A
U.S. Senate,Martin,D,Banks,89,N/A
U.S. Senate,Totals,D,Banks,104,N/A
U.S. Senate,Jones,D,Barrow,150,N/A
U.S. Senate,Martin,D,Barrow,303,N/A
U.S. Senate,Totals,D,Barrow,453,N/A
U.S. Senate,Jones,D,Bartow,150,N/A
U.S. Senate,Martin,D,Bartow,497,N/A
U.S. Senate,Totals,D,Bartow,647,N/A
U.S. Senate,Jones,D,Ben hill,377,N/A
U.S. Senate,Martin,D,Ben hill,292,N/A
U.S. Senate,Totals,D,Ben hill,669,N/A
U.S. Senate,Jones,D,Berrien,169,N/A
U.S. Senate,Martin,D,Berrien,210,N/A
U.S. Senate,Totals,D,Berrien,379,N/A
U.S. Senate,Jones,D,Bibb,1842,N/A
U.S. Senate,Martin,D,Bibb,1751,N/A
U.S. Senate,Totals,D,Bibb,3593,N/A
U.S. Senate,Jones,D,Bleckley,91,N/A
U.S. Senate,Martin,D,Bleckley,113,N/A
U.S. Senate,Totals,D,Bleckley,204,N/A
U.S. Senate,Jones,D,Brantley,683,N/A
U.S. Senate,Martin,D,Brantley,1050,N/A
U.S. Senate,Totals,D,Brantley,1733,N/A
U.S. Senate,Jones,D,Brooks,201,N/A
U.S. Senate,Martin,D,Brooks,153,N/A
U.S. Senate,Totals,D,Brooks,354,N/A
U.S. Senate,Jones,D,Bryan,70,N/A
U.S. Senate,Martin,D,Bryan,87,N/A
U.S. Senate,Totals,D,Bryan,157,N/A
