office,candidate,party,county,votes,district
State Senator,Crosby,R,Ben hill,26,District 13
State Senator,Hudgins,R,Ben hill,26,District 13
State Senator,Roberts,R,Ben hill,3,District 13
State Senator,Simpson,R,Ben hill,16,District 13
State Senator,Usry,R,Ben hill,2,District 13
State Senator,Totals,R,Ben hill,73,District 13
State Senator,Crosby,R,Crisp,28,District 13
State Senator,Hudgins,R,Crisp,126,District 13
State Senator,Roberts,R,Crisp,81,District 13
State Senator,Simpson,R,Crisp,188,District 13
State Senator,Usry,R,Crisp,30,District 13
State Senator,Totals,R,Crisp,453,District 13
State Senator,Crosby,R,Irwin,19,District 13
State Senator,Hudgins,R,Irwin,67,District 13
State Senator,Roberts,R,Irwin,2,District 13
State Senator,Simpson,R,Irwin,15,District 13
State Senator,Usry,R,Irwin,1,District 13
State Senator,Totals,R,Irwin,104,District 13
State Senator,Crosby,R,Lee,174,District 13
State Senator,Hudgins,R,Lee,229,District 13
State Senator,Roberts,R,Lee,1026,District 13
State Senator,Simpson,R,Lee,222,District 13
State Senator,Usry,R,Lee,447,District 13
State Senator,Totals,R,Lee,2098,District 13
State Senator,Crosby,R,Tift,1447,District 13
State Senator,Hudgins,R,Tift,161,District 13
State Senator,Roberts,R,Tift,26,District 13
State Senator,Simpson,R,Tift,563,District 13
State Senator,Usry,R,Tift,25,District 13
State Senator,Totals,R,Tift,2222,District 13
State Senator,Crosby,R,Turner,13,District 13
State Senator,Hudgins,R,Turner,36,District 13
State Senator,Roberts,R,Turner,7,District 13
State Senator,Simpson,R,Turner,28,District 13
State Senator,Usry,R,Turner,3,District 13
State Senator,Totals,R,Turner,87,District 13
State Senator,Crosby,R,Wilcox,0,District 13
State Senator,Hudgins,R,Wilcox,0,District 13
State Senator,Roberts,R,Wilcox,0,District 13
State Senator,Simpson,R,Wilcox,2,District 13
State Senator,Usry,R,Wilcox,0,District 13
State Senator,Totals,R,Wilcox,2,District 13
State Senator,Crosby,R,Worth,90,District 13
State Senator,Hudgins,R,Worth,62,District 13
State Senator,Roberts,R,Worth,56,District 13
State Senator,Simpson,R,Worth,94,District 13
State Senator,Usry,R,Worth,8,District 13
State Senator,Totals,R,Worth,310,District 13
