office,candidate,party,county,votes,district
State Representative,Dawkins-Haigler,R,Dekalb,115,District 93
State Representative,Douglas,R,Dekalb,83,District 93
State Representative,Odenigbo,R,Dekalb,82,District 93
State Representative,Sendelbach,R,Dekalb,10,District 93
State Representative,Waites,R,Dekalb,26,District 93
State Representative,Sagers,R,Dekalb,21,District 93
State Representative,Totals,R,Dekalb,337,District 93
State Representative,Dawkins-Haigler,R,Rockdale,49,District 93
State Representative,Douglas,R,Rockdale,16,District 93
State Representative,Odenigbo,R,Rockdale,10,District 93
State Representative,Sendelbach,R,Rockdale,62,District 93
State Representative,Waites,R,Rockdale,70,District 93
State Representative,Sagers,R,Rockdale,6,District 93
State Representative,Totals,R,Rockdale,213,District 93
