office,candidate,party,county,votes,district
United States Senator,Chambliss,R,Appling,2635,Chambliss
United States Senator,Martin,D,Appling,1020,Chambliss
United States Senator,Totals,Total,Appling,3655,Chambliss
United States Senator,Chambliss,R,Atkinson,847,Chambliss
United States Senator,Martin,D,Atkinson,429,Chambliss
United States Senator,Totals,Total,Atkinson,1276,Chambliss
United States Senator,Chambliss,R,Bacon,1402,Chambliss
United States Senator,Martin,D,Bacon,358,Chambliss
United States Senator,Totals,Total,Bacon,1760,Chambliss
United States Senator,Chambliss,R,Baker,455,Chambliss
United States Senator,Martin,D,Baker,474,Chambliss
United States Senator,Totals,Total,Baker,929,Chambliss
United States Senator,Chambliss,R,Baldwin,4452,Chambliss
United States Senator,Martin,D,Baldwin,4483,Chambliss
United States Senator,Totals,Total,Baldwin,8935,Chambliss
United States Senator,Chambliss,R,Banks,2966,Chambliss
United States Senator,Martin,D,Banks,599,Chambliss
United States Senator,Totals,Total,Banks,3565,Chambliss
United States Senator,Chambliss,R,Barrow,10035,Chambliss
United States Senator,Martin,D,Barrow,2851,Chambliss
United States Senator,Totals,Total,Barrow,12886,Chambliss
United States Senator,Chambliss,R,Bartow,13807,Chambliss
United States Senator,Martin,D,Bartow,4427,Chambliss
United States Senator,Totals,Total,Bartow,18234,Chambliss
United States Senator,Chambliss,R,Ben hill,1694,Chambliss
United States Senator,Martin,D,Ben hill,1327,Chambliss
United States Senator,Totals,Total,Ben hill,3021,Chambliss
United States Senator,Chambliss,R,Berrien,2398,Chambliss
United States Senator,Martin,D,Berrien,859,Chambliss
United States Senator,Totals,Total,Berrien,3257,Chambliss
United States Senator,Chambliss,R,Bibb,17036,Chambliss
United States Senator,Martin,D,Bibb,18887,Chambliss
United States Senator,Totals,Total,Bibb,35923,Chambliss
United States Senator,Chambliss,R,Bleckley,2089,Chambliss
United States Senator,Martin,D,Bleckley,729,Chambliss
United States Senator,Totals,Total,Bleckley,2818,Chambliss
United States Senator,Chambliss,R,Brantley,2160,Chambliss
United States Senator,Martin,D,Brantley,448,Chambliss
United States Senator,Totals,Total,Brantley,2608,Chambliss
United States Senator,Chambliss,R,Brooks,1992,Chambliss
United States Senator,Martin,D,Brooks,1268,Chambliss
United States Senator,Totals,Total,Brooks,3260,Chambliss
United States Senator,Chambliss,R,Bryan,4580,Chambliss
United States Senator,Martin,D,Bryan,1647,Chambliss
United States Senator,Totals,Total,Bryan,6227,Chambliss
United States Senator,Chambliss,R,Bulloch,7555,Chambliss
United States Senator,Martin,D,Bulloch,3850,Chambliss
United States Senator,Totals,Total,Bulloch,11405,Chambliss
United States Senator,Chambliss,R,Burke,2532,Chambliss
United States Senator,Martin,D,Burke,2533,Chambliss
United States Senator,Totals,Total,Burke,5065,Chambliss
United States Senator,Chambliss,R,Butts,3448,Chambliss
United States Senator,Martin,D,Butts,1624,Chambliss
United States Senator,Totals,Total,Butts,5072,Chambliss
United States Senator,Chambliss,R,Calhoun,540,Chambliss
United States Senator,Martin,D,Calhoun,724,Chambliss
United States Senator,Totals,Total,Calhoun,1264,Chambliss
United States Senator,Chambliss,R,Camden,4848,Chambliss
United States Senator,Martin,D,Camden,2049,Chambliss
United States Senator,Totals,Total,Camden,6897,Chambliss
United States Senator,Chambliss,R,Candler,1166,Chambliss
United States Senator,Martin,D,Candler,615,Chambliss
United States Senator,Totals,Total,Candler,1781,Chambliss
United States Senator,Chambliss,R,Carroll,16451,Chambliss
