county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Union,Blairsville,U.S. Senate,,Rep,Herschel Walker,1072,43,497,0,532
Union,Coosa,U.S. Senate,,Rep,Herschel Walker,1204,41,661,0,502
Union,Choestoe,U.S. Senate,,Rep,Herschel Walker,779,43,518,0,218
Union,Jones Creek,U.S. Senate,,Rep,Herschel Walker,1083,34,680,0,369
Union,Owltown,U.S. Senate,,Rep,Herschel Walker,782,33,419,0,330
Union,Ivy Log,U.S. Senate,,Rep,Herschel Walker,1183,56,674,0,453
Union,Suches,U.S. Senate,,Rep,Herschel Walker,310,13,255,0,42
Union,Trackrock,U.S. Senate,,Rep,Herschel Walker,581,24,316,0,241
Union,Dooley,U.S. Senate,,Rep,Herschel Walker,827,22,527,0,278
Union,Gumlog,U.S. Senate,,Rep,Herschel Walker,1125,38,631,0,456
Union,Pat Colwell,U.S. Senate,,Rep,Herschel Walker,1268,73,667,1,527
Union,Blairsville,U.S. Senate,,(Dem,Raphael Warnock ,328,54,86,0,188
Union,Coosa,U.S. Senate,,(Dem,Raphael Warnock ,204,28,70,0,106
Union,Choestoe,U.S. Senate,,(Dem,Raphael Warnock ,177,27,69,0,81
Union,Jones Creek,U.S. Senate,,(Dem,Raphael Warnock ,250,38,94,0,118
Union,Owltown,U.S. Senate,,(Dem,Raphael Warnock ,226,26,87,0,113
Union,Ivy Log,U.S. Senate,,(Dem,Raphael Warnock ,229,25,91,0,113
Union,Suches,U.S. Senate,,(Dem,Raphael Warnock ,74,12,47,0,15
Union,Trackrock,U.S. Senate,,(Dem,Raphael Warnock ,147,23,49,0,75
Union,Dooley,U.S. Senate,,(Dem,Raphael Warnock ,232,22,105,0,105
Union,Gumlog,U.S. Senate,,(Dem,Raphael Warnock ,236,32,63,0,141
Union,Pat Colwell,U.S. Senate,,(Dem,Raphael Warnock ,323,30,96,0,197
