county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Crisp,Arabi,U.S. Senate,,Rep,Herschel Walker,348,146,15,0,187
Crisp,Coney,U.S. Senate,,Rep,Herschel Walker,573,301,20,0,252
Crisp,Cordele,U.S. Senate,,Rep,Herschel Walker,1918,1334,124,1,459
Crisp,Jamestown,U.S. Senate,,Rep,Herschel Walker,757,422,22,0,313
Crisp,Listonia,U.S. Senate,,Rep,Herschel Walker,462,241,14,0,207
Crisp,Arabi,U.S. Senate,,Dem,Raphael Warnock ,86,33,7,0,46
Crisp,Coney,U.S. Senate,,Dem,Raphael Warnock ,87,47,8,0,32
Crisp,Cordele,U.S. Senate,,Dem,Raphael Warnock ,1873,1111,180,0,582
Crisp,Jamestown,U.S. Senate,,Dem,Raphael Warnock ,85,58,6,0,21
Crisp,Listonia,U.S. Senate,,Dem,Raphael Warnock ,33,14,4,0,15
Crisp,Arabi,U.S. Senate,,Lib,Chase Oliver,7,1,0,0,6
Crisp,Coney,U.S. Senate,,Lib,Chase Oliver,11,6,1,0,4
Crisp,Cordele,U.S. Senate,,Lib,Chase Oliver,51,30,2,0,19
Crisp,Jamestown,U.S. Senate,,Lib,Chase Oliver,9,3,0,0,6
Crisp,Listonia,U.S. Senate,,Lib,Chase Oliver,6,2,0,0,4
Crisp,Arabi,Governor,,Rep,Brian Kemp ,370,151,17,0,202
Crisp,Coney,Governor,,Rep,Brian Kemp ,603,320,22,0,261
Crisp,Cordele,Governor,,Rep,Brian Kemp ,2061,1414,142,1,504
Crisp,Jamestown,Governor,,Rep,Brian Kemp ,783,433,23,0,327
Crisp,Listonia,Governor,,Rep,Brian Kemp ,479,248,16,0,215
Crisp,Arabi,Governor,,Dem,Stacey Abrams,72,29,5,0,38
Crisp,Coney,Governor,,Dem,Stacey Abrams,65,34,6,0,25
Crisp,Cordele,Governor,,Dem,Stacey Abrams,1792,1065,166,0,561
Crisp,Jamestown,Governor,,Dem,Stacey Abrams,63,44,5,0,14
Crisp,Listonia,Governor,,Dem,Stacey Abrams,21,9,2,0,10
Crisp,Arabi,Governor,,Lib,Shane Hazel,1,0,0,0,1
Crisp,Coney,Governor,,Lib,Shane Hazel,3,0,1,0,2
Crisp,Cordele,Governor,,Lib,Shane Hazel,7,5,0,0,2
Crisp,Jamestown,Governor,,Lib,Shane Hazel,2,2,0,0,0
Crisp,Listonia,Governor,,Lib,Shane Hazel,0,0,0,0,0
Crisp,Arabi,Lieutenant Governor,,Rep,Burt Jones,364,149,16,0,199
Crisp,Coney,Lieutenant Governor,,Rep,Burt Jones,581,309,21,0,251
Crisp,Cordele,Lieutenant Governor,,Rep,Burt Jones,1994,1382,132,1,479
Crisp,Jamestown,Lieutenant Governor,,Rep,Burt Jones,773,429,23,0,321
Crisp,Listonia,Lieutenant Governor,,Rep,Burt Jones,470,243,14,0,213
Crisp,Arabi,Lieutenant Governor,,Dem,Charlie Bailey,70,28,4,0,38
Crisp,Coney,Lieutenant Governor,,Dem,Charlie Bailey,71,39,7,0,25
Crisp,Cordele,Lieutenant Governor,,Dem,Charlie Bailey,1719,1010,172,0,537
Crisp,Jamestown,Lieutenant Governor,,Dem,Charlie Bailey,70,48,5,0,17
Crisp,Listonia,Lieutenant Governor,,Dem,Charlie Bailey,27,12,3,0,12
Crisp,Arabi,Lieutenant Governor,,Lib,Ryan Graham,2,0,0,0,2
Crisp,Coney,Lieutenant Governor,,Lib,Ryan Graham,9,4,0,0,5
Crisp,Cordele,Lieutenant Governor,,Lib,Ryan Graham,47,22,3,0,22
Crisp,Jamestown,Lieutenant Governor,,Lib,Ryan Graham,3,1,0,0,2
Crisp,Listonia,Lieutenant Governor,,Lib,Ryan Graham,0,0,0,0,0
Crisp,Arabi,Secretary of State,,Rep,Brad Raffensperger ,356,144,15,0,197
