county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Polk,Aragon,U.S. Senate,,Rep,Herschel Walker,1365,22,653,8,682
Polk,Blooming Grove,U.S. Senate,,Rep,Herschel Walker,687,21,385,0,281
Polk,Cedartown,U.S. Senate,,Rep,Herschel Walker,1833,95,660,0,1078
Polk,Fish Creek,U.S. Senate,,Rep,Herschel Walker,1157,19,610,0,528
Polk,Lake Creek,U.S. Senate,,Rep,Herschel Walker,1340,29,668,0,643
Polk,Rockmart,U.S. Senate,,Rep,Herschel Walker,2204,49,878,1,1276
Polk,Youngs Grove,U.S. Senate,,Rep,Herschel Walker,920,31,484,0,405
Polk,Aragon,U.S. Senate,,(Dem,Raphael Warnock ,248,11,92,1,144
Polk,Blooming Grove,U.S. Senate,,(Dem,Raphael Warnock ,126,6,37,0,83
Polk,Cedartown,U.S. Senate,,(Dem,Raphael Warnock ,845,81,266,0,498
Polk,Fish Creek,U.S. Senate,,(Dem,Raphael Warnock ,202,17,65,0,120
Polk,Lake Creek,U.S. Senate,,(Dem,Raphael Warnock ,217,11,91,0,115
Polk,Rockmart,U.S. Senate,,(Dem,Raphael Warnock ,717,34,200,0,483
Polk,Youngs Grove,U.S. Senate,,(Dem,Raphael Warnock ,116,13,45,0,58
Polk,Aragon,Probate Judge,,,"Robert """"Bobby"""" Brooks",816,17,381,7,411
Polk,Blooming Grove,Probate Judge,,,"Robert """"Bobby"""" Brooks",408,9,232,0,167
Polk,Cedartown,Probate Judge,,,"Robert """"Bobby"""" Brooks",1277,83,427,0,767
Polk,Fish Creek,Probate Judge,,,"Robert """"Bobby"""" Brooks",673,13,369,0,291
Polk,Lake Creek,Probate Judge,,,"Robert """"Bobby"""" Brooks",694,19,341,0,334
Polk,Rockmart,Probate Judge,,,"Robert """"Bobby"""" Brooks",1457,36,564,1,856
Polk,Youngs Grove,Probate Judge,,,"Robert """"Bobby"""" Brooks",518,15,260,0,243
Polk,Aragon,Probate Judge,,,Shayne Green ,699,15,323,2,359
Polk,Blooming Grove,Probate Judge,,,Shayne Green ,381,18,182,0,181
Polk,Cedartown,Probate Judge,,,Shayne Green ,1303,86,463,0,754
Polk,Fish Creek,Probate Judge,,,Shayne Green ,625,17,282,0,326
Polk,Lake Creek,Probate Judge,,,Shayne Green ,815,18,394,0,403
Polk,Rockmart,Probate Judge,,,Shayne Green ,1262,32,435,0,795
Polk,Youngs Grove,Probate Judge,,,Shayne Green ,482,28,246,0,208
