county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Cobb,Acworth 1A,U.S. Senate,,Rep,Herschel Walker,1295,63,480,2,750
Cobb,Acworth 1B,U.S. Senate,,Rep,Herschel Walker,1292,51,531,1,709
Cobb,Acworth 1C,U.S. Senate,,Rep,Herschel Walker,665,17,278,1,369
Cobb,Addison 01,U.S. Senate,,Rep,Herschel Walker,634,43,307,0,284
Cobb,Austell 1A,U.S. Senate,,Rep,Herschel Walker,228,10,72,2,144
Cobb,Austell 1B,U.S. Senate,,Rep,Herschel Walker,122,2,41,0,79
Cobb,Baker 01,U.S. Senate,,Rep,Herschel Walker,760,25,405,0,330
Cobb,Bells Ferry 02,U.S. Senate,,Rep,Herschel Walker,720,36,426,3,255
Cobb,Bells Ferry 03,U.S. Senate,,Rep,Herschel Walker,470,28,285,0,157
Cobb,Bells Ferry 04,U.S. Senate,,Rep,Herschel Walker,941,40,567,0,334
Cobb,Big Shanty 01,U.S. Senate,,Rep,Herschel Walker,577,39,282,0,256
Cobb,Big Shanty 02,U.S. Senate,,Rep,Herschel Walker,804,29,428,0,347
Cobb,Birney 01,U.S. Senate,,Rep,Herschel Walker,377,29,196,1,151
Cobb,Birney 02,U.S. Senate,,Rep,Herschel Walker,553,40,255,0,258
Cobb,Bryant 01,U.S. Senate,,Rep,Herschel Walker,45,4,23,0,18
Cobb,Bryant 02,U.S. Senate,,Rep,Herschel Walker,97,7,43,0,47
Cobb,Blackwell 01,U.S. Senate,,Rep,Herschel Walker,594,29,343,0,222
Cobb,Chattahoochee 01,U.S. Senate,,Rep,Herschel Walker,510,15,294,1,200
Cobb,Cheatham Hill 02,U.S. Senate,,Rep,Herschel Walker,1077,55,510,0,512
Cobb,Cheatham Hill 03,U.S. Senate,,Rep,Herschel Walker,1190,78,555,0,557
Cobb,Chalker 01,U.S. Senate,,Rep,Herschel Walker,837,69,378,1,389
Cobb,Clarkdale 01,U.S. Senate,,Rep,Herschel Walker,286,18,134,2,132
Cobb,Clarkdale 02,U.S. Senate,,Rep,Herschel Walker,638,35,276,0,327
Cobb,Cooper 01,U.S. Senate,,Rep,Herschel Walker,386,27,151,1,207
Cobb,Chestnut Ridge 01,U.S. Senate,,Rep,Herschel Walker,1060,66,621,0,373
Cobb,Dickerson 01,U.S. Senate,,Rep,Herschel Walker,912,82,545,1,284
Cobb,Dobbins 01,U.S. Senate,,Rep,Herschel Walker,191,12,106,0,73
Cobb,Dobbins 02,U.S. Senate,,Rep,Herschel Walker,290,8,167,1,114
Cobb,Dowell 01,U.S. Senate,,Rep,Herschel Walker,759,22,372,0,365
Cobb,Dodgen 01,U.S. Senate,,Rep,Herschel Walker,683,44,436,1,202
Cobb,Durham 01,U.S. Senate,,Rep,Herschel Walker,1695,66,567,0,1062
Cobb,Davis 01,U.S. Senate,,Rep,Herschel Walker,565,16,370,1,178
Cobb,Eastside 01,U.S. Senate,,Rep,Herschel Walker,961,57,573,1,330
