county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Habersham,Habersham North,U.S. Senate,,Rep,Herschel Walker,4608,181,1263,6,3158
Habersham,Habersham South,U.S. Senate,,Rep,Herschel Walker,2587,154,978,0,1455
Habersham,Demorest,U.S. Senate,,Rep,Herschel Walker,2326,92,725,0,1509
Habersham,Town of Mount Airy,U.S. Senate,,Rep,Herschel Walker,295,13,176,0,106
Habersham,Mud Creek,U.S. Senate,,Rep,Herschel Walker,2013,87,947,0,979
Habersham,Amys Creek,U.S. Senate,,Rep,Herschel Walker,839,36,372,0,431
Habersham,Habersham North,U.S. Senate,,(Dem,Raphael Warnock ,974,105,175,0,694
Habersham,Habersham South,U.S. Senate,,(Dem,Raphael Warnock ,717,76,256,0,385
Habersham,Demorest,U.S. Senate,,(Dem,Raphael Warnock ,389,40,94,1,254
Habersham,Town of Mount Airy,U.S. Senate,,(Dem,Raphael Warnock ,75,7,29,0,39
Habersham,Mud Creek,U.S. Senate,,(Dem,Raphael Warnock ,337,45,69,0,223
Habersham,Amys Creek,U.S. Senate,,(Dem,Raphael Warnock ,223,30,59,0,134
