county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Monroe,Bentons,U.S. Senate,,Rep,Herschel Walker,1166,32,598,1,535
Monroe,Brantleys,U.S. Senate,,Rep,Herschel Walker,620,11,315,0,294
Monroe,Burgays,U.S. Senate,,Rep,Herschel Walker,1302,40,754,1,507
Monroe,Cabaniss,U.S. Senate,,Rep,Herschel Walker,320,6,191,0,123
Monroe,Cox,U.S. Senate,,Rep,Herschel Walker,401,5,235,0,161
Monroe,Culloden,U.S. Senate,,Rep,Herschel Walker,187,6,133,0,48
Monroe,Dillards,U.S. Senate,,Rep,Herschel Walker,486,7,230,0,249
Monroe,Evers,U.S. Senate,,Rep,Herschel Walker,1018,20,471,0,527
Monroe,Forsyth,U.S. Senate,,Rep,Herschel Walker,1059,41,384,0,634
Monroe,High Falls,U.S. Senate,,Rep,Herschel Walker,817,12,484,0,321
Monroe,Kelseys,U.S. Senate,,Rep,Herschel Walker,239,4,162,0,73
Monroe,Middlebrooks,U.S. Senate,,Rep,Herschel Walker,644,12,277,0,355
Monroe,Proctors,U.S. Senate,,Rep,Herschel Walker,506,2,315,0,189
Monroe,Russellville,U.S. Senate,,Rep,Herschel Walker,253,2,171,0,80
Monroe,Bentons,U.S. Senate,,(Dem,Raphael Warnock ,353,36,121,0,196
Monroe,Brantleys,U.S. Senate,,(Dem,Raphael Warnock ,121,4,57,0,60
Monroe,Burgays,U.S. Senate,,(Dem,Raphael Warnock ,319,32,125,0,162
Monroe,Cabaniss,U.S. Senate,,(Dem,Raphael Warnock ,126,10,59,0,57
Monroe,Cox,U.S. Senate,,(Dem,Raphael Warnock ,92,14,32,0,46
Monroe,Culloden,U.S. Senate,,(Dem,Raphael Warnock ,92,9,65,0,18
Monroe,Dillards,U.S. Senate,,(Dem,Raphael Warnock ,105,6,42,0,57
Monroe,Evers,U.S. Senate,,(Dem,Raphael Warnock ,291,18,102,0,171
Monroe,Forsyth,U.S. Senate,,(Dem,Raphael Warnock ,1353,175,315,0,863
Monroe,High Falls,U.S. Senate,,(Dem,Raphael Warnock ,185,6,64,0,115
Monroe,Kelseys,U.S. Senate,,(Dem,Raphael Warnock ,212,24,91,0,97
Monroe,Middlebrooks,U.S. Senate,,(Dem,Raphael Warnock ,131,3,40,0,88
Monroe,Proctors,U.S. Senate,,(Dem,Raphael Warnock ,177,9,99,0,69
Monroe,Russellville,U.S. Senate,,(Dem,Raphael Warnock ,52,4,29,0,19
