county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Morgan,Rec Dept,U.S. Senate,,Rep,Herschel Walker,601,19,179,0,403
Morgan,Centennial,U.S. Senate,,Rep,Herschel Walker,1537,32,793,0,712
Morgan,Gibbs,U.S. Senate,,Rep,Herschel Walker,1541,42,797,0,702
Morgan,DFACS,U.S. Senate,,Rep,Herschel Walker,1550,44,543,5,958
Morgan,Buckhead,U.S. Senate,,Rep,Herschel Walker,1622,49,813,0,760
Morgan,Rec Dept,U.S. Senate,,(Dem,Raphael Warnock ,968,64,271,0,633
Morgan,Centennial,U.S. Senate,,(Dem,Raphael Warnock ,346,18,131,0,197
Morgan,Gibbs,U.S. Senate,,(Dem,Raphael Warnock ,420,22,152,0,246
Morgan,DFACS,U.S. Senate,,(Dem,Raphael Warnock ,455,44,118,0,293
Morgan,Buckhead,U.S. Senate,,(Dem,Raphael Warnock ,462,54,125,0,283
