county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Toombs,15361 Lyons,U.S. Senate,,Rep,Herschel Walker,1177,51,513,0,613
Toombs,39 Newbranch,U.S. Senate,,Rep,Herschel Walker,738,15,437,2,284
Toombs,43 Cedar Crossing,U.S. Senate,,Rep,Herschel Walker,716,21,467,0,228
Toombs,513 VPD,U.S. Senate,,Rep,Herschel Walker,1987,93,843,1,1050
Toombs,514 STIALC,U.S. Senate,,Rep,Herschel Walker,1162,58,501,0,603
Toombs,15361 Lyons,U.S. Senate,,(Dem,Raphael Warnock ,390,38,142,0,210
Toombs,39 Newbranch,U.S. Senate,,(Dem,Raphael Warnock ,83,27,30,0,26
Toombs,43 Cedar Crossing,U.S. Senate,,(Dem,Raphael Warnock ,38,0,23,0,15
Toombs,513 VPD,U.S. Senate,,(Dem,Raphael Warnock ,851,79,333,1,438
Toombs,514 STIALC,U.S. Senate,,(Dem,Raphael Warnock ,610,79,251,0,280
