county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Wilkinson,Bloodworth,U.S. Senate,,Rep,Herschel Walker,258,6,213,0,39
Wilkinson,Griffin,U.S. Senate,,Rep,Herschel Walker,103,1,87,0,15
Wilkinson,High Hill,U.S. Senate,,Rep,Herschel Walker,96,1,81,0,14
Wilkinson,Irwinton,U.S. Senate,,Rep,Herschel Walker,224,1,117,0,106
Wilkinson,Ivey,U.S. Senate,,Rep,Herschel Walker,394,3,317,0,74
Wilkinson,Lord,U.S. Senate,,Rep,Herschel Walker,248,7,171,0,70
Wilkinson,Midway,U.S. Senate,,Rep,Herschel Walker,95,1,55,0,39
Wilkinson,Ramah,U.S. Senate,,Rep,Herschel Walker,475,17,353,0,105
Wilkinson,Turkey Creek,U.S. Senate,,Rep,Herschel Walker,212,2,182,0,28
Wilkinson,Bloodworth,U.S. Senate,,(Dem,Raphael Warnock ,22,1,9,0,12
Wilkinson,Griffin,U.S. Senate,,(Dem,Raphael Warnock ,27,2,19,0,6
Wilkinson,High Hill,U.S. Senate,,(Dem,Raphael Warnock ,26,0,13,0,13
Wilkinson,Irwinton,U.S. Senate,,(Dem,Raphael Warnock ,301,36,112,0,153
Wilkinson,Ivey,U.S. Senate,,(Dem,Raphael Warnock ,68,4,45,0,19
Wilkinson,Lord,U.S. Senate,,(Dem,Raphael Warnock ,197,22,104,0,71
Wilkinson,Midway,U.S. Senate,,(Dem,Raphael Warnock ,436,44,176,0,216
Wilkinson,Ramah,U.S. Senate,,(Dem,Raphael Warnock ,519,39,282,0,198
Wilkinson,Turkey Creek,U.S. Senate,,(Dem,Raphael Warnock ,82,6,58,0,18
