county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Clay,Bluffton,U.S. Senate,,Rep,Herschel Walker,126,7,60,0,59
Clay,Zetto ,U.S. Senate,,Rep,Herschel Walker,65,7,29,0,29
Clay,Court House,U.S. Senate,,Rep,Herschel Walker,40,0,17,0,23
Clay,Old Head Start,U.S. Senate,,Rep,Herschel Walker,92,5,29,0,58
Clay,Days Cross Road,U.S. Senate,,Rep,Herschel Walker,162,3,43,0,116
Clay,Bluffton,U.S. Senate,,(Dem,Raphael Warnock ,66,6,29,0,31
Clay,Zetto ,U.S. Senate,,(Dem,Raphael Warnock ,95,9,36,0,50
Clay,Court House,U.S. Senate,,(Dem,Raphael Warnock ,138,15,63,1,59
Clay,Old Head Start,U.S. Senate,,(Dem,Raphael Warnock ,116,22,33,0,61
Clay,Days Cross Road,U.S. Senate,,(Dem,Raphael Warnock ,121,6,50,0,65
