county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Gilmer,Ellijay South,U.S. Senate,,Rep,Herschel Walker,1301,57,571,2,671
Gilmer,Cartecay,U.S. Senate,,Rep,Herschel Walker,851,30,530,1,290
Gilmer,Tails Creek,U.S. Senate,,Rep,Herschel Walker,775,23,514,1,237
Gilmer,Town Creek,U.S. Senate,,Rep,Herschel Walker,553,18,380,1,154
Gilmer,Leaches,U.S. Senate,,Rep,Herschel Walker,1287,56,697,2,532
Gilmer,Cherry Log,U.S. Senate,,Rep,Herschel Walker,434,13,274,0,147
Gilmer,Boardtown,U.S. Senate,,Rep,Herschel Walker,798,29,430,2,337
Gilmer,Mountaintown,U.S. Senate,,Rep,Herschel Walker,549,18,370,0,161
Gilmer,East Ellijay,U.S. Senate,,Rep,Herschel Walker,829,44,397,0,388
Gilmer,Ellijay North,U.S. Senate,,Rep,Herschel Walker,754,43,380,1,330
Gilmer,Yukon,U.S. Senate,,Rep,Herschel Walker,656,19,440,2,195
Gilmer,Roy Road,U.S. Senate,,Rep,Herschel Walker,723,14,432,0,277
Gilmer,Ellijay Northeast,U.S. Senate,,Rep,Herschel Walker,881,59,418,1,403
Gilmer,Ellijay South,U.S. Senate,,(Dem,Raphael Warnock ,351,53,102,0,196
Gilmer,Cartecay,U.S. Senate,,(Dem,Raphael Warnock ,142,17,48,0,77
Gilmer,Tails Creek,U.S. Senate,,(Dem,Raphael Warnock ,123,14,62,0,47
Gilmer,Town Creek,U.S. Senate,,(Dem,Raphael Warnock ,91,10,44,0,37
Gilmer,Leaches,U.S. Senate,,(Dem,Raphael Warnock ,319,36,88,0,195
Gilmer,Cherry Log,U.S. Senate,,(Dem,Raphael Warnock ,148,17,72,0,59
Gilmer,Boardtown,U.S. Senate,,(Dem,Raphael Warnock ,183,26,63,0,94
Gilmer,Mountaintown,U.S. Senate,,(Dem,Raphael Warnock ,134,18,60,0,56
Gilmer,East Ellijay,U.S. Senate,,(Dem,Raphael Warnock ,171,23,53,0,95
Gilmer,Ellijay North,U.S. Senate,,(Dem,Raphael Warnock ,157,21,54,0,82
Gilmer,Yukon,U.S. Senate,,(Dem,Raphael Warnock ,121,12,46,0,63
Gilmer,Roy Road,U.S. Senate,,(Dem,Raphael Warnock ,169,21,56,0,92
Gilmer,Ellijay Northeast,U.S. Senate,,(Dem,Raphael Warnock ,243,34,65,0,144
