county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Early,Arlington ,U.S. Senate,,Rep,Herschel Walker,215,12,126,0,77
Early,Blakely,U.S. Senate,,Rep,Herschel Walker,576,21,192,1,362
Early,Cedar Springs ,U.S. Senate,,Rep,Herschel Walker,480,7,314,0,159
Early,Cuba,U.S. Senate,,Rep,Herschel Walker,415,11,220,0,184
Early,Urquhart,U.S. Senate,,Rep,Herschel Walker,324,16,173,0,135
Early,Arlington ,U.S. Senate,,(Dem,Raphael Warnock ,271,17,165,0,89
Early,Blakely,U.S. Senate,,(Dem,Raphael Warnock ,914,72,411,1,430
Early,Cedar Springs ,U.S. Senate,,(Dem,Raphael Warnock ,129,15,69,0,45
Early,Cuba,U.S. Senate,,(Dem,Raphael Warnock ,253,32,78,0,143
Early,Urquhart,U.S. Senate,,(Dem,Raphael Warnock ,86,6,28,1,51
