county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Franklin,Carnesville,U.S. Senate,,Rep,Herschel Walker,1255,40,579,0,636
Franklin,West Franklin,U.S. Senate,,Rep,Herschel Walker,827,21,441,0,365
Franklin,Northeast Franklin,U.S. Senate,,Rep,Herschel Walker,1339,66,722,0,551
Franklin,Lavonia,U.S. Senate,,Rep,Herschel Walker,882,22,508,1,351
Franklin,Canon,U.S. Senate,,Rep,Herschel Walker,592,14,360,0,218
Franklin,Royston,U.S. Senate,,Rep,Herschel Walker,796,34,444,0,318
Franklin,Southwest Franklin,U.S. Senate,,Rep,Herschel Walker,1235,43,688,0,504
Franklin,Carnesville,U.S. Senate,,(Dem,Raphael Warnock ,132,7,53,0,72
Franklin,West Franklin,U.S. Senate,,(Dem,Raphael Warnock ,80,7,30,0,43
Franklin,Northeast Franklin,U.S. Senate,,(Dem,Raphael Warnock ,233,23,93,0,117
Franklin,Lavonia,U.S. Senate,,(Dem,Raphael Warnock ,245,21,119,1,104
Franklin,Canon,U.S. Senate,,(Dem,Raphael Warnock ,70,7,28,0,35
Franklin,Royston,U.S. Senate,,(Dem,Raphael Warnock ,187,22,85,0,80
Franklin,Southwest Franklin,U.S. Senate,,(Dem,Raphael Warnock ,130,12,32,0,86
