county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Chatham,1-01C First Presbyterian Church,U.S. Senate,,Rep,Herschel Walker,674,37,501,0,136
Chatham,1-05C JEA Building,U.S. Senate,,Rep,Herschel Walker,421,25,321,0,75
Chatham,1-06C Central Church of Christ,U.S. Senate,,Rep,Herschel Walker,590,37,442,1,110
Chatham,1-08C Grace United Methodist Church,U.S. Senate,,Rep,Herschel Walker,458,18,380,0,60
Chatham,1-09C Immanuel Baptist Church,U.S. Senate,,Rep,Herschel Walker,213,12,156,0,45
Chatham,1-10C St Thomas Episcopal Church,U.S. Senate,,Rep,Herschel Walker,508,19,442,0,47
Chatham,1-12C Isle of Hope Baptist,U.S. Senate,,Rep,Herschel Walker,841,31,673,0,137
Chatham,1-13C The Sanctuary,U.S. Senate,,Rep,Herschel Walker,411,14,317,0,80
Chatham,1-14C St. Luke United Methodist Church,U.S. Senate,,Rep,Herschel Walker,620,43,425,0,152
Chatham,1-16C Ferguson Ave Baptist,U.S. Senate,,Rep,Herschel Walker,1184,34,946,0,204
Chatham,1-17C Islands Christian Church,U.S. Senate,,Rep,Herschel Walker,1272,60,827,2,383
Chatham,2-02C River Pointe,U.S. Senate,,Rep,Herschel Walker,100,7,51,0,42
Chatham,2-03C W W Law Center,U.S. Senate,,Rep,Herschel Walker,73,2,50,0,21
Chatham,2-04C Fellowship of Love Church,U.S. Senate,,Rep,Herschel Walker,51,1,37,0,13
Chatham,2-05C Holy Spirit Lutheran Church,U.S. Senate,,Rep,Herschel Walker,87,4,58,1,24
Chatham,2-06C Eli Whitney Complex,U.S. Senate,,Rep,Herschel Walker,264,16,161,0,87
Chatham,2-07C Christ Community Church,U.S. Senate,,Rep,Herschel Walker,152,12,107,0,33
Chatham,2-09C Salvation Army,U.S. Senate,,Rep,Herschel Walker,164,6,130,0,28
Chatham,2-11C Oasis of Hope,U.S. Senate,,Rep,Herschel Walker,79,4,47,0,28
Chatham,2-12C Williams Court Apts,U.S. Senate,,Rep,Herschel Walker,70,0,62,0,8
Chatham,3-02C Temple Mickve Israel,U.S. Senate,,Rep,Herschel Walker,293,18,173,1,101
Chatham,3-03C Savannah High School,U.S. Senate,,Rep,Herschel Walker,39,1,26,1,11
Chatham,3-04C First African Baptist Church,U.S. Senate,,Rep,Herschel Walker,24,0,12,0,12
Chatham,3-05C New Generations Cathedral,U.S. Senate,,Rep,Herschel Walker,172,9,135,1,27
