county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Crawford,District 1,U.S. Senate,,Rep,Herschel Walker,404,261,21,1,121
Crawford,District 2,U.S. Senate,,Rep,Herschel Walker,679,369,22,0,288
Crawford,District 3,U.S. Senate,,Rep,Herschel Walker,720,395,21,0,304
Crawford,District 4,U.S. Senate,,Rep,Herschel Walker,908,382,34,1,491
Crawford,District 5,U.S. Senate,,Rep,Herschel Walker,729,270,18,0,441
Crawford,District 1,U.S. Senate,,Dem,Raphael Warnock ,542,346,69,1,126
Crawford,District 2,U.S. Senate,,Dem,Raphael Warnock ,338,212,45,1,80
Crawford,District 3,U.S. Senate,,Dem,Raphael Warnock ,117,78,10,1,28
Crawford,District 4,U.S. Senate,,Dem,Raphael Warnock ,161,89,17,0,55
Crawford,District 5,U.S. Senate,,Dem,Raphael Warnock ,140,76,11,0,53
Crawford,District 1,U.S. Senate,,Lib,Chase Oliver,14,9,1,0,4
Crawford,District 2,U.S. Senate,,Lib,Chase Oliver,14,8,1,0,5
Crawford,District 3,U.S. Senate,,Lib,Chase Oliver,19,3,3,0,13
Crawford,District 4,U.S. Senate,,Lib,Chase Oliver,17,6,1,0,10
Crawford,District 5,U.S. Senate,,Lib,Chase Oliver,14,5,0,0,9
Crawford,District 1,Governor,,Rep,Brian Kemp ,439,284,21,1,133
Crawford,District 2,Governor,,Rep,Brian Kemp ,721,392,29,0,300
Crawford,District 3,Governor,,Rep,Brian Kemp ,759,411,26,0,322
Crawford,District 4,Governor,,Rep,Brian Kemp ,942,394,38,1,509
Crawford,District 5,Governor,,Rep,Brian Kemp ,772,293,22,0,457
Crawford,District 1,Governor,,Dem,Stacey Abrams,519,334,69,1,115
Crawford,District 2,Governor,,Dem,Stacey Abrams,307,196,39,1,71
Crawford,District 3,Governor,,Dem,Stacey Abrams,98,66,8,1,23
Crawford,District 4,Governor,,Dem,Stacey Abrams,138,82,14,0,42
Crawford,District 5,Governor,,Dem,Stacey Abrams,109,58,7,0,44
Crawford,District 1,Governor,,Lib,Shane Hazel,5,1,1,0,3
Crawford,District 2,Governor,,Lib,Shane Hazel,8,3,0,0,5
Crawford,District 3,Governor,,Lib,Shane Hazel,5,2,0,0,3
Crawford,District 4,Governor,,Lib,Shane Hazel,8,3,0,0,5
Crawford,District 5,Governor,,Lib,Shane Hazel,5,1,0,0,4
Crawford,District 1,Lieutenant Governor,,Rep,Burt Jones,427,279,22,1,125
Crawford,District 2,Lieutenant Governor,,Rep,Burt Jones,696,381,25,0,290
