county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Crisp,Arabi,U.S. Senate,,Rep,Herschel Walker,330,14,198,0,118
Crisp,Coney,U.S. Senate,,Rep,Herschel Walker,529,20,267,1,241
Crisp,Cordele,U.S. Senate,,Rep,Herschel Walker,1747,126,578,0,1043
Crisp,Jamestown,U.S. Senate,,Rep,Herschel Walker,686,20,357,0,309
Crisp,Listonia,U.S. Senate,,Rep,Herschel Walker,440,8,242,0,190
Crisp,Arabi,U.S. Senate,,(Dem,Raphael Warnock ,78,6,39,0,33
Crisp,Coney,U.S. Senate,,(Dem,Raphael Warnock ,84,8,29,0,47
Crisp,Cordele,U.S. Senate,,(Dem,Raphael Warnock ,1766,154,656,1,955
Crisp,Jamestown,U.S. Senate,,(Dem,Raphael Warnock ,79,4,25,0,50
Crisp,Listonia,U.S. Senate,,(Dem,Raphael Warnock ,28,4,9,0,15
