county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Polk,Aragon,U.S. Senate,,Rep,Herschel Walker,1488,857,24,5,602
Polk,Blooming Grove,U.S. Senate,,Rep,Herschel Walker,755,370,24,4,357
Polk,Cedartown,U.S. Senate,,Rep,Herschel Walker,1982,1340,92,0,550
Polk,Fish Creek,U.S. Senate,,Rep,Herschel Walker,1306,734,20,5,547
Polk,Lake Creek,U.S. Senate,,Rep,Herschel Walker,1497,916,29,1,551
Polk,Rockmart,U.S. Senate,,Rep,Herschel Walker,2374,1530,58,6,780
Polk,Youngs Grove,U.S. Senate,,Rep,Herschel Walker,1024,541,26,7,450
Polk,Aragon,U.S. Senate,,Dem,Raphael Warnock ,295,172,19,0,104
Polk,Blooming Grove,U.S. Senate,,Dem,Raphael Warnock ,133,85,11,0,37
Polk,Cedartown,U.S. Senate,,Dem,Raphael Warnock ,962,621,103,1,237
Polk,Fish Creek,U.S. Senate,,Dem,Raphael Warnock ,239,152,24,0,63
Polk,Lake Creek,U.S. Senate,,Dem,Raphael Warnock ,259,159,12,0,88
Polk,Rockmart,U.S. Senate,,Dem,Raphael Warnock ,767,501,60,0,206
Polk,Youngs Grove,U.S. Senate,,Dem,Raphael Warnock ,139,73,17,2,47
Polk,Aragon,U.S. Senate,,Lib,Chase Oliver,46,25,3,0,18
Polk,Blooming Grove,U.S. Senate,,Lib,Chase Oliver,25,14,0,0,11
Polk,Cedartown,U.S. Senate,,Lib,Chase Oliver,86,38,6,0,42
Polk,Fish Creek,U.S. Senate,,Lib,Chase Oliver,34,15,2,0,17
Polk,Lake Creek,U.S. Senate,,Lib,Chase Oliver,42,18,3,0,21
Polk,Rockmart,U.S. Senate,,Lib,Chase Oliver,84,48,4,0,32
Polk,Youngs Grove,U.S. Senate,,Lib,Chase Oliver,26,9,1,1,15
Polk,Aragon,Governor,,Rep,Brian Kemp ,1575,899,32,5,639
Polk,Blooming Grove,Governor,,Rep,Brian Kemp ,786,387,26,4,369
Polk,Cedartown,Governor,,Rep,Brian Kemp ,2179,1459,110,0,610
Polk,Fish Creek,Governor,,Rep,Brian Kemp ,1384,777,25,5,577
