county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Franklin,Carnesville,U.S. Senate,,Rep,Herschel Walker,1308,727,37,0,544
Franklin,West Franklin,U.S. Senate,,Rep,Herschel Walker,882,437,25,0,420
Franklin,Northeast Franklin,U.S. Senate,,Rep,Herschel Walker,1428,619,76,0,733
Franklin,Lavonia,U.S. Senate,,Rep,Herschel Walker,964,459,28,0,477
Franklin,Canon,U.S. Senate,,Rep,Herschel Walker,633,263,14,0,356
Franklin,Royston,U.S. Senate,,Rep,Herschel Walker,859,389,44,0,426
Franklin,Southwest Franklin,U.S. Senate,,Rep,Herschel Walker,1300,607,40,0,653
Franklin,Carnesville,U.S. Senate,,Dem,Raphael Warnock ,142,88,7,0,47
Franklin,West Franklin,U.S. Senate,,Dem,Raphael Warnock ,100,50,7,0,43
Franklin,Northeast Franklin,U.S. Senate,,Dem,Raphael Warnock ,243,124,25,0,94
Franklin,Lavonia,U.S. Senate,,Dem,Raphael Warnock ,260,108,34,0,118
Franklin,Canon,U.S. Senate,,Dem,Raphael Warnock ,82,39,10,0,33
Franklin,Royston,U.S. Senate,,Dem,Raphael Warnock ,202,89,21,0,92
Franklin,Southwest Franklin,U.S. Senate,,Dem,Raphael Warnock ,137,81,17,0,39
Franklin,Carnesville,U.S. Senate,,Lib,Chase Oliver,23,15,0,0,8
Franklin,West Franklin,U.S. Senate,,Lib,Chase Oliver,18,9,1,0,8
Franklin,Northeast Franklin,U.S. Senate,,Lib,Chase Oliver,36,11,3,0,22
Franklin,Lavonia,U.S. Senate,,Lib,Chase Oliver,27,7,1,0,19
Franklin,Canon,U.S. Senate,,Lib,Chase Oliver,13,2,2,0,9
Franklin,Royston,U.S. Senate,,Lib,Chase Oliver,19,10,1,0,8
Franklin,Southwest Franklin,U.S. Senate,,Lib,Chase Oliver,28,15,1,0,12
Franklin,Carnesville,Governor,,Rep,Brian Kemp ,1350,755,39,0,556
Franklin,West Franklin,Governor,,Rep,Brian Kemp ,922,457,27,0,438
Franklin,Northeast Franklin,Governor,,Rep,Brian Kemp ,1504,650,84,0,770
Franklin,Lavonia,Governor,,Rep,Brian Kemp ,1033,486,33,0,514
Franklin,Canon,Governor,,Rep,Brian Kemp ,654,272,16,0,366
Franklin,Royston,Governor,,Rep,Brian Kemp ,914,420,47,0,447
Franklin,Southwest Franklin,Governor,,Rep,Brian Kemp ,1357,635,45,0,677
Franklin,Carnesville,Governor,,Dem,Stacey Abrams,116,70,6,0,40
Franklin,West Franklin,Governor,,Dem,Stacey Abrams,71,34,6,0,31
Franklin,Northeast Franklin,Governor,,Dem,Stacey Abrams,198,105,20,0,73
Franklin,Lavonia,Governor,,Dem,Stacey Abrams,218,92,29,0,97
Franklin,Canon,Governor,,Dem,Stacey Abrams,70,31,10,0,29
Franklin,Royston,Governor,,Dem,Stacey Abrams,173,73,20,0,80
Franklin,Southwest Franklin,Governor,,Dem,Stacey Abrams,102,63,13,0,26
Franklin,Carnesville,Governor,,Lib,Shane Hazel,8,5,0,0,3
Franklin,West Franklin,Governor,,Lib,Shane Hazel,8,6,0,0,2
Franklin,Northeast Franklin,Governor,,Lib,Shane Hazel,9,2,0,0,7
Franklin,Lavonia,Governor,,Lib,Shane Hazel,11,2,0,0,9
Franklin,Canon,Governor,,Lib,Shane Hazel,4,1,1,0,2
Franklin,Royston,Governor,,Lib,Shane Hazel,5,1,0,0,4
Franklin,Southwest Franklin,Governor,,Lib,Shane Hazel,12,5,0,0,7
Franklin,Carnesville,Lieutenant Governor,,Rep,Burt Jones,1317,738,37,0,542
Franklin,West Franklin,Lieutenant Governor,,Rep,Burt Jones,895,446,25,0,424
Franklin,Northeast Franklin,Lieutenant Governor,,Rep,Burt Jones,1463,630,80,0,753
Franklin,Lavonia,Lieutenant Governor,,Rep,Burt Jones,1003,474,32,0,497
Franklin,Canon,Lieutenant Governor,,Rep,Burt Jones,640,264,16,0,360
Franklin,Royston,Lieutenant Governor,,Rep,Burt Jones,883,400,45,0,438
Franklin,Southwest Franklin,Lieutenant Governor,,Rep,Burt Jones,1313,615,42,0,656
