county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Calhoun,Leary ,U.S. Senate,,Rep,Herschel Walker,191,8,74,0,109
Calhoun,Morgan,U.S. Senate,,Rep,Herschel Walker,231,16,103,0,112
Calhoun,Edison ,U.S. Senate,,Rep,Herschel Walker,44,3,28,0,13
Calhoun,Edison-Arlington,U.S. Senate,,Rep,Herschel Walker,132,5,72,0,55
Calhoun,Arlington,U.S. Senate,,Rep,Herschel Walker,66,1,29,0,36
Calhoun,Leary ,U.S. Senate,,(Dem,Raphael Warnock ,228,19,118,0,91
Calhoun,Morgan,U.S. Senate,,(Dem,Raphael Warnock ,100,18,18,0,64
Calhoun,Edison ,U.S. Senate,,(Dem,Raphael Warnock ,189,16,101,0,72
Calhoun,Edison-Arlington,U.S. Senate,,(Dem,Raphael Warnock ,194,10,89,0,95
Calhoun,Arlington,U.S. Senate,,(Dem,Raphael Warnock ,214,19,117,0,78
