county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Colquitt,Shaw ,U.S. Senate,,Rep,Herschel Walker,243,6,70,1,166
Colquitt,Moultrie,U.S. Senate,,Rep,Herschel Walker,1261,74,528,0,659
Colquitt,Autreyville,U.S. Senate,,Rep,Herschel Walker,563,7,350,1,205
Colquitt,Bridgecreek,U.S. Senate,,Rep,Herschel Walker,593,12,314,0,267
Colquitt,Crosland,U.S. Senate,,Rep,Herschel Walker,109,1,93,0,15
Colquitt,Doerun,U.S. Senate,,Rep,Herschel Walker,221,5,166,0,50
Colquitt,Funston,U.S. Senate,,Rep,Herschel Walker,490,9,324,0,157
Colquitt,Hamilton,U.S. Senate,,Rep,Herschel Walker,371,8,280,0,83
Colquitt,Hartsfield,U.S. Senate,,Rep,Herschel Walker,252,3,203,0,46
Colquitt,Hopewell,U.S. Senate,,Rep,Herschel Walker,715,14,361,0,340
Colquitt,Lee,U.S. Senate,,Rep,Herschel Walker,391,11,253,0,127
Colquitt,Millcreek,U.S. Senate,,Rep,Herschel Walker,206,2,130,0,74
Colquitt,Monk,U.S. Senate,,Rep,Herschel Walker,661,27,384,0,250
Colquitt,Murphy,U.S. Senate,,Rep,Herschel Walker,551,11,312,1,227
Colquitt,Norman Park,U.S. Senate,,Rep,Herschel Walker,853,21,487,1,344
Colquitt,Robinson,U.S. Senate,,Rep,Herschel Walker,353,7,265,0,81
Colquitt,Thigpen,U.S. Senate,,Rep,Herschel Walker,124,2,91,0,31
Colquitt,TyTy,U.S. Senate,,Rep,Herschel Walker,256,2,227,0,27
Colquitt,Warrior,U.S. Senate,,Rep,Herschel Walker,465,14,343,0,108
Colquitt,Shaw ,U.S. Senate,,(Dem,Raphael Warnock ,776,49,351,0,376
Colquitt,Moultrie,U.S. Senate,,(Dem,Raphael Warnock ,825,60,276,1,488
Colquitt,Autreyville,U.S. Senate,,(Dem,Raphael Warnock ,122,7,40,0,75
Colquitt,Bridgecreek,U.S. Senate,,(Dem,Raphael Warnock ,53,6,20,0,27
Colquitt,Crosland,U.S. Senate,,(Dem,Raphael Warnock ,32,3,24,0,5
Colquitt,Doerun,U.S. Senate,,(Dem,Raphael Warnock ,114,3,87,0,24
Colquitt,Funston,U.S. Senate,,(Dem,Raphael Warnock ,72,4,30,0,38
Colquitt,Hamilton,U.S. Senate,,(Dem,Raphael Warnock ,37,4,19,0,14
Colquitt,Hartsfield,U.S. Senate,,(Dem,Raphael Warnock ,19,5,9,0,5
Colquitt,Hopewell,U.S. Senate,,(Dem,Raphael Warnock ,109,7,46,0,56
Colquitt,Lee,U.S. Senate,,(Dem,Raphael Warnock ,66,2,19,0,45
Colquitt,Millcreek,U.S. Senate,,(Dem,Raphael Warnock ,22,0,12,0,10
Colquitt,Monk,U.S. Senate,,(Dem,Raphael Warnock ,119,20,40,0,59
Colquitt,Murphy,U.S. Senate,,(Dem,Raphael Warnock ,67,6,20,0,41
Colquitt,Norman Park,U.S. Senate,,(Dem,Raphael Warnock ,225,19,96,0,110
Colquitt,Robinson,U.S. Senate,,(Dem,Raphael Warnock ,59,4,33,0,22
Colquitt,Thigpen,U.S. Senate,,(Dem,Raphael Warnock ,13,0,12,0,1
Colquitt,TyTy,U.S. Senate,,(Dem,Raphael Warnock ,15,2,6,0,7
Colquitt,Warrior,U.S. Senate,,(Dem,Raphael Warnock ,46,0,33,0,13
