county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Appling,1B,U.S. Senate,,Rep,Herschel Walker,688,39,350,0,299
Appling,1C,U.S. Senate,,Rep,Herschel Walker,540,24,255,0,261
Appling,2,U.S. Senate,,Rep,Herschel Walker,351,18,179,0,154
Appling,3A1,U.S. Senate,,Rep,Herschel Walker,466,16,260,0,190
Appling,3C,U.S. Senate,,Rep,Herschel Walker,682,33,276,0,373
Appling,4B,U.S. Senate,,Rep,Herschel Walker,560,22,359,0,179
Appling,4D,U.S. Senate,,Rep,Herschel Walker,759,41,349,0,369
Appling,5A,U.S. Senate,,Rep,Herschel Walker,498,20,264,0,214
Appling,5B,U.S. Senate,,Rep,Herschel Walker,499,13,290,0,196
Appling,1B,U.S. Senate,,(Dem,Raphael Warnock ,68,14,16,0,38
Appling,1C,U.S. Senate,,(Dem,Raphael Warnock ,42,3,9,0,30
Appling,2,U.S. Senate,,(Dem,Raphael Warnock ,661,70,193,0,398
Appling,3A1,U.S. Senate,,(Dem,Raphael Warnock ,19,4,7,0,8
Appling,3C,U.S. Senate,,(Dem,Raphael Warnock ,208,27,56,0,125
Appling,4B,U.S. Senate,,(Dem,Raphael Warnock ,20,3,11,0,6
Appling,4D,U.S. Senate,,(Dem,Raphael Warnock ,84,10,32,0,42
Appling,5A,U.S. Senate,,(Dem,Raphael Warnock ,70,5,25,0,40
Appling,5B,U.S. Senate,,(Dem,Raphael Warnock ,50,6,23,0,21
