county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Warren,Warrenton,U.S. Senate,,Rep,Herschel Junior Walker,1007,626,63,0,318
Warren,Warrenton,U.S. Senate,,Dem,Raphael Warnock ,1117,583,141,1,392
Warren,Warrenton,U.S. Senate,,Lib,Chase Oliver,25,13,0,0,12
Warren,Warrenton,Governor,,Rep,Brian Kemp ,1063,667,62,0,334
Warren,Warrenton,Governor,,Dem,Stacey Abrams,1081,555,141,1,384
Warren,Warrenton,Governor,,Lib,Shane Hazel,13,5,1,0,7
Warren,Warrenton,Lieutenant Governor,,Rep,Burt Jones,1044,657,62,0,325
Warren,Warrenton,Lieutenant Governor,,Dem,Charlie Bailey,1026,518,137,1,370
Warren,Warrenton,Lieutenant Governor,,Lib,Ryan Graham,41,19,3,0,19
Warren,Warrenton,Secretary of State,,Rep,Brad Raffensperger ,1045,664,61,0,320
Warren,Warrenton,Secretary of State,,Dem,Bee Nguyen,1008,509,135,1,363
Warren,Warrenton,Secretary of State,,Lib,Ted Metz,60,27,4,0,29
Warren,Warrenton,Attorney General,,Rep,Chris Carr ,1030,639,60,0,331
Warren,Warrenton,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",1061,545,140,1,375
Warren,Warrenton,Attorney General,,Lib,Martin Cowen,25,12,1,0,12
Warren,Warrenton,Commissioner of Agriculture,,Rep,Tyler Harper,1031,646,63,0,322
Warren,Warrenton,Commissioner of Agriculture,,Dem,Nakita Hemingway,1051,534,136,1,380
Warren,Warrenton,Commissioner of Agriculture,,Lib,David Raudabaugh,31,19,3,0,9
Warren,Warrenton,Commissioner of Insurance,,Rep,John King ,1046,655,61,0,330
Warren,Warrenton,Commissioner of Insurance,,Dem,Janice Laws Robinson,1054,533,139,1,381
Warren,Warrenton,State School Superintendent,,Rep,Richard Woods ,1061,663,64,0,334
Warren,Warrenton,State School Superintendent,,Dem,Alisha Thomas Searcy,1051,531,138,1,381
Warren,Warrenton,Commissioner of Labor,,Rep,Bruce Thompson,1049,656,62,0,331
Warren,Warrenton,Commissioner of Labor,,Dem,"William """"Will"""" Boddie, Jr",1033,525,138,1,369
Warren,Warrenton,Commissioner of Labor,,Lib,Emily Anderson,30,15,2,0,13
Warren,Warrenton,U.S. House,,Rep,Rick W. Allen,1061,661,63,0,337
Warren,Warrenton,U.S. House,,Dem,Elizabeth 'Liz' Johnson,1051,539,138,1,373
Warren,Warrenton,State Senate,,Rep,Max Burns,1546,914,107,0,525
Warren,Warrenton,State House,,Dem,Mack Jackson,1493,817,163,1,512
Warren,Warrenton,Soil and Water,,,Chad Mosley ,1621,927,152,0,542
Warren,Warrenton,Soil and Water,,,John Shivers ,1389,778,146,1,464
Warren,Warrenton,Proposed Constitutional Amendment 1,,,Yes,1726,981,158,1,586
Warren,Warrenton,Proposed Constitutional Amendment 1,,,No,304,159,35,0,110
Warren,Warrenton,Proposed Constitutional Amendment 2,,,Yes,1791,998,175,1,617
Warren,Warrenton,Proposed Constitutional Amendment 2,,,No,242,140,19,0,83
Warren,Warrenton,Statewide Referendum Question A,,,Yes,1250,679,93,1,477
Warren,Warrenton,Statewide Referendum Question A,,,No,742,440,95,0,207
Warren,Warrenton,Statewide Referendum Question B,,,Yes,1484,832,124,1,527
Warren,Warrenton,Statewide Referendum Question B,,,No,507,289,64,0,154
Warren,Warrenton,Warrenton,,,Yes,370,183,33,1,153
Warren,Warrenton,Warrenton,,,No,182,110,26,0,46
