county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Charlton,Folkston,U.S. Senate,,Rep,Herschel Walker,1282,34,495,1,752
Charlton,GA Bend,U.S. Senate,,Rep,Herschel Walker,206,10,180,1,15
Charlton,St. George ,U.S. Senate,,Rep,Herschel Walker,271,12,229,0,30
Charlton,Homeland,U.S. Senate,,Rep,Herschel Walker,327,8,158,1,160
Charlton,Racepond,U.S. Senate,,Rep,Herschel Walker,156,1,98,0,57
Charlton,Winokur,U.S. Senate,,Rep,Herschel Walker,135,6,68,0,61
Charlton,Folkston,U.S. Senate,,(Dem,Raphael Warnock ,651,42,196,0,413
Charlton,GA Bend,U.S. Senate,,(Dem,Raphael Warnock ,14,1,12,0,1
Charlton,St. George ,U.S. Senate,,(Dem,Raphael Warnock ,10,0,9,0,1
Charlton,Homeland,U.S. Senate,,(Dem,Raphael Warnock ,32,1,16,0,15
Charlton,Racepond,U.S. Senate,,(Dem,Raphael Warnock ,11,0,5,0,6
Charlton,Winokur,U.S. Senate,,(Dem,Raphael Warnock ,12,2,5,0,5
