county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Fannin,Colwell,U.S. Senate,,Rep,Herschel Walker,547,28,371,0,148
Fannin,Fairplay,U.S. Senate,,Rep,Herschel Walker,536,19,353,1,163
Fannin,Flinthill,U.S. Senate,,Rep,Herschel Walker,1368,84,877,0,407
Fannin,Hemptown,U.S. Senate,,Rep,Herschel Walker,634,23,447,0,164
Fannin,Hothouse,U.S. Senate,,Rep,Herschel Walker,549,28,337,0,184
Fannin,Mineral Bluff,U.S. Senate,,Rep,Herschel Walker,941,58,543,0,340
Fannin,Mobile,U.S. Senate,,Rep,Herschel Walker,540,30,395,0,115
Fannin,Morganton,U.S. Senate,,Rep,Herschel Walker,961,56,616,3,286
Fannin,Noontootla,U.S. Senate,,Rep,Herschel Walker,436,20,285,2,129
Fannin,Skeniah,U.S. Senate,,Rep,Herschel Walker,153,3,117,0,33
Fannin,Sugar Creek,U.S. Senate,,Rep,Herschel Walker,1068,75,527,0,466
Fannin,Toccoa,U.S. Senate,,Rep,Herschel Walker,1383,106,702,0,575
Fannin,Colwell,U.S. Senate,,(Dem,Raphael Warnock ,149,31,61,0,57
Fannin,Fairplay,U.S. Senate,,(Dem,Raphael Warnock ,121,20,48,0,53
Fannin,Flinthill,U.S. Senate,,(Dem,Raphael Warnock ,214,26,107,1,80
Fannin,Hemptown,U.S. Senate,,(Dem,Raphael Warnock ,167,19,68,1,79
Fannin,Hothouse,U.S. Senate,,(Dem,Raphael Warnock ,110,12,46,0,52
Fannin,Mineral Bluff,U.S. Senate,,(Dem,Raphael Warnock ,186,20,63,0,103
Fannin,Mobile,U.S. Senate,,(Dem,Raphael Warnock ,89,15,44,0,30
Fannin,Morganton,U.S. Senate,,(Dem,Raphael Warnock ,219,32,96,0,91
Fannin,Noontootla,U.S. Senate,,(Dem,Raphael Warnock ,127,18,63,1,45
Fannin,Skeniah,U.S. Senate,,(Dem,Raphael Warnock ,42,4,24,0,14
Fannin,Sugar Creek,U.S. Senate,,(Dem,Raphael Warnock ,239,34,71,0,134
Fannin,Toccoa,U.S. Senate,,(Dem,Raphael Warnock ,383,51,119,0,213
