county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Decatur,Mt. Pleasant,U.S. Senate,,Rep,Herschel Walker,297,9,187,0,101
Decatur,Recovery,U.S. Senate,,Rep,Herschel Walker,322,15,219,3,85
Decatur,Kendrick,U.S. Senate,,Rep,Herschel Walker,245,6,161,0,78
Decatur,Climax,U.S. Senate,,Rep,Herschel Walker,413,10,265,0,138
Decatur,Brinson,U.S. Senate,,Rep,Herschel Walker,366,16,242,0,108
Decatur,West Bainbridge,U.S. Senate,,Rep,Herschel Walker,520,24,228,0,268
Decatur,Bainbridge-Coliseum,U.S. Senate,,Rep,Herschel Walker,428,31,173,0,224
Decatur,Bainbridge-Fairgrounds,U.S. Senate,,Rep,Herschel Walker,693,16,352,2,323
Decatur,Attapulgus,U.S. Senate,,Rep,Herschel Walker,329,14,179,2,134
Decatur,Kirbo Center,U.S. Senate,,Rep,Herschel Walker,1267,53,455,1,758
Decatur,Mt. Pleasant,U.S. Senate,,(Dem,Raphael Warnock ,39,5,16,0,18
Decatur,Recovery,U.S. Senate,,(Dem,Raphael Warnock ,81,12,28,1,40
Decatur,Kendrick,U.S. Senate,,(Dem,Raphael Warnock ,65,6,34,0,25
Decatur,Climax,U.S. Senate,,(Dem,Raphael Warnock ,132,13,52,0,67
Decatur,Brinson,U.S. Senate,,(Dem,Raphael Warnock ,82,3,38,1,40
Decatur,West Bainbridge,U.S. Senate,,(Dem,Raphael Warnock ,409,30,115,1,263
Decatur,Bainbridge-Coliseum,U.S. Senate,,(Dem,Raphael Warnock ,428,32,161,2,233
Decatur,Bainbridge-Fairgrounds,U.S. Senate,,(Dem,Raphael Warnock ,725,69,259,2,395
Decatur,Attapulgus,U.S. Senate,,(Dem,Raphael Warnock ,541,50,245,0,246
Decatur,Kirbo Center,U.S. Senate,,(Dem,Raphael Warnock ,586,44,158,2,382
