county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Macon,Ideal,U.S. Senate,,Rep,Herschel Junior Walker,445,247,9,0,189
Macon,Oglethorpe,U.S. Senate,,Rep,Herschel Junior Walker,291,196,8,0,87
Macon,Marshallville,U.S. Senate,,Rep,Herschel Junior Walker,310,161,7,0,142
Macon,Montezuma #4,U.S. Senate,,Rep,Herschel Junior Walker,268,192,8,0,68
Macon,Montezuma #5,U.S. Senate,,Rep,Herschel Junior Walker,146,103,5,0,38
Macon,Ideal,U.S. Senate,,Dem,Raphael Warnock ,336,217,27,0,92
Macon,Oglethorpe,U.S. Senate,,Dem,Raphael Warnock ,408,287,34,0,87
Macon,Marshallville,U.S. Senate,,Dem,Raphael Warnock ,451,158,35,0,258
Macon,Montezuma #4,U.S. Senate,,Dem,Raphael Warnock ,549,322,47,0,180
Macon,Montezuma #5,U.S. Senate,,Dem,Raphael Warnock ,525,289,54,0,182
Macon,Ideal,U.S. Senate,,Lib,Chase Oliver,6,1,0,0,5
Macon,Oglethorpe,U.S. Senate,,Lib,Chase Oliver,11,5,0,0,6
Macon,Marshallville,U.S. Senate,,Lib,Chase Oliver,8,2,0,0,6
Macon,Montezuma #4,U.S. Senate,,Lib,Chase Oliver,3,1,1,0,1
Macon,Montezuma #5,U.S. Senate,,Lib,Chase Oliver,4,4,0,0,0
Macon,Ideal,Governor,,Rep,Brian Kemp ,461,258,9,0,194
Macon,Oglethorpe,Governor,,Rep,Brian Kemp ,309,206,8,0,95
Macon,Marshallville,Governor,,Rep,Brian Kemp ,334,173,8,0,153
Macon,Montezuma #4,Governor,,Rep,Brian Kemp ,291,206,9,0,76
Macon,Montezuma #5,Governor,,Rep,Brian Kemp ,156,112,5,0,39
Macon,Ideal,Governor,,Dem,Stacey Abrams,327,206,27,0,94
Macon,Oglethorpe,Governor,,Dem,Stacey Abrams,395,278,34,0,83
Macon,Marshallville,Governor,,Dem,Stacey Abrams,436,148,34,0,254
Macon,Montezuma #4,Governor,,Dem,Stacey Abrams,526,306,45,0,175
Macon,Montezuma #5,Governor,,Dem,Stacey Abrams,525,289,55,0,181
Macon,Ideal,Governor,,Lib,Shane Hazel,2,1,0,0,1
Macon,Oglethorpe,Governor,,Lib,Shane Hazel,6,4,0,0,2
Macon,Marshallville,Governor,,Lib,Shane Hazel,4,0,0,0,4
